"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002020";"ENSDARG00000002020";"22 x 12";"72hpf_pos_tbx5";"rictorb";"RPTOR independent companion of MTOR, complex 2b [Source:ZFIN;Acc:ZDB-GENE-070810-5]"
"ENSDARG00000013968";"ENSDARG00000013968";"8 x 6";"72hpf_pos_tbx5";"psap";"prosaposin [Source:ZFIN;Acc:ZDB-GENE-020108-1]"
"ENSDARG00000044023";"ENSDARG00000044023";"20 x 25";"48hpf_neg";"nkl.4";"NK-lysin tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7503]"
"ENSDARG00000045484";"ENSDARG00000045484";"38 x 28";"24hpf_pos.1";"dcp1b";"decapping mRNA 1B [Source:ZFIN;Acc:ZDB-GENE-040819-1]"
"ENSDARG00000054755";"ENSDARG00000054755";"38 x 1";"24hpf_pos.1";"alox5ap";"arachidonate 5-lipoxygenase-activating protein [Source:ZFIN;Acc:ZDB-GENE-030131-9322]"
"ENSDARG00000067566";"ENSDARG00000067566";"18 x 3";"72hpf_pos_hand2.1";"sftpbb";"surfactant protein Bb [Source:ZFIN;Acc:ZDB-GENE-060526-155]"
"ENSDARG00000071345";"ENSDARG00000071345";"20 x 4";"72hpf_pos_gata5.1";"mgst2";"microsomal glutathione S-transferase 2 [Source:ZFIN;Acc:ZDB-GENE-060616-94]"
"ENSDARG00000076718";"ENSDARG00000076718";"40 x 20";"24hpf_pos.1";"prkra";"protein kinase, interferon-inducible double stranded RNA dependent activator [Source:ZFIN;Acc:ZDB-GENE-050309-206]"
"ENSDARG00000088439";"ENSDARG00000088439";"7 x 3";"72hpf_pos_gata5";"gm2a";"GM2 ganglioside activator [Source:ZFIN;Acc:ZDB-GENE-050417-373]"
"ENSDARG00000089202";"ENSDARG00000089202";"12 x 22";"72hpf_pos.1";"nkl.3";"NK-lysin tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-131127-147]"
"ENSDARG00000092155";"ENSDARG00000092155";"1 x 5";"72hpf_pos_tbx5.1";"apoc2";"apolipoprotein C-II [Source:ZFIN;Acc:ZDB-GENE-030131-2168]"
"ENSDARG00000094708";"ENSDARG00000094708";"40 x 9";"24hpf_pos.1";"";"surfactant protein Ba [Source:ZFIN;Acc:ZDB-GENE-091204-378]"
"ENSDARG00000100136";"ENSDARG00000100136";"31 x 40";"72hpf_neg_hand2";"dcp1a";"decapping mRNA 1A [Source:ZFIN;Acc:ZDB-GENE-030723-5]"
"ENSDARG00000101680";"ENSDARG00000101680";"24 x 3";"72hpf_pos_gata5.1";"arl1";"ADP-ribosylation factor-like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-175]"
