"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007723";"ENSDARG00000007723";"20 x 37";"24hpf_neg";"efnb1";"ephrin-B1 [Source:ZFIN;Acc:ZDB-GENE-010618-2]"
"ENSDARG00000014675";"ENSDARG00000014675";"7 x 33";"72hpf_neg_hand2";"efna3a";"ephrin-A3a [Source:ZFIN;Acc:ZDB-GENE-060503-186]"
"ENSDARG00000018787";"ENSDARG00000018787";"31 x 34";"24hpf_pos";"efna1b";"ephrin-A1b [Source:ZFIN;Acc:ZDB-GENE-041007-5]"
"ENSDARG00000020164";"ENSDARG00000020164";"36 x 40";"24hpf_pos.1";"efnb2a";"ephrin-B2a [Source:ZFIN;Acc:ZDB-GENE-990415-67]"
"ENSDARG00000030326";"ENSDARG00000030326";"32 x 39";"24hpf_pos";"efna1a";"ephrin-A1a [Source:ZFIN;Acc:ZDB-GENE-040426-1135]"
"ENSDARG00000031372";"ENSDARG00000031372";"28 x 40";"24hpf_neg";"efna2a";"ephrin-A2a [Source:ZFIN;Acc:ZDB-GENE-990415-66]"
"ENSDARG00000042277";"ENSDARG00000042277";"11 x 40";"72hpf_neg_gata5";"efnb3b";"ephrin-B3b [Source:ZFIN;Acc:ZDB-GENE-010618-3]"
"ENSDARG00000044029";"ENSDARG00000044029";"24 x 36";"24hpf_neg";"efnb3a";"ephrin-B3a [Source:ZFIN;Acc:ZDB-GENE-100316-1]"
"ENSDARG00000062396";"ENSDARG00000062396";"30 x 11";"24hpf_neg";"";"ankyrin repeat and sterile alpha motif domain containing 1Aa [Source:ZFIN;Acc:ZDB-GENE-090312-152]"
"ENSDARG00000074050";"ENSDARG00000074050";"35 x 40";"24hpf_pos";"efnb2b";"ephrin-B2b [Source:ZFIN;Acc:ZDB-GENE-010618-1]"
"ENSDARG00000079740";"ENSDARG00000079740";"21 x 7";"72hpf_pos_hand2.1";"LOC100332852";"ephrin-A2b [Source:ZFIN;Acc:ZDB-GENE-141120-2]"
"ENSDARG00000089790";"ENSDARG00000089790";"36 x 40";"24hpf_neg";"efna5a";"ephrin-A5a [Source:ZFIN;Acc:ZDB-GENE-001128-1]"
"ENSDARG00000090427";"ENSDARG00000090427";"40 x 33";"24hpf_pos.1";"si:dkey-246i14.3";"si:dkey-246i14.3 [Source:ZFIN;Acc:ZDB-GENE-100922-64]"
"ENSDARG00000098295";"ENSDARG00000098295";"31 x 40";"72hpf_neg";"efna3b";"ephrin-A3b [Source:ZFIN;Acc:ZDB-GENE-011108-1]"
"ENSDARG00000098625";"ENSDARG00000098625";"1 x 17";"72hpf_pos.1";"";"ephrin-A5b [Source:ZFIN;Acc:ZDB-GENE-980526-186]"
