"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004672";"ENSDARG00000004672";"14 x 37";"72hpf_neg_tbx5";"ptk2ab";"protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]"
"ENSDARG00000008107";"ENSDARG00000008107";"31 x 38";"24hpf_pos.1";"src";"v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3809]"
"ENSDARG00000009958";"ENSDARG00000009958";"35 x 18";"24hpf_pos.1";"cbl";"Cbl proto-oncogene, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-041114-207]"
"ENSDARG00000012196";"ENSDARG00000012196";"3 x 18";"72hpf_pos_tbx5.1";"fer";"fer (fps/fes related) tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-060526-234]"
"ENSDARG00000015199";"ENSDARG00000015199";"13 x 11";"72hpf_pos_hand2";"cblb";"Cbl proto-oncogene B, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030616-417]"
"ENSDARG00000022841";"ENSDARG00000022841";"9 x 1";"72hpf_pos";"ptk2ba";"protein tyrosine kinase 2 beta, a [Source:ZFIN;Acc:ZDB-GENE-080207-1]"
"ENSDARG00000031246";"ENSDARG00000031246";"28 x 1";"24hpf_pos.1";"";"heparin-binding EGF-like growth factor b [Source:ZFIN;Acc:ZDB-GENE-070820-6]"
"ENSDARG00000039577";"ENSDARG00000039577";"18 x 40";"24hpf_neg";"ptk2bb";"protein tyrosine kinase 2 beta, b [Source:ZFIN;Acc:ZDB-GENE-020507-1]"
"ENSDARG00000044281";"ENSDARG00000044281";"15 x 16";"72hpf_pos_gata5";"erbb2ip";"erbb2 interacting protein [Source:ZFIN;Acc:ZDB-GENE-061103-403]"
"ENSDARG00000053939";"ENSDARG00000053939";"2 x 14";"48hpf_pos.1";"tgfa";"transforming growth factor, alpha [Source:ZFIN;Acc:ZDB-GENE-040724-208]"
"ENSDARG00000059121";"ENSDARG00000059121";"20 x 31";"72hpf_neg_gata5";"efemp1";"EGF containing fibulin like extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]"
"ENSDARG00000062745";"ENSDARG00000062745";"27 x 13";"72hpf_pos_hand2.1";"socs5b";"suppressor of cytokine signaling 5b [Source:ZFIN;Acc:ZDB-GENE-080722-18]"
"ENSDARG00000075121";"ENSDARG00000075121";"40 x 12";"24hpf_pos.1";"hbegfa";"heparin-binding EGF-like growth factor a [Source:ZFIN;Acc:ZDB-GENE-080204-119]"
"ENSDARG00000076853";"ENSDARG00000076853";"18 x 11";"72hpf_pos";"areg";"amphiregulin [Source:ZFIN;Acc:ZDB-GENE-141216-239]"
"ENSDARG00000077938";"ENSDARG00000077938";"15 x 40";"72hpf_neg_hand2";"cd248b";"CD248 molecule, endosialin b [Source:ZFIN;Acc:ZDB-GENE-050309-46]"
"ENSDARG00000078217";"ENSDARG00000078217";"3 x 25";"72hpf_neg";"cblc";"Cbl proto-oncogene C, E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-080220-20]"
"ENSDARG00000086159";"ENSDARG00000086159";"10 x 23";"72hpf_pos.1";"si:ch73-206d17.1";"si:ch73-206d17.1 [Source:ZFIN;Acc:ZDB-GENE-090313-143]"
"ENSDARG00000098909";"ENSDARG00000098909";"12 x 32";"72hpf_neg_tbx5";"";"SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]"
"ENSDARG00000100717";"ENSDARG00000100717";"2 x 13";"48hpf_pos.1";"socs5a";"suppressor of cytokine signaling 5a [Source:ZFIN;Acc:ZDB-GENE-061013-408]"
"ENSDARG00000101985";"ENSDARG00000101985";"36 x 20";"24hpf_pos";"socs9";"suppressor of cytokine signaling 9 [Source:ZFIN;Acc:ZDB-GENE-030131-4065]"
"ENSDARG00000103162";"ENSDARG00000103162";"9 x 20";"72hpf_pos.1";"";""
"ENSDARG00000103713";"ENSDARG00000103713";"3 x 31";"72hpf_neg";"cd248a";"CD248 molecule, endosialin a [Source:ZFIN;Acc:ZDB-GENE-030131-2084]"
"ENSDARG00000104210";"ENSDARG00000104210";"1 x 23";"72hpf_neg";"si:ch73-173h19.3";"si:ch73-173h19.3 [Source:ZFIN;Acc:ZDB-GENE-081104-245]"
