"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003675";"ENSDARG00000003675";"8 x 1";"48hpf_pos";"cryl1";"crystallin, lambda 1 [Source:ZFIN;Acc:ZDB-GENE-060810-7]"
"ENSDARG00000004402";"ENSDARG00000004402";"8 x 34";"72hpf_neg_tbx5";"elovl6";"ELOVL fatty acid elongase 6 [Source:ZFIN;Acc:ZDB-GENE-030114-1]"
"ENSDARG00000004979";"ENSDARG00000004979";"39 x 1";"72hpf_pos_hand2.1";"elovl5";"ELOVL fatty acid elongase 5 [Source:ZFIN;Acc:ZDB-GENE-040407-2]"
"ENSDARG00000006773";"ENSDARG00000006773";"11 x 39";"48hpf_neg";"elovl4a";"ELOVL fatty acid elongase 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1767]"
"ENSDARG00000012468";"ENSDARG00000012468";"15 x 33";"72hpf_neg_gata5";"aacs";"acetoacetyl-CoA synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-903]"
"ENSDARG00000012632";"ENSDARG00000012632";"30 x 19";"24hpf_pos";"";"zgc:92749 [Source:ZFIN;Acc:ZDB-GENE-040718-309]"
"ENSDARG00000014727";"ENSDARG00000014727";"5 x 13";"72hpf_pos.1";"acox1";"acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]"
"ENSDARG00000014806";"ENSDARG00000014806";"2 x 19";"72hpf_pos_tbx5.1";"hacd2";"3-hydroxyacyl-CoA dehydratase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6053]"
"ENSDARG00000016038";"ENSDARG00000016038";"13 x 22";"72hpf_pos_tbx5.1";"hacd3";"3-hydroxyacyl-CoA dehydratase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1200]"
"ENSDARG00000018653";"ENSDARG00000018653";"26 x 1";"24hpf_pos.1";"acot7";"acyl-CoA thioesterase 7 [Source:ZFIN;Acc:ZDB-GENE-040912-42]"
"ENSDARG00000020149";"ENSDARG00000020149";"27 x 15";"48hpf_pos.1";"acoxl";"acyl-CoA oxidase-like [Source:ZFIN;Acc:ZDB-GENE-081107-18]"
"ENSDARG00000027495";"ENSDARG00000027495";"1 x 32";"72hpf_pos.1";"elovl4b";"ELOVL fatty acid elongase 4b [Source:ZFIN;Acc:ZDB-GENE-030131-7672]"
"ENSDARG00000030765";"ENSDARG00000030765";"11 x 5";"72hpf_pos_tbx5.1";"hadh";"hydroxyacyl-CoA dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040801-261]"
"ENSDARG00000032326";"ENSDARG00000032326";"31 x 1";"72hpf_pos";"mecr";"mitochondrial trans-2-enoyl-CoA reductase [Source:ZFIN;Acc:ZDB-GENE-050417-399]"
"ENSDARG00000033413";"ENSDARG00000033413";"19 x 9";"24hpf_pos";"acot18";"acyl-CoA thioesterase 18 [Source:ZFIN;Acc:ZDB-GENE-041210-254]"
"ENSDARG00000038618";"ENSDARG00000038618";"13 x 16";"72hpf_neg";"cpt2";"carnitine palmitoyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6719]"
"ENSDARG00000038639";"ENSDARG00000038639";"12 x 19";"72hpf_pos_gata5";"elovl6l";"ELOVL family member 6, elongation of long chain fatty acids like [Source:ZFIN;Acc:ZDB-GENE-031110-3]"
"ENSDARG00000038865";"ENSDARG00000038865";"15 x 6";"72hpf_pos_tbx5";"acox3";"acyl-CoA oxidase 3, pristanoyl [Source:ZFIN;Acc:ZDB-GENE-040426-2163]"
"ENSDARG00000040427";"ENSDARG00000040427";"9 x 25";"72hpf_pos.1";"acot19";"acyl-CoA thioesterase 19 [Source:ZFIN;Acc:ZDB-GENE-041114-124]"
"ENSDARG00000042122";"ENSDARG00000042122";"31 x 1";"72hpf_pos_gata5.1";"acot11b";"acyl-CoA thioesterase 11b [Source:ZFIN;Acc:ZDB-GENE-051127-37]"
"ENSDARG00000042510";"ENSDARG00000042510";"7 x 14";"72hpf_pos_gata5";"acot20";"acyl-CoA thioesterase 20 [Source:ZFIN;Acc:ZDB-GENE-041001-182]"
"ENSDARG00000042513";"ENSDARG00000042513";"23 x 19";"72hpf_pos_hand2.1";"acot21";"acyl-CoA thioesterase 21 [Source:ZFIN;Acc:ZDB-GENE-041001-181]"
"ENSDARG00000045257";"ENSDARG00000045257";"28 x 7";"72hpf_pos";"decr2";"2,4-dienoyl CoA reductase 2, peroxisomal [Source:ZFIN;Acc:ZDB-GENE-040426-2612]"
"ENSDARG00000045414";"ENSDARG00000045414";"37 x 6";"24hpf_pos";"elovl2";"ELOVL fatty acid elongase 2 [Source:ZFIN;Acc:ZDB-GENE-060421-5612]"
"ENSDARG00000045522";"ENSDARG00000045522";"35 x 5";"24hpf_pos";"acot15";"acyl-CoA thioesterase 15 [Source:ZFIN;Acc:ZDB-GENE-041210-203]"
"ENSDARG00000054534";"ENSDARG00000054534";"18 x 13";"72hpf_pos";"acot12";"acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]"
"ENSDARG00000057128";"ENSDARG00000057128";"11 x 11";"72hpf_pos_hand2";"hadhaa";"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit a [Source:ZFIN;Acc:ZDB-GENE-031222-5]"
"ENSDARG00000057365";"ENSDARG00000057365";"10 x 10";"72hpf_pos_tbx5.1";"elovl8b";"ELOVL fatty acid elongase 8b [Source:ZFIN;Acc:ZDB-GENE-050522-453]"
"ENSDARG00000058229";"ENSDARG00000058229";"26 x 1";"72hpf_pos.1";"acot11a";"acyl-CoA thioesterase 11a [Source:ZFIN;Acc:ZDB-GENE-050522-538]"
"ENSDARG00000060094";"ENSDARG00000060094";"39 x 1";"72hpf_pos_gata5";"ptgis";"prostaglandin I2 (prostacyclin) synthase [Source:ZFIN;Acc:ZDB-GENE-070116-1]"
"ENSDARG00000060594";"ENSDARG00000060594";"12 x 14";"72hpf_pos_tbx5";"hadhab";"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit b [Source:ZFIN;Acc:ZDB-GENE-041111-204]"
"ENSDARG00000068551";"ENSDARG00000068551";"22 x 27";"48hpf_neg";"elovl8a";"ELOVL fatty acid elongase 8a [Source:ZFIN;Acc:ZDB-GENE-060929-240]"
"ENSDARG00000069279";"ENSDARG00000069279";"2 x 25";"72hpf_pos_gata5";"elovl7a";"ELOVL fatty acid elongase 7a [Source:ZFIN;Acc:ZDB-GENE-030131-6149]"
"ENSDARG00000069292";"ENSDARG00000069292";"8 x 10";"72hpf_pos_tbx5";"acot16";"acyl-CoA thioesterase 16 [Source:ZFIN;Acc:ZDB-GENE-041210-201]"
"ENSDARG00000070029";"ENSDARG00000070029";"19 x 3";"72hpf_pos_tbx5.1";"ehhadh";"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-040426-2581]"
"ENSDARG00000088524";"ENSDARG00000088524";"32 x 7";"24hpf_pos";"acot17";"acyl-CoA thioesterase 17 [Source:ZFIN;Acc:ZDB-GENE-040426-2381]"
"ENSDARG00000089159";"ENSDARG00000089159";"40 x 29";"24hpf_pos";"";"acyl-CoA thioesterase 14 [Source:ZFIN;Acc:ZDB-GENE-041210-202]"
"ENSDARG00000090063";"ENSDARG00000090063";"1 x 11";"72hpf_neg";"fa2h";"fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4]"
"ENSDARG00000099960";"ENSDARG00000099960";"11 x 9";"72hpf_pos_hand2";"elovl1a";"ELOVL fatty acid elongase 1a [Source:ZFIN;Acc:ZDB-GENE-041010-66]"
"ENSDARG00000100185";"ENSDARG00000100185";"9 x 18";"72hpf_pos_gata5";"elovl7b";"ELOVL fatty acid elongase 7b [Source:ZFIN;Acc:ZDB-GENE-030131-5485]"
"ENSDARG00000102221";"ENSDARG00000102221";"14 x 1";"72hpf_pos_gata5.1";"si:ch73-41h24.1";"si:ch73-41h24.1 [Source:ZFIN;Acc:ZDB-GENE-030131-3627]"
"ENSDARG00000103735";"ENSDARG00000103735";"6 x 4";"72hpf_pos_gata5.1";"elovl1b";"ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]"
"ENSDARG00000103744";"ENSDARG00000103744";"11 x 14";"72hpf_pos_tbx5.1";"hacd1";"3-hydroxyacyl-CoA dehydratase 1 [Source:ZFIN;Acc:ZDB-GENE-170413-2]"
