"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000003757";"ENSDARG00000003757";"7 x 14";"72hpf_pos";"cnpy1";"canopy1 [Source:ZFIN;Acc:ZDB-GENE-060315-3]"
"ENSDARG00000004782";"ENSDARG00000004782";"16 x 40";"72hpf_neg_gata5";"fgfr3";"fibroblast growth factor receptor 3 [Source:ZFIN;Acc:ZDB-GENE-000816-1]"
"ENSDARG00000009351";"ENSDARG00000009351";"10 x 16";"72hpf_pos.1";"fgf6a";"fibroblast growth factor 6a [Source:ZFIN;Acc:ZDB-GENE-980526-559]"
"ENSDARG00000011027";"ENSDARG00000011027";"34 x 40";"72hpf_neg";"fgfr1a";"fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]"
"ENSDARG00000011190";"ENSDARG00000011190";"33 x 40";"24hpf_neg";"fgfr1b";"fibroblast growth factor receptor 1b [Source:ZFIN;Acc:ZDB-GENE-060503-14]"
"ENSDARG00000016526";"ENSDARG00000016526";"11 x 40";"48hpf_neg";"gata3";"GATA binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-990415-82]"
"ENSDARG00000017542";"ENSDARG00000017542";"40 x 18";"24hpf_pos.1";"fgf1a";"fibroblast growth factor 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1729]"
"ENSDARG00000027957";"ENSDARG00000027957";"10 x 33";"72hpf_neg_tbx5";"fgf12a";"fibroblast growth factor 12a [Source:ZFIN;Acc:ZDB-GENE-050221-6]"
"ENSDARG00000030932";"ENSDARG00000030932";"36 x 40";"24hpf_pos";"fgf10a";"fibroblast growth factor 10a [Source:ZFIN;Acc:ZDB-GENE-030715-1]"
"ENSDARG00000035377";"ENSDARG00000035377";"15 x 20";"72hpf_pos_gata5";"fgf5";"fibroblast growth factor 5 [Source:ZFIN;Acc:ZDB-GENE-050201-6]"
"ENSDARG00000039615";"ENSDARG00000039615";"5 x 22";"72hpf_neg_gata5";"fgf8b";"fibroblast growth factor 8 b [Source:ZFIN;Acc:ZDB-GENE-010122-1]"
"ENSDARG00000042233";"ENSDARG00000042233";"13 x 27";"48hpf_neg";"fgf16";"fibroblast growth factor 16 [Source:ZFIN;Acc:ZDB-GENE-060427-3]"
"ENSDARG00000042811";"ENSDARG00000042811";"40 x 17";"24hpf_pos.1";"";"fibroblast growth factor 1b [Source:ZFIN;Acc:ZDB-GENE-071004-7]"
"ENSDARG00000043962";"ENSDARG00000043962";"31 x 38";"48hpf_neg";"fgf18b";"fibroblast growth factor 18b [Source:ZFIN;Acc:ZDB-GENE-050221-4]"
"ENSDARG00000045854";"ENSDARG00000045854";"23 x 29";"72hpf_neg_gata5";"fgf23";"fibroblast growth factor 23 [Source:ZFIN;Acc:ZDB-GENE-050201-4]"
"ENSDARG00000045856";"ENSDARG00000045856";"17 x 25";"72hpf_neg_hand2";"fgf6b";"fibroblast growth factor 6b [Source:ZFIN;Acc:ZDB-GENE-050201-5]"
"ENSDARG00000056648";"ENSDARG00000056648";"28 x 27";"72hpf_neg";"ext2";"exostosin glycosyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-041124-3]"
"ENSDARG00000058115";"ENSDARG00000058115";"14 x 40";"72hpf_neg";"fgfr2";"fibroblast growth factor receptor 2 [Source:ZFIN;Acc:ZDB-GENE-030323-1]"
"ENSDARG00000059387";"ENSDARG00000059387";"25 x 27";"72hpf_neg";"fgf7";"fibroblast growth factor 7 [Source:ZFIN;Acc:ZDB-GENE-080122-1]"
"ENSDARG00000062542";"ENSDARG00000062542";"30 x 40";"72hpf_neg_tbx5";"fgf12b";"fibroblast growth factor 12b [Source:ZFIN;Acc:ZDB-GENE-060825-134]"
