"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000011407";"ENSDARG00000011407";"1 x 34";"72hpf_neg_gata5";"col2a1b";"collagen, type II, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-050302-9]"
"ENSDARG00000012390";"ENSDARG00000012390";"23 x 11";"72hpf_pos_gata5.1";"kcnk5b";"potassium channel, subfamily K, member 5b [Source:ZFIN;Acc:ZDB-GENE-040426-1297]"
"ENSDARG00000012405";"ENSDARG00000012405";"1 x 38";"72hpf_neg";"col1a1a";"collagen, type I, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9102]"
"ENSDARG00000012824";"ENSDARG00000012824";"19 x 40";"72hpf_neg";"itga3b";"integrin, alpha 3b [Source:ZFIN;Acc:ZDB-GENE-050411-55]"
"ENSDARG00000016936";"ENSDARG00000016936";"2 x 20";"72hpf_pos_tbx5";"hmcn1";"hemicentin 1 [Source:ZFIN;Acc:ZDB-GENE-041014-322]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000041799";"ENSDARG00000041799";"6 x 28";"72hpf_neg_gata5";"cx43";"connexin 43 [Source:ZFIN;Acc:ZDB-GENE-991105-4]"
"ENSDARG00000042816";"ENSDARG00000042816";"12 x 34";"72hpf_neg_hand2";"mmp9";"matrix metallopeptidase 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2132]"
"ENSDARG00000054619";"ENSDARG00000054619";"34 x 40";"72hpf_neg";"fras1";"Fraser extracellular matrix complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-060526-68]"
"ENSDARG00000058543";"ENSDARG00000058543";"33 x 34";"72hpf_neg";"lama5";"laminin, alpha 5 [Source:ZFIN;Acc:ZDB-GENE-030131-9823]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000059746";"ENSDARG00000059746";"18 x 37";"72hpf_neg_gata5";"plod1a";"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3165]"
"ENSDARG00000062909";"ENSDARG00000062909";"3 x 24";"72hpf_neg_gata5";"furina";"furin (paired basic amino acid cleaving enzyme) a [Source:ZFIN;Acc:ZDB-GENE-040901-1]"
"ENSDARG00000069473";"ENSDARG00000069473";"35 x 40";"72hpf_neg";"frem1a";"Fras1 related extracellular matrix 1a [Source:ZFIN;Acc:ZDB-GENE-081119-1]"
"ENSDARG00000076856";"ENSDARG00000076856";"13 x 40";"72hpf_neg";"frem2a";"Fras1 related extracellular matrix protein 2a [Source:ZFIN;Acc:ZDB-GENE-081119-3]"
"ENSDARG00000087187";"ENSDARG00000087187";"13 x 30";"72hpf_neg_tbx5";"grip2a";"glutamate receptor interacting protein 2a [Source:ZFIN;Acc:ZDB-GENE-081104-132]"
"ENSDARG00000100087";"ENSDARG00000100087";"31 x 20";"24hpf_pos";"evx1";"even-skipped homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-980526-364]"
