"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004472";"ENSDARG00000004472";"27 x 38";"48hpf_neg";"atat1";"alpha tubulin acetyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2120]"
"ENSDARG00000004672";"ENSDARG00000004672";"14 x 37";"72hpf_neg_tbx5";"ptk2ab";"protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]"
"ENSDARG00000017901";"ENSDARG00000017901";"33 x 40";"24hpf_neg";"tln2a";"talin 2a [Source:ZFIN;Acc:ZDB-GENE-040724-263]"
"ENSDARG00000020242";"ENSDARG00000020242";"15 x 4";"72hpf_pos_gata5.1";"fermt2";"fermitin family member 2 [Source:ZFIN;Acc:ZDB-GENE-050506-132]"
"ENSDARG00000021896";"ENSDARG00000021896";"3 x 33";"72hpf_neg_gata5";"";"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:ZFIN;Acc:ZDB-GENE-050913-39]"
"ENSDARG00000022841";"ENSDARG00000022841";"9 x 1";"72hpf_pos";"ptk2ba";"protein tyrosine kinase 2 beta, a [Source:ZFIN;Acc:ZDB-GENE-080207-1]"
"ENSDARG00000027552";"ENSDARG00000027552";"27 x 17";"72hpf_neg_tbx5";"mapk1";"mitogen-activated protein kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030722-2]"
"ENSDARG00000037746";"ENSDARG00000037746";"29 x 23";"24hpf_neg";"actb1";"actin, beta 1 [Source:ZFIN;Acc:ZDB-GENE-000329-1]"
"ENSDARG00000037870";"ENSDARG00000037870";"18 x 6";"72hpf_pos_tbx5";"actb2";"actin, beta 2 [Source:ZFIN;Acc:ZDB-GENE-000329-3]"
"ENSDARG00000039577";"ENSDARG00000039577";"18 x 40";"24hpf_neg";"ptk2bb";"protein tyrosine kinase 2 beta, b [Source:ZFIN;Acc:ZDB-GENE-020507-1]"
"ENSDARG00000056964";"ENSDARG00000056964";"5 x 13";"72hpf_pos_gata5.1";"ilk";"integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]"
"ENSDARG00000059906";"ENSDARG00000059906";"5 x 9";"72hpf_pos_hand2.1";"sdc4";"syndecan 4 [Source:ZFIN;Acc:ZDB-GENE-061111-1]"
"ENSDARG00000060745";"ENSDARG00000060745";"40 x 10";"72hpf_pos.1";"pgm5";"phosphoglucomutase 5 [Source:ZFIN;Acc:ZDB-GENE-060503-838]"
"ENSDARG00000070573";"ENSDARG00000070573";"13 x 22";"72hpf_pos.1";"mapk3";"mitogen-activated protein kinase 3 [Source:ZFIN;Acc:ZDB-GENE-040121-1]"
"ENSDARG00000079315";"ENSDARG00000079315";"10 x 8";"72hpf_pos_hand2.1";"lpxn";"leupaxin [Source:ZFIN;Acc:ZDB-GENE-081105-159]"
"ENSDARG00000079756";"ENSDARG00000079756";"31 x 34";"24hpf_pos.1";"peak1";"pseudopodium-enriched atypical kinase 1 [Source:ZFIN;Acc:ZDB-GENE-100422-1]"
"ENSDARG00000100456";"ENSDARG00000100456";"15 x 28";"48hpf_neg";"";"protein tyrosine kinase 2aa [Source:ZFIN;Acc:ZDB-GENE-031114-5]"
"ENSDARG00000100729";"ENSDARG00000100729";"8 x 11";"72hpf_pos_hand2.1";"tln1";"talin 1 [Source:ZFIN;Acc:ZDB-GENE-031002-48]"
"ENSDARG00000104934";"ENSDARG00000104934";"14 x 32";"24hpf_pos.1";"";"talin 2b [Source:ZFIN;Acc:ZDB-GENE-130325-1]"
