"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000016460";"ENSDARG00000016460";"5 x 37";"72hpf_neg_tbx5";"fut9a";"fucosyltransferase 9a [Source:ZFIN;Acc:ZDB-GENE-080723-75]"
"ENSDARG00000026629";"ENSDARG00000026629";"33 x 31";"24hpf_pos.1";"gmds";"GDP-mannose 4,6-dehydratase [Source:ZFIN;Acc:ZDB-GENE-050419-45]"
"ENSDARG00000027699";"ENSDARG00000027699";"19 x 25";"72hpf_pos_hand2.1";"zgc:103510";"zgc:103510 [Source:ZFIN;Acc:ZDB-GENE-041212-27]"
"ENSDARG00000028098";"ENSDARG00000028098";"7 x 17";"72hpf_pos_gata5";"fut9d";"fucosyltransferase 9d [Source:ZFIN;Acc:ZDB-GENE-050309-15]"
"ENSDARG00000042643";"ENSDARG00000042643";"23 x 19";"72hpf_pos_hand2.1";"si:ch1073-440p11.2";"si:ch1073-440p11.2 [Source:ZFIN;Acc:ZDB-GENE-140106-39]"
"ENSDARG00000044775";"ENSDARG00000044775";"12 x 2";"24hpf_pos";"fut7";"fucosyltransferase 7 (alpha (1,3) fucosyltransferase) [Source:ZFIN;Acc:ZDB-GENE-060929-997]"
"ENSDARG00000058299";"ENSDARG00000058299";"20 x 31";"72hpf_neg_gata5";"zgc:173738";"zgc:173737 [Source:ZFIN;Acc:ZDB-GENE-071004-109]"
"ENSDARG00000059055";"ENSDARG00000059055";"24 x 26";"72hpf_pos_hand2";"ft2";"alpha(1,3)fucosyltransferase gene 2 [Source:ZFIN;Acc:ZDB-GENE-990715-18]"
"ENSDARG00000059056";"ENSDARG00000059056";"16 x 10";"72hpf_pos";"ft1";"alpha(1,3)fucosyltransferase gene 1 [Source:ZFIN;Acc:ZDB-GENE-990715-17]"
"ENSDARG00000067524";"ENSDARG00000067524";"8 x 18";"72hpf_pos_gata5.1";"fut9b";"fucosyltransferase 9b [Source:ZFIN;Acc:ZDB-GENE-030131-9925]"
"ENSDARG00000069408";"ENSDARG00000069408";"21 x 20";"72hpf_pos_hand2";"zmp:0000001132";"zmp:0000001132 [Source:ZFIN;Acc:ZDB-GENE-140106-92]"
"ENSDARG00000070979";"ENSDARG00000070979";"21 x 20";"72hpf_pos_hand2";"LOC100150142";"si:dkey-88e12.3 [Source:ZFIN;Acc:ZDB-GENE-131126-37]"
"ENSDARG00000074362";"ENSDARG00000074362";"23 x 4";"48hpf_pos";"zgc:165582";"zgc:165582 [Source:ZFIN;Acc:ZDB-GENE-070820-9]"
"ENSDARG00000086603";"ENSDARG00000086603";"17 x 16";"72hpf_pos";"";"zgc:136963 [Source:ZFIN;Acc:ZDB-GENE-060312-8]"
"ENSDARG00000100247";"ENSDARG00000100247";"20 x 23";"48hpf_pos";"ctu1";"fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]"
"ENSDARG00000100322";"ENSDARG00000100322";"31 x 20";"24hpf_pos";"fut10";"fucosyltransferase 10 [Source:ZFIN;Acc:ZDB-GENE-081022-183]"
"ENSDARG00000102402";"ENSDARG00000102402";"40 x 24";"24hpf_pos.1";"fut11";"fucosyltransferase 11 (alpha (1,3) fucosyltransferase) [Source:ZFIN;Acc:ZDB-GENE-060929-728]"
"ENSDARG00000102426";"ENSDARG00000102426";"16 x 20";"72hpf_pos_gata5";"";"zgc:165519 [Source:ZFIN;Acc:ZDB-GENE-070620-12]"
"ENSDARG00000102554";"ENSDARG00000102554";"28 x 28";"72hpf_neg_gata5";"zgc:112433";"zgc:112433 [Source:ZFIN;Acc:ZDB-GENE-050417-294]"
