"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004904";"ENSDARG00000004904";"7 x 10";"72hpf_pos_tbx5.1";"gys2";"glycogen synthase 2 [Source:ZFIN;Acc:ZDB-GENE-030826-31]"
"ENSDARG00000013561";"ENSDARG00000013561";"1 x 12";"72hpf_pos_tbx5";"pgm1";"phosphoglucomutase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1245]"
"ENSDARG00000016875";"ENSDARG00000016875";"1 x 13";"48hpf_pos.1";"gys1";"glycogen synthase 1 (muscle) [Source:ZFIN;Acc:ZDB-GENE-040426-1243]"
"ENSDARG00000029051";"ENSDARG00000029051";"21 x 30";"72hpf_neg_gata5";"gbe1a";"glucan (1,4-alpha-), branching enzyme 1a [Source:ZFIN;Acc:ZDB-GENE-110411-171]"
"ENSDARG00000030604";"ENSDARG00000030604";"10 x 28";"72hpf_neg_tbx5";"phkg1a";"phosphorylase kinase, gamma 1a (muscle) [Source:ZFIN;Acc:ZDB-GENE-061103-385]"
"ENSDARG00000054208";"ENSDARG00000054208";"19 x 4";"72hpf_pos_tbx5";"phkg2";"phosphorylase kinase, gamma 2 (testis) [Source:ZFIN;Acc:ZDB-GENE-040426-825]"
"ENSDARG00000069498";"ENSDARG00000069498";"16 x 16";"48hpf_pos.1";"phkg1b";"phosphorylase kinase, gamma 1b (muscle) [Source:ZFIN;Acc:ZDB-GENE-050522-52]"
"ENSDARG00000099524";"ENSDARG00000099524";"6 x 10";"72hpf_pos_tbx5";"gbe1b";"glucan (1,4-alpha-), branching enzyme 1b [Source:ZFIN;Acc:ZDB-GENE-110914-16]"
"ENSDARG00000100352";"ENSDARG00000100352";"8 x 8";"72hpf_pos.1";"aglb";"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase b [Source:ZFIN;Acc:ZDB-GENE-050309-54]"
"ENSDARG00000103811";"ENSDARG00000103811";"3 x 12";"72hpf_pos_gata5.1";"agla";"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase a [Source:ZFIN;Acc:ZDB-GENE-071004-6]"
