"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005423";"ENSDARG00000005423";"4 x 8";"48hpf_pos";"pgam1a";"phosphoglycerate mutase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-1827]"
"ENSDARG00000011665";"ENSDARG00000011665";"15 x 5";"48hpf_pos";"aldoaa";"aldolase a, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-030131-8369]"
"ENSDARG00000012801";"ENSDARG00000012801";"40 x 23";"72hpf_pos_hand2";"pfkpb";"phosphofructokinase, platelet b [Source:ZFIN;Acc:ZDB-GENE-070912-634]"
"ENSDARG00000012987";"ENSDARG00000012987";"1 x 21";"72hpf_neg_hand2";"gpia";"glucose-6-phosphate isomerase a [Source:ZFIN;Acc:ZDB-GENE-020513-2]"
"ENSDARG00000013750";"ENSDARG00000013750";"1 x 24";"72hpf_pos_gata5";"eno1b";"enolase 1b, (alpha) [Source:ZFIN;Acc:ZDB-GENE-040426-1651]"
"ENSDARG00000014068";"ENSDARG00000014068";"1 x 11";"72hpf_neg_hand2";"pgam1b";"phosphoglycerate mutase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-5376]"
"ENSDARG00000014179";"ENSDARG00000014179";"38 x 7";"24hpf_pos.1";"pfkma";"phosphofructokinase, muscle a [Source:ZFIN;Acc:ZDB-GENE-040912-135]"
"ENSDARG00000014287";"ENSDARG00000014287";"2 x 38";"72hpf_neg_tbx5";"eno2";"enolase 2 [Source:ZFIN;Acc:ZDB-GENE-040704-27]"
"ENSDARG00000019702";"ENSDARG00000019702";"1 x 35";"72hpf_neg_hand2";"aldocb";"aldolase C, fructose-bisphosphate, b [Source:ZFIN;Acc:ZDB-GENE-030821-1]"
"ENSDARG00000022456";"ENSDARG00000022456";"3 x 34";"72hpf_neg_hand2";"eno1a";"enolase 1a, (alpha) [Source:ZFIN;Acc:ZDB-GENE-030131-6048]"
"ENSDARG00000025012";"ENSDARG00000025012";"40 x 21";"48hpf_pos";"tpi1a";"triosephosphate isomerase 1a [Source:ZFIN;Acc:ZDB-GENE-020416-3]"
"ENSDARG00000028000";"ENSDARG00000028000";"4 x 32";"72hpf_neg_tbx5";"pfkpa";"phosphofructokinase, platelet a [Source:ZFIN;Acc:ZDB-GENE-091112-22]"
"ENSDARG00000034470";"ENSDARG00000034470";"9 x 6";"72hpf_pos.1";"aldoab";"aldolase a, fructose-bisphosphate, b [Source:ZFIN;Acc:ZDB-GENE-040426-2299]"
"ENSDARG00000038703";"ENSDARG00000038703";"37 x 11";"72hpf_pos_tbx5";"hkdc1";"hexokinase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9801]"
"ENSDARG00000039007";"ENSDARG00000039007";"4 x 5";"72hpf_pos.1";"eno3";"enolase 3, (beta, muscle) [Source:ZFIN;Acc:ZDB-GENE-031006-5]"
"ENSDARG00000039452";"ENSDARG00000039452";"31 x 16";"48hpf_pos.1";"hk1";"hexokinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2848]"
"ENSDARG00000039914";"ENSDARG00000039914";"2 x 34";"72hpf_neg_tbx5";"gapdhs";"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [Source:ZFIN;Acc:ZDB-GENE-020913-1]"
"ENSDARG00000040988";"ENSDARG00000040988";"1 x 9";"72hpf_pos.1";"tpi1b";"triosephosphate isomerase 1b [Source:ZFIN;Acc:ZDB-GENE-020416-4]"
"ENSDARG00000042010";"ENSDARG00000042010";"10 x 11";"72hpf_pos_tbx5";"";"pyruvate kinase, liver and RBC [Source:ZFIN;Acc:ZDB-GENE-010907-1]"
"ENSDARG00000043457";"ENSDARG00000043457";"2 x 4";"72hpf_pos_hand2";"gapdh";"glyceraldehyde-3-phosphate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030115-1]"
"ENSDARG00000053684";"ENSDARG00000053684";"3 x 2";"72hpf_pos_gata5.1";"aldob";"aldolase b, fructose-bisphosphate [Source:ZFIN;Acc:ZDB-GENE-030131-383]"
"ENSDARG00000054191";"ENSDARG00000054191";"4 x 8";"72hpf_pos_hand2.1";"pgk1";"phosphoglycerate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2711]"
"ENSDARG00000057571";"ENSDARG00000057571";"3 x 13";"72hpf_pos.1";"pgam2";"phosphoglycerate mutase 2 (muscle) [Source:ZFIN;Acc:ZDB-GENE-040116-6]"
"ENSDARG00000057661";"ENSDARG00000057661";"8 x 28";"72hpf_neg_tbx5";"aldoca";"aldolase C, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-050706-128]"
"ENSDARG00000060504";"ENSDARG00000060504";"5 x 36";"72hpf_neg_hand2";"pfkla";"phosphofructokinase, liver a [Source:ZFIN;Acc:ZDB-GENE-121207-1]"
"ENSDARG00000060797";"ENSDARG00000060797";"9 x 3";"48hpf_pos";"pfkmb";"phosphofructokinase, muscle b [Source:ZFIN;Acc:ZDB-GENE-081114-1]"
"ENSDARG00000068006";"ENSDARG00000068006";"17 x 20";"72hpf_pos_gata5";"gck";"glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]"
"ENSDARG00000070598";"ENSDARG00000070598";"28 x 24";"24hpf_neg";"eno4";"enolase family member 4 [Source:ZFIN;Acc:ZDB-GENE-061013-677]"
"ENSDARG00000070826";"ENSDARG00000070826";"39 x 12";"24hpf_pos.1";"bpgm";"2,3-bisphosphoglycerate mutase [Source:ZFIN;Acc:ZDB-GENE-040718-375]"
"ENSDARG00000099730";"ENSDARG00000099730";"1 x 21";"72hpf_pos_hand2.1";"pkma";"pyruvate kinase, muscle, a [Source:ZFIN;Acc:ZDB-GENE-031201-4]"
"ENSDARG00000099755";"ENSDARG00000099755";"1 x 22";"72hpf_neg_hand2";"pfklb";"phosphofructokinase, liver b [Source:ZFIN;Acc:ZDB-GENE-050417-62]"
"ENSDARG00000099860";"ENSDARG00000099860";"1 x 7";"72hpf_pos.1";"pkmb";"pyruvate kinase, muscle, b [Source:ZFIN;Acc:ZDB-GENE-040801-230]"
"ENSDARG00000101482";"ENSDARG00000101482";"12 x 8";"72hpf_pos_hand2.1";"hk2";"hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]"
"ENSDARG00000103826";"ENSDARG00000103826";"15 x 3";"48hpf_pos";"gpib";"glucose-6-phosphate isomerase b [Source:ZFIN;Acc:ZDB-GENE-020513-3]"
