"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001220";"ENSDARG00000001220";"1 x 18";"48hpf_pos.1";"mycbp2";"MYC binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-132]"
"ENSDARG00000004415";"ENSDARG00000004415";"7 x 40";"48hpf_neg";"tcf7l2";"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"ENSDARG00000009534";"ENSDARG00000009534";"20 x 38";"24hpf_neg";"wls";"wntless Wnt ligand secretion mediator [Source:ZFIN;Acc:ZDB-GENE-040426-2161]"
"ENSDARG00000015059";"ENSDARG00000015059";"1 x 11";"48hpf_neg";"daam1a";"dishevelled associated activator of morphogenesis 1a [Source:ZFIN;Acc:ZDB-GENE-030911-6]"
"ENSDARG00000021669";"ENSDARG00000021669";"11 x 24";"72hpf_pos.1";"sec61a1";"Sec61 translocon alpha 1 subunit [Source:ZFIN;Acc:ZDB-GENE-020418-2]"
"ENSDARG00000036194";"ENSDARG00000036194";"3 x 40";"72hpf_neg";"pitx2";"paired-like homeodomain 2 [Source:ZFIN;Acc:ZDB-GENE-990714-27]"
"ENSDARG00000053542";"ENSDARG00000053542";"6 x 6";"72hpf_pos_tbx5.1";"kctd12.2";"potassium channel tetramerisation domain containing 12.2 [Source:ZFIN;Acc:ZDB-GENE-060117-4]"
"ENSDARG00000069843";"ENSDARG00000069843";"7 x 26";"24hpf_pos.1";"kctd12.1";"potassium channel tetramerisation domain containing 12.1 [Source:ZFIN;Acc:ZDB-GENE-030902-5]"
"ENSDARG00000071208";"ENSDARG00000071208";"23 x 40";"24hpf_neg";"wnt4a";"wingless-type MMTV integration site family, member 4a [Source:ZFIN;Acc:ZDB-GENE-980526-352]"
"ENSDARG00000097205";"ENSDARG00000097205";"4 x 32";"72hpf_neg_tbx5";"ulk2";"unc-51 like autophagy activating kinase 2 [Source:ZFIN;Acc:ZDB-GENE-090218-30]"
"ENSDARG00000102184";"ENSDARG00000102184";"20 x 36";"48hpf_neg";"";"mindbomb E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-030404-2]"
