"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008678";"ENSDARG00000008678";"12 x 1";"72hpf_pos_gata5.1";"snx3";"sorting nexin 3 [Source:ZFIN;Acc:ZDB-GENE-030131-921]"
"ENSDARG00000016771";"ENSDARG00000016771";"1 x 4";"72hpf_pos_tbx5";"";"transferrin-a [Source:ZFIN;Acc:ZDB-GENE-980526-35]"
"ENSDARG00000024295";"ENSDARG00000024295";"40 x 1";"24hpf_pos";"";"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-021115-1]"
"ENSDARG00000030602";"ENSDARG00000030602";"18 x 4";"72hpf_pos_gata5.1";"rps19";"ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]"
"ENSDARG00000038643";"ENSDARG00000038643";"40 x 40";"24hpf_pos";"alas2";"aminolevulinate, delta-, synthase 2 [Source:ZFIN;Acc:ZDB-GENE-001229-1]"
"ENSDARG00000043509";"ENSDARG00000043509";"26 x 7";"24hpf_pos";"rpl11";"ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040625-147]"
"ENSDARG00000052696";"ENSDARG00000052696";"8 x 4";"72hpf_pos_gata5.1";"bdh2";"3-hydroxybutyrate dehydrogenase, type 2 [Source:ZFIN;Acc:ZDB-GENE-050417-343]"
"ENSDARG00000059805";"ENSDARG00000059805";"16 x 20";"72hpf_pos_tbx5";"slc25a38a";"solute carrier family 25, member 38a [Source:ZFIN;Acc:ZDB-GENE-060929-320]"
"ENSDARG00000062025";"ENSDARG00000062025";"40 x 39";"24hpf_pos";"cpox";"coproporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9884]"
"ENSDARG00000074533";"ENSDARG00000074533";"39 x 19";"24hpf_pos.1";"slc25a38b";"solute carrier family 25, member 38b [Source:ZFIN;Acc:ZDB-GENE-110214-1]"
"ENSDARG00000077372";"ENSDARG00000077372";"15 x 2";"48hpf_pos";"tfr1b";"transferrin receptor 1b [Source:ZFIN;Acc:ZDB-GENE-041220-2]"
"ENSDARG00000101322";"ENSDARG00000101322";"40 x 40";"24hpf_pos";"tfr1a";"transferrin receptor 1a [Source:ZFIN;Acc:ZDB-GENE-041220-1]"
