"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002587";"ENSDARG00000002587";"5 x 36";"72hpf_neg_tbx5";"dpysl3";"dihydropyrimidinase-like 3 [Source:ZFIN;Acc:ZDB-GENE-050720-2]"
"ENSDARG00000002986";"ENSDARG00000002986";"30 x 16";"24hpf_pos";"gda";"guanine deaminase [Source:ZFIN;Acc:ZDB-GENE-050522-434]"
"ENSDARG00000007366";"ENSDARG00000007366";"10 x 13";"72hpf_pos.1";"si:ch73-71d17.1";"si:ch73-71d17.1 [Source:ZFIN;Acc:ZDB-GENE-160728-110]"
"ENSDARG00000011141";"ENSDARG00000011141";"2 x 40";"48hpf_neg";"dpysl5a";"dihydropyrimidinase-like 5a [Source:ZFIN;Acc:ZDB-GENE-030131-3136]"
"ENSDARG00000011521";"ENSDARG00000011521";"8 x 9";"72hpf_pos_tbx5";"upb1";"ureidopropionase, beta [Source:ZFIN;Acc:ZDB-GENE-030131-1380]"
"ENSDARG00000017590";"ENSDARG00000017590";"13 x 7";"24hpf_pos.1";"nit2";"nitrilase family, member 2 [Source:ZFIN;Acc:ZDB-GENE-050522-65]"
"ENSDARG00000032083";"ENSDARG00000032083";"5 x 34";"72hpf_neg_tbx5";"dpysl2b";"dihydropyrimidinase-like 2b [Source:ZFIN;Acc:ZDB-GENE-031105-1]"
"ENSDARG00000038293";"ENSDARG00000038293";"15 x 11";"72hpf_pos_tbx5.1";"zgc:103559";"zgc:103559 [Source:ZFIN;Acc:ZDB-GENE-041212-22]"
"ENSDARG00000041895";"ENSDARG00000041895";"39 x 36";"24hpf_neg";"cad";"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:ZFIN;Acc:ZDB-GENE-021030-4]"
"ENSDARG00000056742";"ENSDARG00000056742";"3 x 40";"72hpf_neg_tbx5";"crmp1";"collapsin response mediator protein 1 [Source:ZFIN;Acc:ZDB-GENE-050720-1]"
"ENSDARG00000059311";"ENSDARG00000059311";"5 x 36";"72hpf_neg_tbx5";"dpysl5b";"dihydropyrimidinase-like 5b [Source:ZFIN;Acc:ZDB-GENE-050720-4]"
"ENSDARG00000070116";"ENSDARG00000070116";"8 x 13";"72hpf_pos_gata5.1";"nit1";"nitrilase 1 [Source:ZFIN;Acc:ZDB-GENE-040912-65]"
"ENSDARG00000079543";"ENSDARG00000079543";"8 x 8";"72hpf_pos";"dpys";"dihydropyrimidinase [Source:ZFIN;Acc:ZDB-GENE-070508-1]"
"ENSDARG00000099596";"ENSDARG00000099596";"27 x 28";"72hpf_pos_tbx5";"btd";"biotinidase [Source:ZFIN;Acc:ZDB-GENE-060825-186]"
"ENSDARG00000100376";"ENSDARG00000100376";"15 x 1";"72hpf_pos";"amdhd2";"amidohydrolase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1871]"
"ENSDARG00000101378";"ENSDARG00000101378";"31 x 5";"24hpf_pos.1";"";"NAD synthetase 1 [Source:ZFIN;Acc:ZDB-GENE-070615-22]"
"ENSDARG00000103490";"ENSDARG00000103490";"8 x 40";"48hpf_neg";"dpysl4";"dihydropyrimidinase-like 4 [Source:ZFIN;Acc:ZDB-GENE-050720-3]"
