"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005154";"ENSDARG00000005154";"7 x 5";"72hpf_pos_gata5.1";"aspa";"aspartoacylase [Source:ZFIN;Acc:ZDB-GENE-080204-11]"
"ENSDARG00000005525";"ENSDARG00000005525";"9 x 12";"72hpf_pos.1";"acy3.2";"aspartoacylase (aminocyclase) 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040718-37]"
"ENSDARG00000009806";"ENSDARG00000009806";"34 x 7";"24hpf_pos";"smfn";"small fragment nuclease [Source:ZFIN;Acc:ZDB-GENE-040426-1709]"
"ENSDARG00000011404";"ENSDARG00000011404";"35 x 30";"24hpf_neg";"fen1";"flap structure-specific endonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-031112-11]"
"ENSDARG00000017490";"ENSDARG00000017490";"4 x 25";"72hpf_pos.1";"cel.1";"carboxyl ester lipase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1201]"
"ENSDARG00000018529";"ENSDARG00000018529";"4 x 3";"72hpf_pos";"lipf";"lipase, gastric [Source:ZFIN;Acc:ZDB-GENE-040426-2737]"
"ENSDARG00000020122";"ENSDARG00000020122";"33 x 9";"24hpf_pos";"endou2";"endonuclease, polyU-specific 2 [Source:ZFIN;Acc:ZDB-GENE-050522-373]"
"ENSDARG00000023678";"ENSDARG00000023678";"36 x 12";"48hpf_neg";"ercc5";"excision repair cross-complementation group 5 [Source:ZFIN;Acc:ZDB-GENE-050327-28]"
"ENSDARG00000029822";"ENSDARG00000029822";"31 x 13";"24hpf_pos";"cel.2";"carboxyl ester lipase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-061110-10]"
"ENSDARG00000036924";"ENSDARG00000036924";"30 x 12";"24hpf_pos";"";"TatD DNase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040704-56]"
"ENSDARG00000039356";"ENSDARG00000039356";"36 x 21";"72hpf_neg_gata5";"zgc:194209";"zgc:194209 [Source:ZFIN;Acc:ZDB-GENE-081022-75]"
"ENSDARG00000044072";"ENSDARG00000044072";"32 x 3";"72hpf_pos_gata5.1";"LOC571912";"TatD DNase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:27010]"
"ENSDARG00000044204";"ENSDARG00000044204";"25 x 14";"72hpf_pos_tbx5.1";"endou";"endonuclease, polyU-specific [Source:ZFIN;Acc:ZDB-GENE-070112-2012]"
"ENSDARG00000054076";"ENSDARG00000054076";"10 x 19";"72hpf_pos.1";"tatdn3";"TatD DNase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050522-192]"
"ENSDARG00000056832";"ENSDARG00000056832";"37 x 33";"24hpf_neg";"exo1";"exonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2828]"
"ENSDARG00000056923";"ENSDARG00000056923";"33 x 11";"24hpf_pos.1";"dbr1";"debranching RNA lariats 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2466]"
"ENSDARG00000058366";"ENSDARG00000058366";"8 x 4";"72hpf_pos_gata5.1";"si:dkey-222f8.3";"si:dkey-222f8.3 [Source:ZFIN;Acc:ZDB-GENE-030131-3658]"
"ENSDARG00000058502";"ENSDARG00000058502";"6 x 20";"72hpf_pos_gata5.1";"olah";"oleoyl-ACP hydrolase [Source:ZFIN;Acc:ZDB-GENE-060312-17]"
"ENSDARG00000062269";"ENSDARG00000062269";"40 x 19";"24hpf_pos.1";"fan1";"FANCD2/FANCI-associated nuclease 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6225]"
"ENSDARG00000062465";"ENSDARG00000062465";"29 x 30";"72hpf_pos_tbx5";"pgap1";"post-GPI attachment to proteins 1 [Source:ZFIN;Acc:ZDB-GENE-090313-216]"
"ENSDARG00000070618";"ENSDARG00000070618";"36 x 14";"24hpf_pos.1";"tatdn2";"TatD DNase domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081022-51]"
"ENSDARG00000071017";"ENSDARG00000071017";"10 x 35";"48hpf_neg";"nt5e";"5'-nucleotidase, ecto (CD73) [Source:ZFIN;Acc:ZDB-GENE-040426-1261]"
"ENSDARG00000078359";"ENSDARG00000078359";"6 x 12";"72hpf_pos_tbx5.1";"endouc";"endonuclease, polyU-specific C [Source:ZFIN;Acc:ZDB-GENE-060503-141]"
"ENSDARG00000078768";"ENSDARG00000078768";"20 x 31";"72hpf_neg_gata5";"abhd15a";"abhydrolase domain containing 15a [Source:ZFIN;Acc:ZDB-GENE-131121-270]"
"ENSDARG00000087657";"ENSDARG00000087657";"3 x 32";"72hpf_neg_tbx5";"fasn";"fatty acid synthase [Source:ZFIN;Acc:ZDB-GENE-030131-7802]"
"ENSDARG00000091633";"ENSDARG00000091633";"32 x 25";"72hpf_pos_gata5.1";"";"si:dkey-177p2.18 [Source:ZFIN;Acc:ZDB-GENE-130603-12]"
"ENSDARG00000093003";"ENSDARG00000093003";"10 x 14";"72hpf_pos.1";"acy3.1";"aspartoacylase (aminocyclase) 3, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040718-345]"
"ENSDARG00000096445";"ENSDARG00000096445";"8 x 24";"72hpf_pos.1";"si:ch211-214p16.3";"si:ch211-214p16.3 [Source:ZFIN;Acc:ZDB-GENE-120709-93]"
