"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008238";"ENSDARG00000008238";"12 x 1";"24hpf_pos.1";"manba";"mannosidase, beta A, lysosomal [Source:ZFIN;Acc:ZDB-GENE-040426-721]"
"ENSDARG00000008541";"ENSDARG00000008541";"18 x 22";"48hpf_pos.1";"chia.4";"chitinase, acidic.4 [Source:ZFIN;Acc:ZDB-GENE-030131-9279]"
"ENSDARG00000016337";"ENSDARG00000016337";"33 x 31";"24hpf_pos.1";"lctlb";"lactase-like b [Source:ZFIN;Acc:ZDB-GENE-060503-93]"
"ENSDARG00000029051";"ENSDARG00000029051";"21 x 30";"72hpf_neg_gata5";"gbe1a";"glucan (1,4-alpha-), branching enzyme 1a [Source:ZFIN;Acc:ZDB-GENE-110411-171]"
"ENSDARG00000029955";"ENSDARG00000029955";"14 x 1";"72hpf_pos_tbx5.1";"glb1l";"galactosidase, beta 1-like [Source:ZFIN;Acc:ZDB-GENE-050309-196]"
"ENSDARG00000031150";"ENSDARG00000031150";"33 x 10";"24hpf_pos";"";"glucosidase, beta, acid 3 (gene/pseudogene) [Source:ZFIN;Acc:ZDB-GENE-050522-351]"
"ENSDARG00000034368";"ENSDARG00000034368";"8 x 14";"72hpf_pos_tbx5";"hexb";"hexosaminidase B (beta polypeptide) [Source:ZFIN;Acc:ZDB-GENE-030131-2333]"
"ENSDARG00000034941";"ENSDARG00000034941";"6 x 5";"72hpf_pos_gata5.1";"si:dkey-224e22.2";"si:dkey-224e22.2 [Source:ZFIN;Acc:ZDB-GENE-061207-59]"
"ENSDARG00000036139";"ENSDARG00000036139";"10 x 20";"72hpf_pos.1";"lctla";"lactase-like a [Source:ZFIN;Acc:ZDB-GENE-040718-233]"
"ENSDARG00000036155";"ENSDARG00000036155";"12 x 20";"72hpf_pos_gata5";"gla";"galactosidase, alpha [Source:ZFIN;Acc:ZDB-GENE-041010-207]"
"ENSDARG00000036415";"ENSDARG00000036415";"13 x 4";"48hpf_pos";"glb1";"galactosidase, beta 1 [Source:ZFIN;Acc:ZDB-GENE-050410-9]"
"ENSDARG00000038242";"ENSDARG00000038242";"31 x 30";"72hpf_pos_gata5";"zgc:113333";"zgc:113333 [Source:ZFIN;Acc:ZDB-GENE-050320-57]"
"ENSDARG00000052113";"ENSDARG00000052113";"12 x 2";"72hpf_pos.1";"hexa";"hexosaminidase A (alpha polypeptide) [Source:ZFIN;Acc:ZDB-GENE-050417-283]"
"ENSDARG00000060671";"ENSDARG00000060671";"14 x 25";"72hpf_neg_hand2";"LOC559107";"lactase [Source:ZFIN;Acc:ZDB-GENE-081104-434]"
