"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001634";"ENSDARG00000001634";"16 x 33";"72hpf_neg_hand2";"kirrela";"kin of IRRE like a [Source:ZFIN;Acc:ZDB-GENE-040426-2126]"
"ENSDARG00000002826";"ENSDARG00000002826";"37 x 37";"24hpf_pos.1";"cep57l1";"centrosomal protein 57, like 1 [Source:ZFIN;Acc:ZDB-GENE-040808-27]"
"ENSDARG00000003641";"ENSDARG00000003641";"28 x 15";"48hpf_pos.1";"tfg";"trk-fused gene [Source:ZFIN;Acc:ZDB-GENE-030131-8410]"
"ENSDARG00000003701";"ENSDARG00000003701";"40 x 35";"24hpf_pos.1";"cldng";"claudin g [Source:ZFIN;Acc:ZDB-GENE-010328-7]"
"ENSDARG00000003903";"ENSDARG00000003903";"23 x 20";"72hpf_pos_hand2.1";"hapln2";"hyaluronan and proteoglycan link protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8089]"
"ENSDARG00000006456";"ENSDARG00000006456";"4 x 34";"72hpf_neg_gata5";"pdgfrl";"platelet-derived growth factor receptor-like [Source:ZFIN;Acc:ZDB-GENE-040426-901]"
"ENSDARG00000006477";"ENSDARG00000006477";"35 x 11";"24hpf_pos.1";"ddi2";"DNA-damage inducible protein 2 [Source:ZFIN;Acc:ZDB-GENE-031030-15]"
"ENSDARG00000006580";"ENSDARG00000006580";"21 x 20";"72hpf_pos_hand2";"cldnd";"claudin d [Source:ZFIN;Acc:ZDB-GENE-010328-4]"
"ENSDARG00000013397";"ENSDARG00000013397";"14 x 5";"48hpf_pos.1";"bnip2";"BCL2/adenovirus E1B interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-040109-6]"
"ENSDARG00000018065";"ENSDARG00000018065";"7 x 28";"72hpf_neg";"ntm";"neurotrimin [Source:ZFIN;Acc:ZDB-GENE-060421-6020]"
"ENSDARG00000021398";"ENSDARG00000021398";"38 x 11";"24hpf_pos.1";"mul1a";"mitochondrial E3 ubiquitin protein ligase 1a [Source:ZFIN;Acc:ZDB-GENE-050102-5]"
"ENSDARG00000021607";"ENSDARG00000021607";"8 x 40";"72hpf_neg_tbx5";"negr1";"neuronal growth regulator 1 [Source:ZFIN;Acc:ZDB-GENE-040822-27]"
"ENSDARG00000027345";"ENSDARG00000027345";"14 x 13";"72hpf_pos_hand2.1";"mpzl2b";"myelin protein zero-like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-8774]"
"ENSDARG00000033683";"ENSDARG00000033683";"1 x 8";"72hpf_pos.1";"tpma";"alpha-tropomyosin [Source:ZFIN;Acc:ZDB-GENE-990415-269]"
"ENSDARG00000034273";"ENSDARG00000034273";"2 x 6";"72hpf_pos_tbx5";"sid4";"secreted immunoglobulin domain 4 [Source:ZFIN;Acc:ZDB-GENE-050726-3]"
"ENSDARG00000035544";"ENSDARG00000035544";"11 x 1";"72hpf_pos_tbx5";"etnppl";"ethanolamine-phosphate phospho-lyase [Source:ZFIN;Acc:ZDB-GENE-040426-1133]"
"ENSDARG00000040566";"ENSDARG00000040566";"6 x 14";"72hpf_pos_gata5.1";"phykpl";"5-phosphohydroxy-L-lysine phospho-lyase [Source:ZFIN;Acc:ZDB-GENE-051127-33]"
"ENSDARG00000052713";"ENSDARG00000052713";"5 x 40";"72hpf_neg_tbx5";"lrrtm1";"leucine rich repeat transmembrane neuronal 1 [Source:ZFIN;Acc:ZDB-GENE-050506-80]"
"ENSDARG00000058538";"ENSDARG00000058538";"35 x 40";"24hpf_neg";"alcamb";"activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768]"
"ENSDARG00000060435";"ENSDARG00000060435";"14 x 16";"72hpf_pos_gata5";"bnipl";"BCL2/adenovirus E1B 19kD interacting protein, like [Source:ZFIN;Acc:ZDB-GENE-060503-81]"
"ENSDARG00000067668";"ENSDARG00000067668";"38 x 7";"24hpf_pos.1";"";"centrosomal protein 57 [Source:ZFIN;Acc:ZDB-GENE-070112-522]"
"ENSDARG00000071374";"ENSDARG00000071374";"11 x 37";"72hpf_neg_hand2";"lrrtm2";"leucine rich repeat transmembrane neuronal 2 [Source:ZFIN;Acc:ZDB-GENE-080327-8]"
"ENSDARG00000071576";"ENSDARG00000071576";"28 x 9";"24hpf_neg";"si:dkey-102c8.3";"si:dkey-102c8.3 [Source:ZFIN;Acc:ZDB-GENE-050208-328]"
"ENSDARG00000074335";"ENSDARG00000074335";"16 x 40";"72hpf_neg_gata5";"boc";"BOC cell adhesion associated, oncogene regulated [Source:ZFIN;Acc:ZDB-GENE-030131-6560]"
"ENSDARG00000075014";"ENSDARG00000075014";"4 x 6";"72hpf_pos_gata5";"sqstm1";"sequestosome 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2204]"
"ENSDARG00000078425";"ENSDARG00000078425";"36 x 33";"24hpf_pos.1";"oat";"ornithine aminotransferase [Source:ZFIN;Acc:ZDB-GENE-110411-148]"
"ENSDARG00000080015";"ENSDARG00000080015";"14 x 29";"72hpf_neg_tbx5";"";"leucine rich repeat transmembrane neuronal 4 like 1 [Source:ZFIN;Acc:ZDB-GENE-080327-15]"
"ENSDARG00000098764";"ENSDARG00000098764";"33 x 24";"24hpf_pos";"musk";"muscle, skeletal, receptor tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-030131-6458]"
"ENSDARG00000099386";"ENSDARG00000099386";"15 x 29";"72hpf_neg_tbx5";"";"leucine rich repeat transmembrane neuronal 4 like 2 [Source:ZFIN;Acc:ZDB-GENE-080327-14]"
"ENSDARG00000102508";"ENSDARG00000102508";"10 x 37";"72hpf_neg_tbx5";"flrt1a";"fibronectin leucine rich transmembrane protein 1a [Source:ZFIN;Acc:ZDB-GENE-080327-22]"
"ENSDARG00000104023";"ENSDARG00000104023";"1 x 34";"72hpf_neg";"mag";"myelin associated glycoprotein [Source:ZFIN;Acc:ZDB-GENE-041217-24]"
"ENSDARG00000104138";"ENSDARG00000104138";"5 x 28";"72hpf_pos.1";"igfbp7";"insulin-like growth factor binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2423]"
