"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004952";"ENSDARG00000004952";"23 x 26";"72hpf_neg_tbx5";"rsad2";"radical S-adenosyl methionine domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050913-129]"
"ENSDARG00000008153";"ENSDARG00000008153";"38 x 27";"24hpf_neg";"serinc5";"serine incorporator 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2918]"
"ENSDARG00000010169";"ENSDARG00000010169";"12 x 8";"72hpf_pos";"myd88";"myeloid differentiation primary response 88 [Source:ZFIN;Acc:ZDB-GENE-040219-3]"
"ENSDARG00000010619";"ENSDARG00000010619";"15 x 33";"24hpf_pos.1";"themis";"thymocyte selection associated [Source:ZFIN;Acc:ZDB-GENE-041008-160]"
"ENSDARG00000014995";"ENSDARG00000014995";"16 x 5";"72hpf_pos_gata5.1";"jagn1b";"jagunal homolog 1b [Source:ZFIN;Acc:ZDB-GENE-040801-103]"
"ENSDARG00000015887";"ENSDARG00000015887";"4 x 9";"72hpf_pos_gata5.1";"b2ml";"beta-2-microglobulin, like [Source:ZFIN;Acc:ZDB-GENE-040426-2136]"
"ENSDARG00000016065";"ENSDARG00000016065";"19 x 9";"48hpf_pos.1";"tlr3";"toll-like receptor 3 [Source:ZFIN;Acc:ZDB-GENE-040219-7]"
"ENSDARG00000022254";"ENSDARG00000022254";"14 x 12";"72hpf_neg_tbx5";"prkcbb";"protein kinase C, beta b [Source:ZFIN;Acc:ZDB-GENE-040426-1178]"
"ENSDARG00000025436";"ENSDARG00000025436";"14 x 1";"24hpf_pos";"msrb1a";"methionine sulfoxide reductase B1a [Source:ZFIN;Acc:ZDB-GENE-030411-3]"
"ENSDARG00000041041";"ENSDARG00000041041";"8 x 7";"72hpf_pos_hand2.1";"cxcr3.2";"chemokine (C-X-C motif) receptor 3, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-041114-186]"
"ENSDARG00000041071";"ENSDARG00000041071";"16 x 36";"72hpf_neg_gata5";"jagn1a";"jagunal homolog 1a [Source:ZFIN;Acc:ZDB-GENE-041010-80]"
"ENSDARG00000043781";"ENSDARG00000043781";"26 x 2";"72hpf_pos_gata5.1";"zgc:92791";"proteasome subunit beta 10 [Source:ZFIN;Acc:ZDB-GENE-040718-278]"
"ENSDARG00000044415";"ENSDARG00000044415";"40 x 10";"72hpf_pos_hand2.1";"tlr5a";"toll-like receptor 5a [Source:ZFIN;Acc:ZDB-GENE-040219-14]"
"ENSDARG00000044490";"ENSDARG00000044490";"27 x 23";"24hpf_neg";"tlr9";"toll-like receptor 9 [Source:ZFIN;Acc:ZDB-GENE-040219-10]"
"ENSDARG00000045427";"ENSDARG00000045427";"26 x 9";"48hpf_pos";"si:dkey-96n2.3";"si:dkey-96n2.3 [Source:ZFIN;Acc:ZDB-GENE-091204-118]"
"ENSDARG00000046148";"ENSDARG00000046148";"12 x 9";"72hpf_pos_gata5";"tnfaip8l2b";"tumor necrosis factor, alpha-induced protein 8-like 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1359]"
"ENSDARG00000052322";"ENSDARG00000052322";"12 x 10";"72hpf_pos_hand2.1";"tlr5b";"toll-like receptor 5b [Source:ZFIN;Acc:ZDB-GENE-040219-15]"
"ENSDARG00000053136";"ENSDARG00000053136";"14 x 17";"72hpf_pos_hand2.1";"b2m";"beta-2-microglobulin [Source:ZFIN;Acc:ZDB-GENE-980526-88]"
"ENSDARG00000059866";"ENSDARG00000059866";"24 x 37";"24hpf_pos";"cactin";"cactin [Source:ZFIN;Acc:ZDB-GENE-060503-322]"
"ENSDARG00000062030";"ENSDARG00000062030";"40 x 18";"24hpf_pos.1";"gpr17";"G protein-coupled receptor 17 [Source:ZFIN;Acc:ZDB-GENE-100922-133]"
"ENSDARG00000068812";"ENSDARG00000068812";"13 x 28";"72hpf_neg_hand2";"tlr7";"toll-like receptor 7 [Source:ZFIN;Acc:ZDB-GENE-040219-11]"
"ENSDARG00000071168";"ENSDARG00000071168";"21 x 23";"24hpf_pos.1";"zmp:0000001138";"zmp:0000001138 [Source:ZFIN;Acc:ZDB-GENE-140106-98]"
"ENSDARG00000074302";"ENSDARG00000074302";"40 x 3";"24hpf_pos.1";"gpr183b";"G protein-coupled receptor 183b [Source:ZFIN;Acc:ZDB-GENE-081031-74]"
"ENSDARG00000075592";"ENSDARG00000075592";"40 x 1";"24hpf_pos.1";"tnfaip8l2a";"tumor necrosis factor, alpha-induced protein 8-like 2a [Source:ZFIN;Acc:ZDB-GENE-060616-38]"
"ENSDARG00000090119";"ENSDARG00000090119";"24 x 3";"24hpf_pos";"tlr8a";"toll like receptor 8 [Source:HGNC Symbol;Acc:HGNC:15632]"
"ENSDARG00000100649";"ENSDARG00000100649";"16 x 10";"72hpf_pos_hand2";"tlr1";"toll-like receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040220-1]"
"ENSDARG00000104045";"ENSDARG00000104045";"4 x 6";"72hpf_pos_hand2.1";"tlr22";"toll-like receptor 22 [Source:ZFIN;Acc:ZDB-GENE-040220-5]"
"ENSDARG00000104290";"ENSDARG00000104290";"3 x 13";"72hpf_pos_hand2.1";"ripk2";"receptor-interacting serine-threonine kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030902-3]"
"ENSDARG00000104832";"ENSDARG00000104832";"13 x 9";"72hpf_pos_tbx5";"";""
