"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000019591";"ENSDARG00000019591";"21 x 22";"72hpf_neg_hand2";"";"immunoglobulin light 4 variable 9 [Source:ZFIN;Acc:ZDB-GENE-051013-8]"
"ENSDARG00000051760";"ENSDARG00000051760";"18 x 23";"48hpf_pos.1";"";"immunoglobulin light 4 variable 10 [Source:ZFIN;Acc:ZDB-GENE-051013-5]"
"ENSDARG00000061083";"ENSDARG00000061083";"21 x 20";"72hpf_pos_hand2";"";"immunoglobulin light 4 variable 8 [Source:ZFIN;Acc:ZDB-GENE-051013-6]"
"ENSDARG00000074062";"ENSDARG00000074062";"22 x 23";"72hpf_neg";"";"si:dkey-234i14.15 [Source:ZFIN;Acc:ZDB-GENE-131121-188]"
"ENSDARG00000074928";"ENSDARG00000074928";"21 x 22";"24hpf_pos";"";"si:dkey-234i14.13 [Source:ZFIN;Acc:ZDB-GENE-131121-140]"
"ENSDARG00000077452";"ENSDARG00000077452";"23 x 25";"72hpf_neg";"";"si:dkey-234i14.14 [Source:ZFIN;Acc:ZDB-GENE-131127-104]"
"ENSDARG00000079843";"ENSDARG00000079843";"21 x 31";"72hpf_neg_gata5";"LOC101884895";"si:dkey-234i14.9 [Source:ZFIN;Acc:ZDB-GENE-131120-152]"
"ENSDARG00000087920";"ENSDARG00000087920";"11 x 22";"72hpf_pos.1";"nitr10a";"novel immune-type receptor 10a [Source:ZFIN;Acc:ZDB-GENE-041001-5]"
"ENSDARG00000093689";"ENSDARG00000093689";"17 x 23";"72hpf_neg_hand2";"";""
"ENSDARG00000093855";"ENSDARG00000093855";"20 x 23";"72hpf_neg_tbx5";"";"immunoglobulin light 3 variable 2 [Source:ZFIN;Acc:ZDB-GENE-060503-410]"
"ENSDARG00000094537";"ENSDARG00000094537";"36 x 15";"24hpf_pos.1";"si:ch211-137i24.12";"si:ch211-137i24.12 [Source:ZFIN;Acc:ZDB-GENE-060526-36]"
