"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009299";"ENSDARG00000009299";"14 x 35";"72hpf_neg_tbx5";"dusp8a";"dual specificity phosphatase 8a [Source:ZFIN;Acc:ZDB-GENE-040426-1842]"
"ENSDARG00000019307";"ENSDARG00000019307";"40 x 1";"24hpf_pos";"dusp5";"dual specificity phosphatase 5 [Source:ZFIN;Acc:ZDB-GENE-010625-1]"
"ENSDARG00000039232";"ENSDARG00000039232";"25 x 1";"24hpf_pos.1";"dusp8b";"dual specificity phosphatase 8b [Source:ZFIN;Acc:ZDB-GENE-120914-3]"
"ENSDARG00000044688";"ENSDARG00000044688";"18 x 6";"48hpf_pos";"dusp4";"dual specificity phosphatase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-709]"
"ENSDARG00000052465";"ENSDARG00000052465";"40 x 9";"24hpf_pos.1";"dusp10";"dual specificity phosphatase 10 [Source:ZFIN;Acc:ZDB-GENE-041014-271]"
"ENSDARG00000057625";"ENSDARG00000057625";"40 x 13";"24hpf_pos.1";"dusp14";"dual specificity phosphatase 14 [Source:ZFIN;Acc:ZDB-GENE-041010-162]"
"ENSDARG00000059695";"ENSDARG00000059695";"26 x 16";"48hpf_pos";"dusp28";"dual specificity phosphatase 28 [Source:ZFIN;Acc:ZDB-GENE-131127-257]"
"ENSDARG00000061255";"ENSDARG00000061255";"6 x 34";"72hpf_neg_tbx5";"dusp3a";"dual specificity phosphatase 3a [Source:ZFIN;Acc:ZDB-GENE-111207-3]"
"ENSDARG00000067564";"ENSDARG00000067564";"34 x 22";"24hpf_pos";"zgc:153044";"zgc:153044 [Source:ZFIN;Acc:ZDB-GENE-060825-247]"
"ENSDARG00000070914";"ENSDARG00000070914";"40 x 11";"24hpf_pos";"dusp6";"dual specificity phosphatase 6 [Source:ZFIN;Acc:ZDB-GENE-030613-1]"
"ENSDARG00000078317";"ENSDARG00000078317";"6 x 37";"72hpf_neg_tbx5";"si:dkey-175m17.7";"si:dkey-175m17.7 [Source:ZFIN;Acc:ZDB-GENE-091204-18]"
"ENSDARG00000078598";"ENSDARG00000078598";"17 x 14";"72hpf_pos";"si:ch1073-184j22.2";"si:ch1073-184j22.2 [Source:ZFIN;Acc:ZDB-GENE-081104-32]"
"ENSDARG00000098108";"ENSDARG00000098108";"9 x 1";"72hpf_pos_gata5";"dusp2";"dual specificity phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-188]"
"ENSDARG00000100515";"ENSDARG00000100515";"9 x 9";"72hpf_pos.1";"dusp1";"dual specificity phosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2018]"
"ENSDARG00000101413";"ENSDARG00000101413";"17 x 31";"24hpf_pos.1";"dusp7";"dual specificity phosphatase 7 [Source:ZFIN;Acc:ZDB-GENE-030131-5457]"
"ENSDARG00000102474";"ENSDARG00000102474";"11 x 17";"72hpf_pos.1";"dusp16";"dual specificity phosphatase 16 [Source:ZFIN;Acc:ZDB-GENE-040426-2360]"
