"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004402";"ENSDARG00000004402";"8 x 34";"72hpf_neg_tbx5";"elovl6";"ELOVL fatty acid elongase 6 [Source:ZFIN;Acc:ZDB-GENE-030114-1]"
"ENSDARG00000004979";"ENSDARG00000004979";"39 x 1";"72hpf_pos_hand2.1";"elovl5";"ELOVL fatty acid elongase 5 [Source:ZFIN;Acc:ZDB-GENE-040407-2]"
"ENSDARG00000006773";"ENSDARG00000006773";"11 x 39";"48hpf_neg";"elovl4a";"ELOVL fatty acid elongase 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1767]"
"ENSDARG00000007886";"ENSDARG00000007886";"40 x 24";"24hpf_pos.1";"slc35b2";"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2 [Source:ZFIN;Acc:ZDB-GENE-050213-1]"
"ENSDARG00000013721";"ENSDARG00000013721";"1 x 6";"72hpf_pos_tbx5";"g6pca.2";"glucose-6-phosphatase a, catalytic subunit, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050309-17]"
"ENSDARG00000013763";"ENSDARG00000013763";"28 x 37";"24hpf_neg";"rrbp1a";"ribosome binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9795]"
"ENSDARG00000014806";"ENSDARG00000014806";"2 x 19";"72hpf_pos_tbx5.1";"hacd2";"3-hydroxyacyl-CoA dehydratase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6053]"
"ENSDARG00000014967";"ENSDARG00000014967";"21 x 19";"72hpf_pos_hand2";"g6pcb";"glucose-6-phosphatase b, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-081223-2]"
"ENSDARG00000016038";"ENSDARG00000016038";"13 x 22";"72hpf_pos_tbx5.1";"hacd3";"3-hydroxyacyl-CoA dehydratase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1200]"
"ENSDARG00000027495";"ENSDARG00000027495";"1 x 32";"72hpf_pos.1";"elovl4b";"ELOVL fatty acid elongase 4b [Source:ZFIN;Acc:ZDB-GENE-030131-7672]"
"ENSDARG00000029621";"ENSDARG00000029621";"32 x 7";"24hpf_pos";"sgms1";"sphingomyelin synthase 1 [Source:ZFIN;Acc:ZDB-GENE-061103-295]"
"ENSDARG00000031616";"ENSDARG00000031616";"13 x 11";"72hpf_pos_tbx5.1";"g6pca.1";"glucose-6-phosphatase a, catalytic subunit, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-031001-4]"
"ENSDARG00000032802";"ENSDARG00000032802";"15 x 10";"72hpf_pos_hand2.1";"ktn1";"kinectin 1 [Source:ZFIN;Acc:ZDB-GENE-030408-4]"
"ENSDARG00000032816";"ENSDARG00000032816";"17 x 31";"72hpf_pos_gata5";"tm7sf2";"transmembrane 7 superfamily member 2 [Source:ZFIN;Acc:ZDB-GENE-041212-19]"
"ENSDARG00000036897";"ENSDARG00000036897";"15 x 18";"72hpf_pos_gata5";"";"zgc:100911 [Source:ZFIN;Acc:ZDB-GENE-040801-162]"
"ENSDARG00000036915";"ENSDARG00000036915";"40 x 24";"48hpf_pos.1";"dolpp1";"dolichyldiphosphatase 1 [Source:ZFIN;Acc:ZDB-GENE-041024-11]"
"ENSDARG00000038213";"ENSDARG00000038213";"20 x 39";"72hpf_pos.1";"slc35b1";"solute carrier family 35, member B1 [Source:ZFIN;Acc:ZDB-GENE-040912-148]"
"ENSDARG00000038270";"ENSDARG00000038270";"29 x 13";"48hpf_pos";"si:ch73-49o8.1";"si:ch73-49o8.1 [Source:ZFIN;Acc:ZDB-GENE-141215-6]"
"ENSDARG00000038639";"ENSDARG00000038639";"12 x 19";"72hpf_pos_gata5";"elovl6l";"ELOVL family member 6, elongation of long chain fatty acids like [Source:ZFIN;Acc:ZDB-GENE-031110-3]"
"ENSDARG00000041703";"ENSDARG00000041703";"18 x 36";"72hpf_neg_gata5";"rrbp1b";"ribosome binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-030429-36]"
"ENSDARG00000044090";"ENSDARG00000044090";"32 x 11";"24hpf_pos";"zmpste24";"zinc metallopeptidase, STE24 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-6312]"
"ENSDARG00000044584";"ENSDARG00000044584";"37 x 8";"24hpf_pos";"tex261";"testis expressed 261 [Source:ZFIN;Acc:ZDB-GENE-050522-400]"
"ENSDARG00000045414";"ENSDARG00000045414";"37 x 6";"24hpf_pos";"elovl2";"ELOVL fatty acid elongase 2 [Source:ZFIN;Acc:ZDB-GENE-060421-5612]"
"ENSDARG00000045437";"ENSDARG00000045437";"16 x 10";"72hpf_pos_hand2.1";"slc35b3";"solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3 [Source:ZFIN;Acc:ZDB-GENE-060312-46]"
"ENSDARG00000052520";"ENSDARG00000052520";"18 x 33";"72hpf_neg_gata5";"sgms2";"sphingomyelin synthase 2 [Source:ZFIN;Acc:ZDB-GENE-070730-2]"
"ENSDARG00000057053";"ENSDARG00000057053";"18 x 12";"72hpf_pos";"zgc:91976";"zgc:91976 [Source:ZFIN;Acc:ZDB-GENE-041114-201]"
"ENSDARG00000057365";"ENSDARG00000057365";"10 x 10";"72hpf_pos_tbx5.1";"elovl8b";"ELOVL fatty acid elongase 8b [Source:ZFIN;Acc:ZDB-GENE-050522-453]"
"ENSDARG00000059298";"ENSDARG00000059298";"40 x 23";"72hpf_pos_gata5.1";"spcs1";"signal peptidase complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050809-130]"
