"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002394";"ENSDARG00000002394";"18 x 10";"72hpf_pos";"ugt5d1";"UDP glucuronosyltransferase 5 family, polypeptide D1 [Source:ZFIN;Acc:ZDB-GENE-091118-36]"
"ENSDARG00000006220";"ENSDARG00000006220";"3 x 7";"72hpf_pos.1";"ugt1ab";"UDP glucuronosyltransferase 1 family a, b [Source:ZFIN;Acc:ZDB-GENE-040426-2762]"
"ENSDARG00000006372";"ENSDARG00000006372";"21 x 18";"72hpf_pos_tbx5.1";"ugt5c2";"UDP glucuronosyltransferase 5 family, polypeptide C2 [Source:ZFIN;Acc:ZDB-GENE-060825-206]"
"ENSDARG00000007788";"ENSDARG00000007788";"1 x 35";"72hpf_neg_gata5";"atp2b1b";"ATPase, Ca++ transporting, plasma membrane 1b [Source:ZFIN;Acc:ZDB-GENE-080409-1]"
"ENSDARG00000008322";"ENSDARG00000008322";"29 x 33";"24hpf_pos.1";"ambra1a";"autophagy/beclin-1 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-111104-2]"
"ENSDARG00000010047";"ENSDARG00000010047";"32 x 26";"72hpf_neg";"neu3.2";"sialidase 3 (membrane sialidase), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040801-262]"
"ENSDARG00000010555";"ENSDARG00000010555";"25 x 27";"72hpf_neg";"pdha1b";"pyruvate dehydrogenase (lipoamide) alpha 1b [Source:ZFIN;Acc:ZDB-GENE-040718-96]"
"ENSDARG00000010782";"ENSDARG00000010782";"21 x 23";"72hpf_neg_tbx5";"zgc:55621";"zgc:55621 [Source:ZFIN;Acc:ZDB-GENE-040426-762]"
"ENSDARG00000011537";"ENSDARG00000011537";"8 x 13";"72hpf_pos.1";"ugt2a5";"UDP glucuronosyltransferase 2 family, polypeptide A5 [Source:ZFIN;Acc:ZDB-GENE-060929-796]"
"ENSDARG00000012369";"ENSDARG00000012369";"30 x 6";"24hpf_pos";"rdh10b";"retinol dehydrogenase 10b [Source:ZFIN;Acc:ZDB-GENE-030909-7]"
"ENSDARG00000012387";"ENSDARG00000012387";"13 x 14";"72hpf_pos.1";"pdha1a";"pyruvate dehydrogenase (lipoamide) alpha 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2719]"
