"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000503";"ENSDARG00000000503";"1 x 40";"72hpf_neg_tbx5";"stx1b";"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]"
"ENSDARG00000000837";"ENSDARG00000000837";"37 x 1";"24hpf_pos.1";"snx9a";"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]"
"ENSDARG00000001880";"ENSDARG00000001880";"17 x 32";"72hpf_neg_gata5";"stx3a";"syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]"
"ENSDARG00000002127";"ENSDARG00000002127";"11 x 25";"48hpf_neg";"stam";"signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 [Source:ZFIN;Acc:ZDB-GENE-031118-123]"
"ENSDARG00000002790";"ENSDARG00000002790";"40 x 4";"24hpf_pos.1";"ap2m1a";"adaptor-related protein complex 2, mu 1 subunit, a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"
"ENSDARG00000003175";"ENSDARG00000003175";"10 x 17";"72hpf_pos_gata5";"stx5al";"syntaxin 5A, like [Source:ZFIN;Acc:ZDB-GENE-030131-1825]"
"ENSDARG00000003307";"ENSDARG00000003307";"24 x 36";"24hpf_pos";"stx16";"syntaxin 16 [Source:ZFIN;Acc:ZDB-GENE-060810-113]"
"ENSDARG00000003381";"ENSDARG00000003381";"30 x 9";"72hpf_pos";"si:ch211-266g18.6";"si:ch211-266g18.6 [Source:ZFIN;Acc:ZDB-GENE-131121-599]"
"ENSDARG00000003520";"ENSDARG00000003520";"5 x 22";"72hpf_pos.1";"tbc1d14";"TBC1 domain family, member 14 [Source:ZFIN;Acc:ZDB-GENE-030131-6136]"
"ENSDARG00000003845";"ENSDARG00000003845";"39 x 20";"72hpf_pos";"chm";"choroideremia (Rab escort protein 1) [Source:ZFIN;Acc:ZDB-GENE-030318-2]"
"ENSDARG00000004173";"ENSDARG00000004173";"27 x 29";"72hpf_neg";"copa";"coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]"
"ENSDARG00000004618";"ENSDARG00000004618";"8 x 15";"72hpf_pos_gata5";"stx2a";"syntaxin 2a [Source:ZFIN;Acc:ZDB-GENE-040801-80]"
"ENSDARG00000005318";"ENSDARG00000005318";"16 x 3";"48hpf_pos.1";"stam2";"signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 [Source:ZFIN;Acc:ZDB-GENE-041114-64]"
"ENSDARG00000005540";"ENSDARG00000005540";"38 x 37";"24hpf_pos.1";"xpo7";"exportin 7 [Source:ZFIN;Acc:ZDB-GENE-060628-2]"
"ENSDARG00000005927";"ENSDARG00000005927";"5 x 16";"72hpf_pos_gata5.1";"tbc1d17";"TBC1 domain family, member 17 [Source:ZFIN;Acc:ZDB-GENE-050522-79]"
"ENSDARG00000006617";"ENSDARG00000006617";"37 x 20";"24hpf_pos.1";"napga";"N-ethylmaleimide-sensitive factor attachment protein, gamma a [Source:ZFIN;Acc:ZDB-GENE-050320-46]"
"ENSDARG00000006869";"ENSDARG00000006869";"7 x 15";"72hpf_pos";"stx17";"syntaxin 17 [Source:ZFIN;Acc:ZDB-GENE-041114-164]"
"ENSDARG00000006963";"ENSDARG00000006963";"34 x 9";"72hpf_pos.1";"cse1l";"CSE1 chromosome segregation 1-like (yeast) [Source:ZFIN;Acc:ZDB-GENE-990603-1]"
"ENSDARG00000009087";"ENSDARG00000009087";"10 x 13";"72hpf_pos";"cd74a";"CD74 molecule, major histocompatibility complex, class II invariant chain a [Source:ZFIN;Acc:ZDB-GENE-000901-1]"
"ENSDARG00000009217";"ENSDARG00000009217";"16 x 36";"72hpf_neg_gata5";"tom1l2";"target of myb1 like 2 membrane trafficking protein [Source:ZFIN;Acc:ZDB-GENE-061013-3]"
"ENSDARG00000013667";"ENSDARG00000013667";"37 x 6";"24hpf_pos.1";"tbck";"TBC1 domain containing kinase [Source:ZFIN;Acc:ZDB-GENE-070112-1062]"
"ENSDARG00000013669";"ENSDARG00000013669";"4 x 39";"72hpf_neg_tbx5";"napba";"N-ethylmaleimide-sensitive factor attachment protein, beta a [Source:ZFIN;Acc:ZDB-GENE-050522-230]"
"ENSDARG00000013726";"ENSDARG00000013726";"11 x 25";"72hpf_pos.1";"ap4b1";"adaptor-related protein complex 4, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1284]"
"ENSDARG00000014954";"ENSDARG00000014954";"27 x 25";"72hpf_pos_hand2.1";"snx33";"sorting nexin 33 [Source:ZFIN;Acc:ZDB-GENE-041111-209]"
"ENSDARG00000015823";"ENSDARG00000015823";"33 x 1";"72hpf_pos";"vps26b";"VPS26 retromer complex component B [Source:ZFIN;Acc:ZDB-GENE-040426-2699]"
"ENSDARG00000016128";"ENSDARG00000016128";"2 x 12";"48hpf_pos.1";"ap3m2";"adaptor-related protein complex 3, mu 2 subunit [Source:ZFIN;Acc:ZDB-GENE-021022-2]"
"ENSDARG00000016231";"ENSDARG00000016231";"16 x 2";"72hpf_pos_gata5.1";"bcap29";"B-cell receptor-associated protein 29 [Source:ZFIN;Acc:ZDB-GENE-050522-468]"
"ENSDARG00000016753";"ENSDARG00000016753";"35 x 5";"24hpf_pos";"ipo9";"importin 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2953]"
"ENSDARG00000016977";"ENSDARG00000016977";"11 x 26";"72hpf_pos.1";"snx27b";"sorting nexin family member 27b [Source:ZFIN;Acc:ZDB-GENE-040426-1529]"
"ENSDARG00000017844";"ENSDARG00000017844";"28 x 6";"24hpf_pos";"";"coatomer protein complex, subunit zeta 1 [Source:ZFIN;Acc:ZDB-GENE-000406-6]"
"ENSDARG00000018637";"ENSDARG00000018637";"31 x 26";"72hpf_pos_gata5.1";"sec61g";"Sec61 translocon gamma subunit [Source:ZFIN;Acc:ZDB-GENE-040718-203]"
"ENSDARG00000019038";"ENSDARG00000019038";"1 x 13";"72hpf_pos_gata5";"sgsm3";"small G protein signaling modulator 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2635]"
"ENSDARG00000019360";"ENSDARG00000019360";"13 x 18";"72hpf_pos_gata5";"sec23b";"Sec23 homolog B, COPII coat complex component [Source:ZFIN;Acc:ZDB-GENE-030131-5479]"
"ENSDARG00000019581";"ENSDARG00000019581";"4 x 18";"72hpf_pos_gata5.1";"uso1";"USO1 vesicle transport factor [Source:ZFIN;Acc:ZDB-GENE-040426-688]"
"ENSDARG00000020397";"ENSDARG00000020397";"5 x 3";"48hpf_pos";"snx15";"sorting nexin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-1377]"
"ENSDARG00000020405";"ENSDARG00000020405";"6 x 3";"72hpf_pos_gata5.1";"napab";"N-ethylmaleimide-sensitive factor attachment protein, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-5290]"
"ENSDARG00000020442";"ENSDARG00000020442";"12 x 1";"24hpf_pos.1";"snx5";"sorting nexin 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2857]"
"ENSDARG00000020621";"ENSDARG00000020621";"40 x 34";"24hpf_pos";"ap1b1";"adaptor-related protein complex 1, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-061025-1]"
"ENSDARG00000020960";"ENSDARG00000020960";"25 x 1";"72hpf_pos_hand2.1";"hgs";"hepatocyte growth factor-regulated tyrosine kinase substrate [Source:ZFIN;Acc:ZDB-GENE-030131-6107]"
"ENSDARG00000022187";"ENSDARG00000022187";"40 x 13";"24hpf_pos.1";"usp6nl";"USP6 N-terminal like [Source:ZFIN;Acc:ZDB-GENE-041210-192]"
"ENSDARG00000025033";"ENSDARG00000025033";"4 x 18";"72hpf_pos.1";"stx5a";"syntaxin 5A [Source:ZFIN;Acc:ZDB-GENE-040718-18]"
"ENSDARG00000026967";"ENSDARG00000026967";"30 x 1";"24hpf_pos.1";"ap2s1";"adaptor-related protein complex 2, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2174]"
"ENSDARG00000026988";"ENSDARG00000026988";"36 x 31";"24hpf_pos.1";"tbc1d22b";"TBC1 domain family, member 22B [Source:ZFIN;Acc:ZDB-GENE-091118-28]"
"ENSDARG00000027966";"ENSDARG00000027966";"39 x 3";"24hpf_pos";"ap1s3b";"adaptor-related protein complex 1, sigma 3 subunit, b [Source:ZFIN;Acc:ZDB-GENE-040912-62]"
"ENSDARG00000028857";"ENSDARG00000028857";"12 x 37";"72hpf_neg_tbx5";"sgsm1a";"small G protein signaling modulator 1a [Source:ZFIN;Acc:ZDB-GENE-060526-379]"
"ENSDARG00000029290";"ENSDARG00000029290";"5 x 13";"72hpf_pos_gata5";"stx11b.1";"syntaxin 11b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1893]"
"ENSDARG00000029510";"ENSDARG00000029510";"27 x 6";"24hpf_pos";"";"translocase of inner mitochondrial membrane 17 homolog A (yeast) [Source:ZFIN;Acc:ZDB-GENE-031030-6]"
"ENSDARG00000029928";"ENSDARG00000029928";"11 x 15";"72hpf_pos_tbx5.1";"ap3m1";"adaptor-related protein complex 3, mu 1 subunit [Source:ZFIN;Acc:ZDB-GENE-021015-2]"
"ENSDARG00000030269";"ENSDARG00000030269";"33 x 22";"24hpf_pos";"grtp1b";"growth hormone regulated TBC protein 1b [Source:ZFIN;Acc:ZDB-GENE-050417-346]"
"ENSDARG00000033320";"ENSDARG00000033320";"28 x 1";"24hpf_pos.1";"sar1ab";"secretion associated, Ras related GTPase 1Ab [Source:ZFIN;Acc:ZDB-GENE-050417-437]"
"ENSDARG00000033899";"ENSDARG00000033899";"14 x 31";"72hpf_neg_hand2";"ap2m1b";"adaptor-related protein complex 2, mu 1 subunit, b [Source:ZFIN;Acc:ZDB-GENE-040426-1103]"
"ENSDARG00000034823";"ENSDARG00000034823";"13 x 24";"72hpf_neg_hand2";"copg2";"coatomer protein complex, subunit gamma 2 [Source:ZFIN;Acc:ZDB-GENE-000208-8]"
"ENSDARG00000035152";"ENSDARG00000035152";"3 x 19";"72hpf_neg_tbx5";"ap2b1";"adaptor-related protein complex 2, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-030131-6564]"
"ENSDARG00000035390";"ENSDARG00000035390";"24 x 36";"48hpf_neg";"tnpo1";"transportin 1 [Source:ZFIN;Acc:ZDB-GENE-080819-1]"
"ENSDARG00000035751";"ENSDARG00000035751";"36 x 20";"24hpf_neg";"ipo7";"importin 7 [Source:ZFIN;Acc:ZDB-GENE-030131-458]"
"ENSDARG00000035763";"ENSDARG00000035763";"29 x 1";"24hpf_pos.1";"stx18";"syntaxin 18 [Source:ZFIN;Acc:ZDB-GENE-050522-397]"
"ENSDARG00000036212";"ENSDARG00000036212";"5 x 4";"72hpf_pos_gata5.1";"tbc1d5";"TBC1 domain family, member 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1197]"
"ENSDARG00000036338";"ENSDARG00000036338";"25 x 1";"48hpf_pos.1";"vps11";"vacuolar protein sorting 11 [Source:ZFIN;Acc:ZDB-GENE-050731-5]"
"ENSDARG00000036628";"ENSDARG00000036628";"10 x 9";"72hpf_pos_hand2.1";"cd74b";"CD74 molecule, major histocompatibility complex, class II invariant chain b [Source:ZFIN;Acc:ZDB-GENE-990910-10]"
"ENSDARG00000036994";"ENSDARG00000036994";"29 x 3";"24hpf_pos";"tbc1d16";"TBC1 domain family, member 16 [Source:ZFIN;Acc:ZDB-GENE-041010-179]"
"ENSDARG00000037408";"ENSDARG00000037408";"40 x 38";"24hpf_pos.1";"tbc1d10c";"TBC1 domain family, member 10C [Source:ZFIN;Acc:ZDB-GENE-130125-1]"
"ENSDARG00000037895";"ENSDARG00000037895";"40 x 37";"24hpf_pos";"ramp2";"receptor (G protein-coupled) activity modifying protein 2 [Source:ZFIN;Acc:ZDB-GENE-080204-79]"
"ENSDARG00000038237";"ENSDARG00000038237";"25 x 19";"72hpf_pos_hand2.1";"";"TBC1 domain family, member 12a [Source:ZFIN;Acc:ZDB-GENE-030131-3920]"
"ENSDARG00000038239";"ENSDARG00000038239";"36 x 5";"24hpf_pos";"tnpo2";"transportin 2 (importin 3, karyopherin beta 2b) [Source:ZFIN;Acc:ZDB-GENE-040822-16]"
"ENSDARG00000038537";"ENSDARG00000038537";"31 x 3";"72hpf_pos";"gga1";"golgi-associated, gamma adaptin ear containing, ARF binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040822-13]"
"ENSDARG00000038743";"ENSDARG00000038743";"12 x 22";"72hpf_pos.1";"copb2";"coatomer protein complex, subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-010724-7]"
"ENSDARG00000038814";"ENSDARG00000038814";"7 x 36";"72hpf_neg_tbx5";"";"myosin VIIA and Rab interacting protein [Source:ZFIN;Acc:ZDB-GENE-080123-1]"
"ENSDARG00000039270";"ENSDARG00000039270";"14 x 5";"72hpf_pos_hand2.1";"vti1b";"vesicle transport through interaction with t-SNAREs 1B [Source:ZFIN;Acc:ZDB-GENE-040426-1148]"
"ENSDARG00000039512";"ENSDARG00000039512";"1 x 25";"72hpf_pos_gata5";"ap1m3";"adaptor-related protein complex 1, mu 3 subunit [Source:ZFIN;Acc:ZDB-GENE-040801-159]"
"ENSDARG00000039882";"ENSDARG00000039882";"2 x 17";"72hpf_pos_tbx5.1";"ap3s2";"adaptor-related protein complex 3, sigma 2 subunit [Source:ZFIN;Acc:ZDB-GENE-040718-274]"
"ENSDARG00000041217";"ENSDARG00000041217";"35 x 16";"24hpf_pos.1";"xpo6";"exportin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-5912]"
"ENSDARG00000041493";"ENSDARG00000041493";"36 x 5";"24hpf_pos.1";"ipo4";"importin 4 [Source:ZFIN;Acc:ZDB-GENE-041014-307]"
"ENSDARG00000041589";"ENSDARG00000041589";"10 x 1";"48hpf_pos.1";"adprhl1";"ADP-ribosylhydrolase like 1 [Source:ZFIN;Acc:ZDB-GENE-041010-126]"
"ENSDARG00000042231";"ENSDARG00000042231";"10 x 19";"72hpf_pos_gata5";"stx11b.2";"syntaxin 11b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050417-148]"
"ENSDARG00000042742";"ENSDARG00000042742";"3 x 14";"72hpf_pos_tbx5.1";"stx6";"syntaxin 6 [Source:ZFIN;Acc:ZDB-GENE-030131-858]"
"ENSDARG00000043012";"ENSDARG00000043012";"9 x 34";"72hpf_neg_gata5";"napgb";"N-ethylmaleimide-sensitive factor attachment protein, gamma b [Source:ZFIN;Acc:ZDB-GENE-040718-171]"
"ENSDARG00000043468";"ENSDARG00000043468";"3 x 9";"72hpf_pos_hand2.1";"sytl3";"synaptotagmin-like 3 [Source:ZFIN;Acc:ZDB-GENE-040724-150]"
"ENSDARG00000043493";"ENSDARG00000043493";"38 x 33";"24hpf_pos.1";"cltca";"clathrin, heavy chain a (Hc) [Source:ZFIN;Acc:ZDB-GENE-030131-2299]"
"ENSDARG00000043627";"ENSDARG00000043627";"8 x 4";"72hpf_pos_tbx5";"tbc1d9b";"TBC1 domain family member 9B [Source:HGNC Symbol;Acc:HGNC:29097]"
"ENSDARG00000044039";"ENSDARG00000044039";"10 x 1";"72hpf_pos_hand2.1";"stx11a";"syntaxin 11a [Source:ZFIN;Acc:ZDB-GENE-040426-2564]"
"ENSDARG00000044136";"ENSDARG00000044136";"23 x 6";"72hpf_pos_gata5.1";"rab3gap2";"RAB3 GTPase activating protein subunit 2 (non-catalytic) [Source:ZFIN;Acc:ZDB-GENE-030616-610]"
"ENSDARG00000044605";"ENSDARG00000044605";"1 x 12";"48hpf_pos.1";"stx12l";"syntaxin 12, like [Source:ZFIN;Acc:ZDB-GENE-110715-1]"
"ENSDARG00000044625";"ENSDARG00000044625";"40 x 19";"24hpf_pos.1";"pcf11";"PCF11 cleavage and polyadenylation factor subunit [Source:ZFIN;Acc:ZDB-GENE-041114-175]"
"ENSDARG00000044972";"ENSDARG00000044972";"5 x 15";"48hpf_pos";"bcap31";"B-cell receptor-associated protein 31 [Source:ZFIN;Acc:ZDB-GENE-030616-63]"
"ENSDARG00000045065";"ENSDARG00000045065";"22 x 1";"48hpf_pos.1";"vti1a";"vesicle transport through interaction with t-SNAREs 1A [Source:ZFIN;Acc:ZDB-GENE-050809-135]"
"ENSDARG00000045146";"ENSDARG00000045146";"31 x 8";"72hpf_pos";"tomm22";"translocase of outer mitochondrial membrane 22 homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-9810]"
"ENSDARG00000045510";"ENSDARG00000045510";"25 x 19";"72hpf_pos_tbx5";"tbc1d22a";"TBC1 domain family, member 22a [Source:ZFIN;Acc:ZDB-GENE-041114-144]"
"ENSDARG00000045618";"ENSDARG00000045618";"37 x 18";"24hpf_pos.1";"clta";"clathrin, light chain A [Source:ZFIN;Acc:ZDB-GENE-040426-1986]"
"ENSDARG00000045946";"ENSDARG00000045946";"18 x 36";"72hpf_neg";"sec24d";"SEC24 homolog D, COPII coat complex component [Source:ZFIN;Acc:ZDB-GENE-070117-2501]"
"ENSDARG00000051836";"ENSDARG00000051836";"12 x 10";"72hpf_pos_hand2.1";"si:dkeyp-19e1.3";"si:dkeyp-19e1.3 [Source:ZFIN;Acc:ZDB-GENE-081104-56]"
