"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007444";"ENSDARG00000007444";"38 x 23";"24hpf_pos";"ift81";"intraflagellar transport 81 homolog [Source:ZFIN;Acc:ZDB-GENE-040714-3]"
"ENSDARG00000011240";"ENSDARG00000011240";"12 x 28";"72hpf_neg_tbx5";"ift46";"intraflagellar transport 46 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-080102-3]"
"ENSDARG00000012039";"ENSDARG00000012039";"23 x 40";"24hpf_neg";"ttc26";"tetratricopeptide repeat domain 26 [Source:ZFIN;Acc:ZDB-GENE-041212-41]"
"ENSDARG00000021022";"ENSDARG00000021022";"40 x 22";"72hpf_pos_gata5.1";"ift57";"intraflagellar transport 57 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-040614-1]"
"ENSDARG00000023495";"ENSDARG00000023495";"32 x 29";"24hpf_pos.1";"ift74";"intraflagellar transport 74 [Source:ZFIN;Acc:ZDB-GENE-040718-81]"
"ENSDARG00000027234";"ENSDARG00000027234";"11 x 30";"72hpf_neg_hand2";"ift88";"intraflagellar transport 88 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-574]"
"ENSDARG00000038024";"ENSDARG00000038024";"7 x 26";"72hpf_pos.1";"flr";"fleer [Source:ZFIN;Acc:ZDB-GENE-070117-2066]"
"ENSDARG00000045025";"ENSDARG00000045025";"9 x 25";"72hpf_pos.1";"ift52";"intraflagellar transport 52 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-040614-3]"
"ENSDARG00000057635";"ENSDARG00000057635";"30 x 12";"24hpf_pos";"wdr34";"WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9]"
"ENSDARG00000059287";"ENSDARG00000059287";"28 x 27";"72hpf_neg";"mak";"male germ cell-associated kinase [Source:ZFIN;Acc:ZDB-GENE-030131-7279]"
"ENSDARG00000067777";"ENSDARG00000067777";"7 x 17";"72hpf_pos.1";"zgc:158640";"zgc:158640 [Source:ZFIN;Acc:ZDB-GENE-061215-15]"
"ENSDARG00000099279";"ENSDARG00000099279";"36 x 22";"24hpf_neg";"ift27";"intraflagellar transport 27 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-041212-9]"
