"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007982";"ENSDARG00000007982";"11 x 39";"24hpf_neg";"onecut1";"one cut homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1469]"
"ENSDARG00000008735";"ENSDARG00000008735";"16 x 4";"48hpf_pos";"atp6ap2";"ATPase, H+ transporting, lysosomal accessory protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1960]"
"ENSDARG00000030756";"ENSDARG00000030756";"37 x 33";"24hpf_neg";"dnmt1";"DNA (cytosine-5-)-methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-990714-15]"
"ENSDARG00000036473";"ENSDARG00000036473";"36 x 23";"24hpf_pos";"snapc2";"small nuclear RNA activating complex, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-120328-2]"
"ENSDARG00000040649";"ENSDARG00000040649";"31 x 40";"24hpf_pos.1";"prickle1a";"prickle homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030724-5]"
"ENSDARG00000052928";"ENSDARG00000052928";"33 x 17";"24hpf_pos";"arf6b";"ADP-ribosylation factor 6b [Source:ZFIN;Acc:ZDB-GENE-030131-9056]"
"ENSDARG00000067673";"ENSDARG00000067673";"36 x 25";"24hpf_neg";"snapc4";"small nuclear RNA activating complex, polypeptide 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5794]"
"ENSDARG00000078416";"ENSDARG00000078416";"10 x 40";"72hpf_neg_tbx5";"zeb2b";"zinc finger E-box binding homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-080717-1]"
"ENSDARG00000100844";"ENSDARG00000100844";"8 x 12";"72hpf_pos_tbx5";"cldn15lb";"claudin 15-like b [Source:ZFIN;Acc:ZDB-GENE-040718-145]"
"ENSDARG00000101626";"ENSDARG00000101626";"33 x 5";"24hpf_pos";"arf6a";"ADP-ribosylation factor 6a [Source:ZFIN;Acc:ZDB-GENE-030131-8007]"
