"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009899";"ENSDARG00000009899";"14 x 39";"72hpf_neg_gata5";"znf385a";"zinc finger protein 385A [Source:ZFIN;Acc:ZDB-GENE-090313-255]"
"ENSDARG00000030602";"ENSDARG00000030602";"18 x 4";"72hpf_pos_gata5.1";"rps19";"ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]"
"ENSDARG00000041232";"ENSDARG00000041232";"22 x 4";"24hpf_pos";"rps29";"ribosomal protein S29 [Source:ZFIN;Acc:ZDB-GENE-040622-5]"
"ENSDARG00000058154";"ENSDARG00000058154";"2 x 37";"72hpf_neg_tbx5";"znf385c";"zinc finger protein 385C [Source:ZFIN;Acc:ZDB-GENE-091112-1]"
"ENSDARG00000058679";"ENSDARG00000058679";"31 x 30";"72hpf_pos_gata5.1";"zgc:114104";"zgc:114104 [Source:ZFIN;Acc:ZDB-GENE-050913-63]"
"ENSDARG00000061419";"ENSDARG00000061419";"13 x 29";"72hpf_neg_hand2";"";"zinc finger, matrin-type 4b [Source:ZFIN;Acc:ZDB-GENE-091118-68]"
"ENSDARG00000074415";"ENSDARG00000074415";"10 x 34";"72hpf_neg_tbx5";"zgc:171482";"zgc:171482 [Source:ZFIN;Acc:ZDB-GENE-080204-84]"
"ENSDARG00000080021";"ENSDARG00000080021";"17 x 30";"72hpf_neg_tbx5";"zmat3";"zinc finger, matrin-type 3 [Source:ZFIN;Acc:ZDB-GENE-130530-881]"
"ENSDARG00000086162";"ENSDARG00000086162";"15 x 32";"72hpf_neg_tbx5";"znf385d";"zinc finger protein 385D [Source:ZFIN;Acc:ZDB-GENE-130201-2]"
"ENSDARG00000092987";"ENSDARG00000092987";"9 x 34";"72hpf_neg_tbx5";"zmat4a";"zinc finger, matrin-type 4a [Source:ZFIN;Acc:ZDB-GENE-081104-333]"
