"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002479";"ENSDARG00000002479";"39 x 36";"24hpf_pos.1";"ercc6l";"excision repair cross-complementation group 6-like [Source:ZFIN;Acc:ZDB-GENE-060531-56]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000015538";"ENSDARG00000015538";"26 x 36";"24hpf_neg";"znf207a";"zinc finger protein 207, a [Source:ZFIN;Acc:ZDB-GENE-040426-2273]"
"ENSDARG00000020345";"ENSDARG00000020345";"14 x 37";"48hpf_neg";"clasp2";"cytoplasmic linker associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2343]"
"ENSDARG00000024471";"ENSDARG00000024471";"38 x 34";"24hpf_pos";"nsl1";"NSL1, MIS12 kinetochore complex component [Source:ZFIN;Acc:ZDB-GENE-041014-362]"
"ENSDARG00000032013";"ENSDARG00000032013";"17 x 6";"72hpf_pos_tbx5.1";"pafah1b1a";"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1a [Source:ZFIN;Acc:ZDB-GENE-040116-2]"
"ENSDARG00000033852";"ENSDARG00000033852";"35 x 33";"24hpf_neg";"mad1l1";"MAD1 mitotic arrest deficient-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1081]"
"ENSDARG00000034624";"ENSDARG00000034624";"39 x 32";"24hpf_pos.1";"nuf2";"NUF2, NDC80 kinetochore complex component, homolog [Source:ZFIN;Acc:ZDB-GENE-040426-1121]"
"ENSDARG00000035147";"ENSDARG00000035147";"40 x 30";"24hpf_neg";"lrwd1";"leucine-rich repeats and WD repeat domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5335]"
"ENSDARG00000039354";"ENSDARG00000039354";"40 x 34";"24hpf_pos.1";"ska1";"spindle and kinetochore associated complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040718-334]"
"ENSDARG00000052565";"ENSDARG00000052565";"38 x 36";"24hpf_neg";"cenpi";"centromere protein I [Source:ZFIN;Acc:ZDB-GENE-060810-127]"
"ENSDARG00000057100";"ENSDARG00000057100";"31 x 4";"24hpf_pos.1";"zwilch";"zwilch kinetochore protein [Source:ZFIN;Acc:ZDB-GENE-050420-101]"
"ENSDARG00000071694";"ENSDARG00000071694";"39 x 34";"24hpf_pos";"ndc80";"NDC80 kinetochore complex component [Source:ZFIN;Acc:ZDB-GENE-030131-904]"
"ENSDARG00000074379";"ENSDARG00000074379";"38 x 3";"24hpf_pos.1";"knstrn";"kinetochore-localized astrin/SPAG5 binding protein [Source:ZFIN;Acc:ZDB-GENE-081022-187]"
"ENSDARG00000074906";"ENSDARG00000074906";"12 x 9";"72hpf_pos_hand2.1";"nuf2";"zinc finger protein 831 [Source:ZFIN;Acc:ZDB-GENE-081022-210]"
"ENSDARG00000075619";"ENSDARG00000075619";"40 x 29";"24hpf_pos";"cenpo";"centromere protein O [Source:ZFIN;Acc:ZDB-GENE-070928-16]"
"ENSDARG00000075883";"ENSDARG00000075883";"29 x 40";"24hpf_neg";"bub3";"BUB3 mitotic checkpoint protein [Source:ZFIN;Acc:ZDB-GENE-041010-210]"
"ENSDARG00000076110";"ENSDARG00000076110";"19 x 35";"48hpf_neg";"nwd1";"NACHT and WD repeat domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-071116-8]"
"ENSDARG00000087238";"ENSDARG00000087238";"36 x 38";"24hpf_neg";"si:ch211-161h7.4";"si:ch211-161h7.4 [Source:ZFIN;Acc:ZDB-GENE-091118-108]"
"ENSDARG00000091271";"ENSDARG00000091271";"38 x 37";"24hpf_pos.1";"si:ch211-225g23.1";"si:ch211-225g23.1 [Source:ZFIN;Acc:ZDB-GENE-030131-3256]"
"ENSDARG00000093622";"ENSDARG00000093622";"40 x 26";"24hpf_neg";"spc24";"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-456]"
"ENSDARG00000094892";"ENSDARG00000094892";"36 x 9";"24hpf_pos.1";"cenph";"centromere protein H [Source:ZFIN;Acc:ZDB-GENE-081104-340]"
"ENSDARG00000095086";"ENSDARG00000095086";"23 x 38";"24hpf_neg";"cfdp1";"craniofacial development protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5736]"
"ENSDARG00000096554";"ENSDARG00000096554";"39 x 37";"24hpf_pos.1";"si:dkey-25o16.4";"si:dkey-25o16.4 [Source:ZFIN;Acc:ZDB-GENE-030131-969]"
"ENSDARG00000101216";"ENSDARG00000101216";"18 x 16";"24hpf_neg";"meaf6";"MYST/Esa1-associated factor 6 [Source:ZFIN;Acc:ZDB-GENE-040808-12]"
"ENSDARG00000101277";"ENSDARG00000101277";"32 x 33";"24hpf_neg";"znf207b";"zinc finger protein 207, b [Source:ZFIN;Acc:ZDB-GENE-030131-7377]"
"ENSDARG00000101975";"ENSDARG00000101975";"40 x 36";"24hpf_pos.1";"si: dkey-225f5.4";""
"ENSDARG00000103996";"ENSDARG00000103996";"38 x 35";"24hpf_pos.1";"spdl1";"spindle apparatus coiled-coil protein 1 [Source:ZFIN;Acc:ZDB-GENE-070928-7]"
"ENSDARG00000104225";"ENSDARG00000104225";"14 x 27";"48hpf_pos";"ndel1b";"nudE neurodevelopment protein 1-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-5889]"
