"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002190";"ENSDARG00000002190";"5 x 5";"72hpf_pos_tbx5.1";"chmp2bb";"charged multivesicular body protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2539]"
"ENSDARG00000006332";"ENSDARG00000006332";"8 x 15";"72hpf_pos.1";"snx14";"sorting nexin 14 [Source:ZFIN;Acc:ZDB-GENE-040724-144]"
"ENSDARG00000006915";"ENSDARG00000006915";"11 x 5";"72hpf_pos_gata5";"arl8ba";"ADP-ribosylation factor-like 8Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9370]"
"ENSDARG00000007323";"ENSDARG00000007323";"6 x 5";"72hpf_pos";"chmp4bb";"charged multivesicular body protein 4Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2812]"
"ENSDARG00000017809";"ENSDARG00000017809";"16 x 1";"72hpf_pos_gata5.1";"stard3";"StAR-related lipid transfer (START) domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-001120-2]"
"ENSDARG00000026387";"ENSDARG00000026387";"13 x 4";"48hpf_pos";"tmem55bb";"transmembrane protein 55Bb [Source:ZFIN;Acc:ZDB-GENE-121214-195]"
"ENSDARG00000028257";"ENSDARG00000028257";"1 x 1";"48hpf_pos";"cyb561a3b";"cytochrome b561 family, member A3b [Source:ZFIN;Acc:ZDB-GENE-091204-222]"
"ENSDARG00000032769";"ENSDARG00000032769";"38 x 4";"24hpf_pos.1";"slc38a9";"solute carrier family 38, member 9 [Source:ZFIN;Acc:ZDB-GENE-061013-597]"
"ENSDARG00000038064";"ENSDARG00000038064";"4 x 12";"72hpf_pos_gata5.1";"chmp3";"charged multivesicular body protein 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2600]"
"ENSDARG00000038615";"ENSDARG00000038615";"28 x 40";"72hpf_neg_tbx5";"tmem55ba";"transmembrane protein 55Ba [Source:ZFIN;Acc:ZDB-GENE-051113-312]"
"ENSDARG00000039270";"ENSDARG00000039270";"14 x 5";"72hpf_pos_hand2.1";"vti1b";"vesicle transport through interaction with t-SNAREs 1B [Source:ZFIN;Acc:ZDB-GENE-040426-1148]"
"ENSDARG00000045065";"ENSDARG00000045065";"22 x 1";"48hpf_pos.1";"vti1a";"vesicle transport through interaction with t-SNAREs 1A [Source:ZFIN;Acc:ZDB-GENE-050809-135]"
"ENSDARG00000053070";"ENSDARG00000053070";"24 x 1";"72hpf_pos_gata5";"gosr2";"golgi SNAP receptor complex member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3290]"
"ENSDARG00000056281";"ENSDARG00000056281";"16 x 12";"72hpf_pos";"cyb561a3a";"cytochrome b561 family, member A3a [Source:ZFIN;Acc:ZDB-GENE-060526-374]"
"ENSDARG00000070433";"ENSDARG00000070433";"30 x 8";"72hpf_pos.1";"vps18";"vacuolar protein sorting 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-33]"
"ENSDARG00000076464";"ENSDARG00000076464";"20 x 1";"72hpf_pos_tbx5";"lamtor1";"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:ZFIN;Acc:ZDB-GENE-130819-1]"
"ENSDARG00000099624";"ENSDARG00000099624";"4 x 13";"72hpf_pos_gata5.1";"chmp1b";"chromatin modifying protein 1B [Source:ZFIN;Acc:ZDB-GENE-030131-8370]"
"ENSDARG00000103483";"ENSDARG00000103483";"25 x 1";"72hpf_pos_hand2";"litaf";"lipopolysaccharide-induced TNF factor [Source:ZFIN;Acc:ZDB-GENE-040704-23]"
