"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001721";"ENSDARG00000001721";"40 x 39";"24hpf_pos.1";"oc90";"otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]"
"ENSDARG00000003584";"ENSDARG00000003584";"15 x 3";"72hpf_pos_gata5.1";"pla2g7";"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) [Source:ZFIN;Acc:ZDB-GENE-040426-2248]"
"ENSDARG00000007108";"ENSDARG00000007108";"31 x 26";"72hpf_pos_gata5";"lipia";"lipase, member Ia [Source:ZFIN;Acc:ZDB-GENE-040801-242]"
"ENSDARG00000009153";"ENSDARG00000009153";"14 x 26";"72hpf_neg_hand2";"pla2g1b";"phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]"
"ENSDARG00000010773";"ENSDARG00000010773";"27 x 15";"48hpf_pos.1";"pnpla6";"patatin-like phospholipase domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-050107-4]"
"ENSDARG00000015662";"ENSDARG00000015662";"1 x 4";"72hpf_pos_tbx5";"pla2g12b";"phospholipase A2, group XIIB [Source:ZFIN;Acc:ZDB-GENE-040426-2771]"
"ENSDARG00000015765";"ENSDARG00000015765";"3 x 2";"48hpf_pos";"iah1";"isoamyl acetate-hydrolyzing esterase 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-041008-186]"
"ENSDARG00000017141";"ENSDARG00000017141";"32 x 20";"24hpf_pos";"pla2g4ab";"phospholipase A2, group IVAb (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-041014-325]"
"ENSDARG00000018529";"ENSDARG00000018529";"4 x 3";"72hpf_pos";"lipf";"lipase, gastric [Source:ZFIN;Acc:ZDB-GENE-040426-2737]"
"ENSDARG00000024546";"ENSDARG00000024546";"22 x 7";"72hpf_pos_gata5";"pla2g4aa";"phospholipase A2, group IVAa (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-990415-45]"
"ENSDARG00000025797";"ENSDARG00000025797";"1 x 15";"72hpf_pos_tbx5";"abhd2a";"abhydrolase domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-040426-784]"
"ENSDARG00000033355";"ENSDARG00000033355";"39 x 1";"72hpf_pos_hand2.1";"zgc:101699";"zgc:101699 [Source:ZFIN;Acc:ZDB-GENE-041114-140]"
"ENSDARG00000034080";"ENSDARG00000034080";"3 x 28";"72hpf_neg";"plcd1b";"phospholipase C, delta 1b [Source:ZFIN;Acc:ZDB-GENE-030131-9435]"
"ENSDARG00000037064";"ENSDARG00000037064";"13 x 1";"72hpf_pos_tbx5";"galca";"galactosylceramidase a [Source:ZFIN;Acc:ZDB-GENE-040724-243]"
"ENSDARG00000038442";"ENSDARG00000038442";"28 x 34";"24hpf_pos.1";"";"phospholipase C, gamma 1 [Source:ZFIN;Acc:ZDB-GENE-030421-3]"
"ENSDARG00000040002";"ENSDARG00000040002";"4 x 12";"72hpf_pos_gata5.1";"pnpla7b";"patatin-like phospholipase domain containing 7b [Source:ZFIN;Acc:ZDB-GENE-050309-66]"
"ENSDARG00000040684";"ENSDARG00000040684";"16 x 1";"72hpf_pos_gata5.1";"plcd4b";"phospholipase C, delta 4b [Source:ZFIN;Acc:ZDB-GENE-080512-3]"
"ENSDARG00000042090";"ENSDARG00000042090";"7 x 26";"48hpf_neg";"si:ch73-55i23.1";"si:ch73-55i23.1 [Source:ZFIN;Acc:ZDB-GENE-140106-38]"
"ENSDARG00000052957";"ENSDARG00000052957";"1 x 22";"72hpf_neg";"plcd3a";"phospholipase C, delta 3a [Source:ZFIN;Acc:ZDB-GENE-070620-1]"
"ENSDARG00000054794";"ENSDARG00000054794";"12 x 31";"72hpf_neg_tbx5";"plcxd3";"phosphatidylinositol-specific phospholipase C, X domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050327-10]"
"ENSDARG00000056535";"ENSDARG00000056535";"30 x 1";"72hpf_pos_gata5";"pla2g4f.1";"phospholipase A2, group IVF, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-131121-408]"
"ENSDARG00000056805";"ENSDARG00000056805";"9 x 36";"72hpf_neg_gata5";"";"phospholipase C, eta 2b [Source:ZFIN;Acc:ZDB-GENE-101112-1]"
"ENSDARG00000057975";"ENSDARG00000057975";"9 x 24";"72hpf_pos.1";"plcd4a";"phospholipase C, delta 4a [Source:ZFIN;Acc:ZDB-GENE-050208-654]"
"ENSDARG00000059123";"ENSDARG00000059123";"33 x 36";"72hpf_neg";"plcd1a";"phospholipase C, delta 1a [Source:ZFIN;Acc:ZDB-GENE-071004-78]"
"ENSDARG00000059951";"ENSDARG00000059951";"23 x 25";"72hpf_neg";"pld6";"phospholipase D family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-3825]"
"ENSDARG00000059960";"ENSDARG00000059960";"2 x 39";"72hpf_neg_tbx5";"plch2a";"phospholipase C, eta 2a [Source:ZFIN;Acc:ZDB-GENE-030131-6367]"
"ENSDARG00000060921";"ENSDARG00000060921";"15 x 4";"72hpf_pos_hand2.1";"pla2g6";"phospholipase A2, group VI (cytosolic, calcium-independent) [Source:ZFIN;Acc:ZDB-GENE-040426-2079]"
"ENSDARG00000062575";"ENSDARG00000062575";"6 x 29";"72hpf_neg_tbx5";"si:ch211-210g13.5";"si:ch211-210g13.5 [Source:ZFIN;Acc:ZDB-GENE-030131-5675]"
"ENSDARG00000062986";"ENSDARG00000062986";"9 x 14";"72hpf_pos_hand2.1";"pnpla7a";"patatin-like phospholipase domain containing 7a [Source:ZFIN;Acc:ZDB-GENE-070112-1812]"
"ENSDARG00000063037";"ENSDARG00000063037";"6 x 3";"72hpf_pos_gata5.1";"lipea";"lipase, hormone-sensitive a [Source:ZFIN;Acc:ZDB-GENE-060503-734]"
"ENSDARG00000067676";"ENSDARG00000067676";"40 x 25";"24hpf_pos.1";"plcl1";"phospholipase C-like 1 [Source:ZFIN;Acc:ZDB-GENE-090313-194]"
"ENSDARG00000068246";"ENSDARG00000068246";"8 x 11";"72hpf_pos_hand2.1";"plcb3";"phospholipase C, beta 3 (phosphatidylinositol-specific) [Source:ZFIN;Acc:ZDB-GENE-030616-594]"
"ENSDARG00000068763";"ENSDARG00000068763";"10 x 1";"72hpf_pos_hand2.1";"plcg2";"phospholipase C, gamma 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9532]"
"ENSDARG00000069834";"ENSDARG00000069834";"18 x 13";"72hpf_pos";"pnpla4";"patatin-like phospholipase domain containing 4 [Source:ZFIN;Acc:ZDB-GENE-070410-74]"
"ENSDARG00000070454";"ENSDARG00000070454";"27 x 1";"24hpf_pos.1";"pla2g12a";"phospholipase A2, group XIIA [Source:ZFIN;Acc:ZDB-GENE-070410-18]"
"ENSDARG00000070953";"ENSDARG00000070953";"24 x 26";"72hpf_pos_hand2.1";"pla2g4f.2";"phospholipase A2, group IVF, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131127-625]"
"ENSDARG00000078745";"ENSDARG00000078745";"1 x 23";"72hpf_neg_gata5";"pnpla8";"patatin-like phospholipase domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-070705-553]"
"ENSDARG00000079253";"ENSDARG00000079253";"33 x 40";"24hpf_neg";"plch1";"phospholipase C, eta 1 [Source:ZFIN;Acc:ZDB-GENE-060503-398]"
