"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008637";"ENSDARG00000008637";"1 x 6";"72hpf_pos_tbx5";"mtp";"microsomal triglyceride transfer protein [Source:ZFIN;Acc:ZDB-GENE-040419-2]"
"ENSDARG00000016448";"ENSDARG00000016448";"34 x 10";"24hpf_pos";"";"vitellogenin 3, phosvitinless [Source:ZFIN;Acc:ZDB-GENE-991019-2]"
"ENSDARG00000016825";"ENSDARG00000016825";"25 x 27";"72hpf_neg";"vtg6";"vitellogenin 6 [Source:ZFIN;Acc:ZDB-GENE-001201-5]"
"ENSDARG00000017180";"ENSDARG00000017180";"13 x 7";"72hpf_pos_tbx5";"npc1";"Niemann-Pick disease, type C1 [Source:ZFIN;Acc:ZDB-GENE-030131-3161]"
"ENSDARG00000022767";"ENSDARG00000022767";"1 x 5";"72hpf_pos_tbx5";"apobb.1";"apolipoprotein Bb, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9732]"
"ENSDARG00000042780";"ENSDARG00000042780";"1 x 4";"72hpf_pos_tbx5";"apoba";"apolipoprotein Ba [Source:ZFIN;Acc:ZDB-GENE-070702-4]"
"ENSDARG00000055809";"ENSDARG00000055809";"25 x 27";"72hpf_neg";"vtg2";"vitellogenin 2 [Source:ZFIN;Acc:ZDB-GENE-001201-2]"
"ENSDARG00000060398";"ENSDARG00000060398";"36 x 20";"72hpf_pos_tbx5.1";"rft1";"RFT1 homolog [Source:ZFIN;Acc:ZDB-GENE-110411-126]"
"ENSDARG00000075016";"ENSDARG00000075016";"9 x 7";"72hpf_pos_tbx5.1";"apobb.2";"apolipoprotein Bb, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070705-554]"
"ENSDARG00000078429";"ENSDARG00000078429";"21 x 19";"72hpf_pos_hand2";"vtg4";"vitellogenin 4 [Source:ZFIN;Acc:ZDB-GENE-001201-3]"
"ENSDARG00000092028";"ENSDARG00000092028";"14 x 9";"72hpf_pos_hand2.1";"";"si:dkey-4c23.3 [Source:ZFIN;Acc:ZDB-GENE-050208-668]"
"ENSDARG00000092126";"ENSDARG00000092126";"21 x 22";"72hpf_pos_hand2.1";"vtg5";"vitellogenin 5 [Source:ZFIN;Acc:ZDB-GENE-001201-4]"
"ENSDARG00000092233";"ENSDARG00000092233";"14 x 25";"72hpf_neg_hand2";"vtg1";"vitellogenin 1 [Source:ZFIN;Acc:ZDB-GENE-001201-1]"
"ENSDARG00000092419";"ENSDARG00000092419";"14 x 11";"72hpf_pos_tbx5";"vtg7";"vitellogenin 7 [Source:ZFIN;Acc:ZDB-GENE-001201-6]"
"ENSDARG00000093159";"ENSDARG00000093159";"14 x 28";"72hpf_neg_hand2";"";"si:dkeyp-106c3.3 [Source:ZFIN;Acc:ZDB-GENE-070705-528]"
"ENSDARG00000103451";"ENSDARG00000103451";"21 x 19";"72hpf_pos_hand2";"";""
