"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007425";"ENSDARG00000007425";"2 x 1";"72hpf_pos_tbx5.1";"apol1";"apolipoprotein L, 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3217]"
"ENSDARG00000012076";"ENSDARG00000012076";"1 x 3";"72hpf_pos_tbx5.1";"apoa1a";"apolipoprotein A-Ia [Source:ZFIN;Acc:ZDB-GENE-990415-14]"
"ENSDARG00000020866";"ENSDARG00000020866";"3 x 4";"72hpf_pos_tbx5";"apoa4b.2";"apolipoprotein A-IV b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3143]"
"ENSDARG00000023185";"ENSDARG00000023185";"8 x 4";"72hpf_pos_tbx5";"si:rp71-1g18.13";"si:rp71-1g18.13 [Source:ZFIN;Acc:ZDB-GENE-040724-111]"
"ENSDARG00000026505";"ENSDARG00000026505";"21 x 20";"72hpf_pos_hand2";"si:ch211-285c6.3";"si:ch211-285c6.3 [Source:ZFIN;Acc:ZDB-GENE-040724-148]"
"ENSDARG00000040295";"ENSDARG00000040295";"1 x 5";"72hpf_pos_tbx5";"apoeb";"apolipoprotein Eb [Source:ZFIN;Acc:ZDB-GENE-980526-368]"
"ENSDARG00000040298";"ENSDARG00000040298";"1 x 4";"72hpf_pos_tbx5";"apoa4b.1";"apolipoprotein A-IV b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1263]"
"ENSDARG00000043770";"ENSDARG00000043770";"4 x 26";"72hpf_neg";"LOC107980443";"si:dkey-192d15.2 [Source:ZFIN;Acc:ZDB-GENE-040724-74]"
"ENSDARG00000068030";"ENSDARG00000068030";"2 x 1";"72hpf_pos_gata5.1";"si:cabz01007802.1";"si:cabz01007802.1 [Source:ZFIN;Acc:ZDB-GENE-160728-30]"
"ENSDARG00000069375";"ENSDARG00000069375";"6 x 8";"72hpf_pos_tbx5.1";"zgc:162608";"zgc:162608 [Source:ZFIN;Acc:ZDB-GENE-070410-86]"
"ENSDARG00000073718";"ENSDARG00000073718";"15 x 1";"48hpf_pos";"si:ch73-233k15.2";"si:ch73-233k15.2 [Source:ZFIN;Acc:ZDB-GENE-120215-22]"
"ENSDARG00000079234";"ENSDARG00000079234";"24 x 26";"72hpf_neg";"si:ch211-285c6.2";"si:ch211-285c6.2 [Source:ZFIN;Acc:ZDB-GENE-040724-168]"
"ENSDARG00000089961";"ENSDARG00000089961";"24 x 6";"72hpf_pos_gata5";"";"si:cabz01007807.1 [Source:ZFIN;Acc:ZDB-GENE-160728-149]"
"ENSDARG00000092170";"ENSDARG00000092170";"1 x 2";"72hpf_pos_tbx5.1";"apoc1";"apolipoprotein C-I [Source:ZFIN;Acc:ZDB-GENE-030131-1074]"
"ENSDARG00000094779";"ENSDARG00000094779";"20 x 25";"72hpf_pos_hand2";"";"si:dkey-192d15.1 [Source:ZFIN;Acc:ZDB-GENE-040724-101]"
"ENSDARG00000094929";"ENSDARG00000094929";"16 x 7";"72hpf_pos_tbx5.1";"apoa4b.3";"apolipoprotein A-IV b, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-100921-47]"
"ENSDARG00000095863";"ENSDARG00000095863";"3 x 5";"72hpf_pos_tbx5";"afp4";"antifreeze protein type IV [Source:ZFIN;Acc:ZDB-GENE-030131-5217]"
"ENSDARG00000100155";"ENSDARG00000100155";"10 x 20";"72hpf_pos.1";"si:ch211-217i17.1";"si:ch211-217i17.1 [Source:ZFIN;Acc:ZDB-GENE-131122-15]"
"ENSDARG00000101160";"ENSDARG00000101160";"18 x 10";"72hpf_pos";"apoa4a";"apolipoprotein A-IV a [Source:ZFIN;Acc:ZDB-GENE-050417-469]"
"ENSDARG00000101324";"ENSDARG00000101324";"1 x 4";"72hpf_pos_tbx5";"apoa1b";"apolipoprotein A-Ib [Source:ZFIN;Acc:ZDB-GENE-050302-172]"
"ENSDARG00000102004";"ENSDARG00000102004";"1 x 3";"72hpf_pos_tbx5.1";"apoea";"apolipoprotein Ea [Source:ZFIN;Acc:ZDB-GENE-010724-18]"
"ENSDARG00000105369";"ENSDARG00000105369";"25 x 20";"72hpf_pos_tbx5";"";"si:ch73-122k23.1 [Source:ZFIN;Acc:ZDB-GENE-160113-35]"
"ENSDARG00000105375";"ENSDARG00000105375";"19 x 14";"72hpf_neg_gata5";"";"si:ch211-285c6.5 [Source:ZFIN;Acc:ZDB-GENE-160113-125]"
