"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001888";"ENSDARG00000001888";"37 x 11";"24hpf_pos.1";"ppm1ba";"protein phosphatase, Mg2+/Mn2+ dependent, 1Ba [Source:ZFIN;Acc:ZDB-GENE-991102-16]"
"ENSDARG00000007916";"ENSDARG00000007916";"31 x 7";"24hpf_pos";"xpnpep3";"X-prolyl aminopeptidase 3, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040426-2076]"
"ENSDARG00000010231";"ENSDARG00000010231";"5 x 26";"72hpf_pos.1";"ppm1na";"protein phosphatase, Mg2+/Mn2+ dependent, 1Na (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-2731]"
"ENSDARG00000011496";"ENSDARG00000011496";"13 x 23";"48hpf_pos.1";"ppm1bb";"protein phosphatase, Mg2+/Mn2+ dependent, 1Bb [Source:ZFIN;Acc:ZDB-GENE-041114-185]"
"ENSDARG00000012871";"ENSDARG00000012871";"5 x 16";"72hpf_pos_gata5";"npepl1";"aminopeptidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-050417-177]"
"ENSDARG00000020191";"ENSDARG00000020191";"12 x 31";"72hpf_neg_tbx5";"ppef1";"protein phosphatase, EF-hand calcium binding domain 1 [Source:ZFIN;Acc:ZDB-GENE-080303-27]"
"ENSDARG00000032155";"ENSDARG00000032155";"12 x 25";"72hpf_neg_hand2";"ppm1aa";"protein phosphatase, Mg2+/Mn2+ dependent, 1Aa [Source:ZFIN;Acc:ZDB-GENE-991102-15]"
"ENSDARG00000043250";"ENSDARG00000043250";"30 x 1";"24hpf_pos.1";"ppm1ab";"protein phosphatase, Mg2+/Mn2+ dependent, 1Ab [Source:ZFIN;Acc:ZDB-GENE-991102-14]"
"ENSDARG00000057032";"ENSDARG00000057032";"17 x 33";"72hpf_neg_tbx5";"ppm1nb";"protein phosphatase, Mg2+/Mn2+ dependent, 1Nb (putative) [Source:ZFIN;Acc:ZDB-GENE-071004-34]"
"ENSDARG00000061981";"ENSDARG00000061981";"40 x 24";"24hpf_pos";"lap3";"leucine aminopeptidase 3 [Source:ZFIN;Acc:ZDB-GENE-060719-1]"
"ENSDARG00000079932";"ENSDARG00000079932";"7 x 2";"72hpf_pos_hand2";"zgc:152830";"zgc:152830 [Source:ZFIN;Acc:ZDB-GENE-090312-55]"
"ENSDARG00000102249";"ENSDARG00000102249";"8 x 3";"72hpf_pos";"";"peptidase D [Source:HGNC Symbol;Acc:HGNC:8840]"
"ENSDARG00000104242";"ENSDARG00000104242";"10 x 25";"72hpf_pos.1";"dcp2";"decapping mRNA 2 [Source:ZFIN;Acc:ZDB-GENE-040426-851]"
"ENSDARG00000104980";"ENSDARG00000104980";"7 x 10";"72hpf_pos";"ppef2a";"protein phosphatase with EF-hand domain 2 [Source:HGNC Symbol;Acc:HGNC:9244]"
"ENSDARG00000105014";"ENSDARG00000105014";"35 x 1";"24hpf_neg";"mre11a";"MRE11 homolog A, double strand break repair nuclease [Source:ZFIN;Acc:ZDB-GENE-040426-2638]"
