"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007744";"ENSDARG00000007744";"37 x 2";"24hpf_pos";"tsr1";"TSR1, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-3762]"
"ENSDARG00000011246";"ENSDARG00000011246";"33 x 27";"24hpf_neg";"krr1";"KRR1, small subunit (SSU) processome component, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-060623-10]"
"ENSDARG00000017696";"ENSDARG00000017696";"36 x 33";"24hpf_pos.1";"diexf";"digestive organ expansion factor homolog [Source:ZFIN;Acc:ZDB-GENE-021217-2]"
"ENSDARG00000032516";"ENSDARG00000032516";"21 x 3";"72hpf_pos_gata5.1";"rrp36";"ribosomal RNA processing 36 [Source:ZFIN;Acc:ZDB-GENE-030131-9751]"
"ENSDARG00000036629";"ENSDARG00000036629";"20 x 7";"72hpf_pos_gata5.1";"rps14";"ribosomal protein S14 [Source:ZFIN;Acc:ZDB-GENE-030131-8631]"
"ENSDARG00000037109";"ENSDARG00000037109";"36 x 4";"24hpf_pos";"pwp2h";"PWP2 periodic tryptophan protein homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-021031-3]"
"ENSDARG00000039347";"ENSDARG00000039347";"19 x 7";"72hpf_pos_gata5.1";"rps24";"ribosomal protein S24 [Source:ZFIN;Acc:ZDB-GENE-040109-5]"
"ENSDARG00000045487";"ENSDARG00000045487";"21 x 6";"72hpf_pos_gata5";"rps16";"ribosomal protein S16 [Source:ZFIN;Acc:ZDB-GENE-050506-107]"
"ENSDARG00000052344";"ENSDARG00000052344";"38 x 33";"24hpf_pos";"";"transducin (beta)-like 3 [Source:ZFIN;Acc:ZDB-GENE-041114-104]"
"ENSDARG00000052480";"ENSDARG00000052480";"37 x 2";"24hpf_pos";"pdcd11";"programmed cell death 11 [Source:ZFIN;Acc:ZDB-GENE-030131-4076]"
"ENSDARG00000054154";"ENSDARG00000054154";"37 x 4";"24hpf_pos";"bms1";"BMS1 ribosome biogenesis factor [Source:ZFIN;Acc:ZDB-GENE-060720-2]"
"ENSDARG00000055996";"ENSDARG00000055996";"19 x 10";"72hpf_pos_hand2";"rps8a";"ribosomal protein S8a [Source:ZFIN;Acc:ZDB-GENE-030131-8626]"
"ENSDARG00000056720";"ENSDARG00000056720";"37 x 9";"24hpf_pos.1";"utp3";"UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040912-163]"
"ENSDARG00000056914";"ENSDARG00000056914";"38 x 5";"24hpf_pos";"emg1";"EMG1 N1-specific pseudouridine methyltransferase [Source:ZFIN;Acc:ZDB-GENE-060421-2909]"
"ENSDARG00000057368";"ENSDARG00000057368";"20 x 13";"72hpf_neg_hand2";"rps8b";"ribosomal protein S8b [Source:ZFIN;Acc:ZDB-GENE-050522-202]"
"ENSDARG00000061505";"ENSDARG00000061505";"34 x 9";"72hpf_pos.1";"mrps9";"mitochondrial ribosomal protein S9 [Source:ZFIN;Acc:ZDB-GENE-060825-257]"
"ENSDARG00000075129";"ENSDARG00000075129";"4 x 16";"24hpf_pos";"mrps11";"mitochondrial ribosomal protein S11 [Source:ZFIN;Acc:ZDB-GENE-040724-84]"
"ENSDARG00000098433";"ENSDARG00000098433";"30 x 10";"72hpf_pos";"utp6";"UTP6, small subunit (SSU) processome component, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-769]"
"ENSDARG00000102333";"ENSDARG00000102333";"30 x 10";"24hpf_pos";"";"FCF1 rRNA-processing protein [Source:ZFIN;Acc:ZDB-GENE-050417-67]"
