"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004173";"ENSDARG00000004173";"27 x 29";"72hpf_neg";"copa";"coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]"
"ENSDARG00000013726";"ENSDARG00000013726";"11 x 25";"72hpf_pos.1";"ap4b1";"adaptor-related protein complex 4, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1284]"
"ENSDARG00000017844";"ENSDARG00000017844";"28 x 6";"24hpf_pos";"";"coatomer protein complex, subunit zeta 1 [Source:ZFIN;Acc:ZDB-GENE-000406-6]"
"ENSDARG00000020621";"ENSDARG00000020621";"40 x 34";"24hpf_pos";"ap1b1";"adaptor-related protein complex 1, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-061025-1]"
"ENSDARG00000026967";"ENSDARG00000026967";"30 x 1";"24hpf_pos.1";"ap2s1";"adaptor-related protein complex 2, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2174]"
"ENSDARG00000027966";"ENSDARG00000027966";"39 x 3";"24hpf_pos";"ap1s3b";"adaptor-related protein complex 1, sigma 3 subunit, b [Source:ZFIN;Acc:ZDB-GENE-040912-62]"
"ENSDARG00000034823";"ENSDARG00000034823";"13 x 24";"72hpf_neg_hand2";"copg2";"coatomer protein complex, subunit gamma 2 [Source:ZFIN;Acc:ZDB-GENE-000208-8]"
"ENSDARG00000035152";"ENSDARG00000035152";"3 x 19";"72hpf_neg_tbx5";"ap2b1";"adaptor-related protein complex 2, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-030131-6564]"
"ENSDARG00000038743";"ENSDARG00000038743";"12 x 22";"72hpf_pos.1";"copb2";"coatomer protein complex, subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-010724-7]"
"ENSDARG00000039882";"ENSDARG00000039882";"2 x 17";"72hpf_pos_tbx5.1";"ap3s2";"adaptor-related protein complex 3, sigma 2 subunit [Source:ZFIN;Acc:ZDB-GENE-040718-274]"
"ENSDARG00000054320";"ENSDARG00000054320";"39 x 35";"24hpf_pos.1";"ap2a1";"adaptor-related protein complex 2, alpha 1 subunit [Source:ZFIN;Acc:ZDB-GENE-090302-2]"
"ENSDARG00000054337";"ENSDARG00000054337";"1 x 24";"72hpf_pos_gata5.1";"zgc:153847";"adaptor-related protein complex 1, gamma 2 subunit [Source:ZFIN;Acc:ZDB-GENE-030616-587]"
"ENSDARG00000056557";"ENSDARG00000056557";"8 x 24";"72hpf_pos.1";"copb1";"coatomer protein complex, subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-030219-38]"
"ENSDARG00000056803";"ENSDARG00000056803";"22 x 4";"24hpf_neg";"ap1s1";"adaptor-related protein complex 1, sigma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1119]"
"ENSDARG00000058504";"ENSDARG00000058504";"29 x 24";"24hpf_neg";"ap1s2";"adaptor-related protein complex 1, sigma 2 subunit [Source:ZFIN;Acc:ZDB-GENE-030131-5448]"
"ENSDARG00000071424";"ENSDARG00000071424";"3 x 14";"72hpf_pos_tbx5";"ap3d1";"adaptor-related protein complex 3, delta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-050208-437]"
"ENSDARG00000076073";"ENSDARG00000076073";"24 x 6";"72hpf_pos_gata5.1";"ap1s3a";"adaptor-related protein complex 1, sigma 3 subunit, a [Source:ZFIN;Acc:ZDB-GENE-050417-222]"
"ENSDARG00000100082";"ENSDARG00000100082";"13 x 1";"72hpf_pos_hand2";"";""
"ENSDARG00000102394";"ENSDARG00000102394";"35 x 17";"24hpf_pos.1";"ap1g1";"adaptor-related protein complex 1, gamma 1 subunit [Source:ZFIN;Acc:ZDB-GENE-030131-3187]"
"ENSDARG00000103684";"ENSDARG00000103684";"36 x 20";"24hpf_pos.1";"ap4e1";"adaptor-related protein complex 4, epsilon 1 subunit [Source:ZFIN;Acc:ZDB-GENE-061221-3]"
"ENSDARG00000105296";"ENSDARG00000105296";"4 x 38";"48hpf_neg";"ap3b2";"adaptor related protein complex 3 beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:567]"
