"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000442";"ENSDARG00000000442";"19 x 33";"72hpf_neg_gata5";"slc39a13";"solute carrier family 39 (zinc transporter), member 13 [Source:ZFIN;Acc:ZDB-GENE-030616-17]"
"ENSDARG00000005823";"ENSDARG00000005823";"34 x 12";"24hpf_neg";"slc39a10";"solute carrier family 39 (zinc transporter), member 10 [Source:ZFIN;Acc:ZDB-GENE-040426-1157]"
"ENSDARG00000023672";"ENSDARG00000023672";"13 x 3";"72hpf_pos";"timm8a";"translocase of inner mitochondrial membrane 8 homolog A (yeast) [Source:ZFIN;Acc:ZDB-GENE-040801-158]"
"ENSDARG00000055708";"ENSDARG00000055708";"25 x 6";"72hpf_pos_gata5.1";"timm8b";"translocase of inner mitochondrial membrane 8 homolog B (yeast) [Source:ZFIN;Acc:ZDB-GENE-031019-1]"
"ENSDARG00000056757";"ENSDARG00000056757";"16 x 12";"72hpf_pos";"slc39a8";"solute carrier family 39 (zinc transporter), member 8 [Source:ZFIN;Acc:ZDB-GENE-050419-124]"
"ENSDARG00000058257";"ENSDARG00000058257";"11 x 1";"72hpf_pos_hand2.1";"slc39a1";"solute carrier family 39 (zinc transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9917]"
"ENSDARG00000059361";"ENSDARG00000059361";"25 x 20";"72hpf_pos_tbx5";"slc39a4";"solute carrier family 39 (zinc transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-060315-8]"
"ENSDARG00000068143";"ENSDARG00000068143";"28 x 35";"24hpf_pos.1";"slc39a6";"solute carrier family 39 (zinc transporter), member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-3023]"
"ENSDARG00000070447";"ENSDARG00000070447";"38 x 24";"72hpf_neg";"slc39a9";"solute carrier family 39, member 9 [Source:ZFIN;Acc:ZDB-GENE-060314-3]"
"ENSDARG00000079525";"ENSDARG00000079525";"35 x 3";"24hpf_pos.1";"slc39a5";"solute carrier family 39 (zinc transporter), member 5 [Source:ZFIN;Acc:ZDB-GENE-060608-1]"
"ENSDARG00000098194";"ENSDARG00000098194";"30 x 18";"24hpf_pos";"";""
"ENSDARG00000098286";"ENSDARG00000098286";"16 x 3";"72hpf_pos_gata5.1";"LOC571446";""
"ENSDARG00000101434";"ENSDARG00000101434";"28 x 28";"48hpf_pos.1";"slc39a3";"solute carrier family 39 (zinc transporter), member 3 [Source:ZFIN;Acc:ZDB-GENE-060315-9]"
"ENSDARG00000102387";"ENSDARG00000102387";"8 x 22";"72hpf_pos.1";"slc39a14";"solute carrier family 39 (zinc transporter), member 14 [Source:ZFIN;Acc:ZDB-GENE-060315-2]"
"ENSDARG00000104451";"ENSDARG00000104451";"6 x 25";"72hpf_pos.1";"slc39a7";"solute carrier family 39 (zinc transporter), member 7 [Source:ZFIN;Acc:ZDB-GENE-991110-20]"
