"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005454";"ENSDARG00000005454";"38 x 37";"24hpf_pos.1";"tacc3";"transforming, acidic coiled-coil containing protein 3 [Source:ZFIN;Acc:ZDB-GENE-050522-327]"
"ENSDARG00000008808";"ENSDARG00000008808";"3 x 10";"72hpf_pos_gata5";"eml2";"echinoderm microtubule associated protein like 2 [Source:ZFIN;Acc:ZDB-GENE-050706-71]"
"ENSDARG00000024933";"ENSDARG00000024933";"14 x 20";"48hpf_pos.1";"spast";"spastin [Source:ZFIN;Acc:ZDB-GENE-040426-2331]"
"ENSDARG00000034093";"ENSDARG00000034093";"31 x 40";"48hpf_neg";"dclk2a";"doublecortin-like kinase 2a [Source:ZFIN;Acc:ZDB-GENE-050420-170]"
"ENSDARG00000039697";"ENSDARG00000039697";"35 x 29";"24hpf_neg";"shtn1";"shootin 1 [Source:ZFIN;Acc:ZDB-GENE-121127-1]"
"ENSDARG00000042840";"ENSDARG00000042840";"1 x 9";"72hpf_pos";"eml1";"echinoderm microtubule associated protein like 1 [Source:ZFIN;Acc:ZDB-GENE-060929-156]"
"ENSDARG00000043457";"ENSDARG00000043457";"2 x 4";"72hpf_pos_hand2";"gapdh";"glyceraldehyde-3-phosphate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030115-1]"
"ENSDARG00000045316";"ENSDARG00000045316";"12 x 38";"72hpf_neg_tbx5";"map7d2b";"MAP7 domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-091118-82]"
"ENSDARG00000053517";"ENSDARG00000053517";"3 x 38";"72hpf_neg_tbx5";"si:dkey-1f12.3";"si:dkey-1f12.3 [Source:ZFIN;Acc:ZDB-GENE-030131-1677]"
"ENSDARG00000057632";"ENSDARG00000057632";"17 x 24";"72hpf_neg_hand2";"ppp1r42";"protein phosphatase 1, regulatory subunit 42 [Source:ZFIN;Acc:ZDB-GENE-040704-43]"
"ENSDARG00000058038";"ENSDARG00000058038";"4 x 4";"72hpf_pos_tbx5.1";"eml3";"echinoderm microtubule associated protein like 3 [Source:ZFIN;Acc:ZDB-GENE-110304-3]"
"ENSDARG00000060771";"ENSDARG00000060771";"38 x 19";"24hpf_pos.1";"";"MAP7 domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-121129-3]"
"ENSDARG00000062790";"ENSDARG00000062790";"7 x 40";"48hpf_neg";"";""
"ENSDARG00000068480";"ENSDARG00000068480";"3 x 40";"72hpf_neg_tbx5";"";"MAP7 domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-060526-150]"
"ENSDARG00000073753";"ENSDARG00000073753";"12 x 4";"48hpf_pos";"";"transforming, acidic coiled-coil containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-090521-5]"
"ENSDARG00000074311";"ENSDARG00000074311";"8 x 30";"48hpf_neg";"mast2";"microtubule associated serine/threonine kinase 2 [Source:ZFIN;Acc:ZDB-GENE-050309-150]"
"ENSDARG00000078241";"ENSDARG00000078241";"23 x 15";"72hpf_neg_tbx5";"map7a";"microtubule-associated protein 7a [Source:ZFIN;Acc:ZDB-GENE-131121-151]"
"ENSDARG00000078997";"ENSDARG00000078997";"23 x 35";"24hpf_neg";"dclk3";"doublecortin-like kinase 3 [Source:ZFIN;Acc:ZDB-GENE-081104-224]"
"ENSDARG00000089402";"ENSDARG00000089402";"20 x 12";"72hpf_pos";"si:ch73-281i18.3";"si:ch73-281i18.3 [Source:ZFIN;Acc:ZDB-GENE-141212-263]"
"ENSDARG00000098802";"ENSDARG00000098802";"23 x 40";"24hpf_neg";"map7d1a";"MAP7 domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-060503-22]"
"ENSDARG00000101490";"ENSDARG00000101490";"20 x 10";"72hpf_pos_gata5.1";"si:ch73-281i18.6";"si:ch73-281i18.6 [Source:ZFIN;Acc:ZDB-GENE-141219-21]"
"ENSDARG00000102533";"ENSDARG00000102533";"24 x 9";"72hpf_pos_gata5.1";"LOC796866";"si:ch73-281i18.4 [Source:ZFIN;Acc:ZDB-GENE-141222-81]"
"ENSDARG00000102755";"ENSDARG00000102755";"5 x 40";"48hpf_neg";"";"echinoderm microtubule associated protein like 6 [Source:HGNC Symbol;Acc:HGNC:35412]"
"ENSDARG00000103395";"ENSDARG00000103395";"21 x 10";"72hpf_pos_gata5.1";"si:ch73-281i18.7";"si:ch73-281i18.7 [Source:ZFIN;Acc:ZDB-GENE-141219-35]"
"ENSDARG00000104435";"ENSDARG00000104435";"2 x 30";"72hpf_neg";"si:ch73-217b7.1";"si:ch73-217b7.1 [Source:ZFIN;Acc:ZDB-GENE-050208-210]"
"ENSDARG00000104701";"ENSDARG00000104701";"1 x 20";"72hpf_neg_hand2";"map7d1b";"MAP7 domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-080215-23]"
