"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003940";"ENSDARG00000003940";"24 x 40";"24hpf_neg";"mtfr1l";"mitochondrial fission regulator 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-6228]"
"ENSDARG00000008019";"ENSDARG00000008019";"36 x 15";"24hpf_pos.1";"mxg";"myxovirus (influenza virus) resistance G [Source:ZFIN;Acc:ZDB-GENE-030721-10]"
"ENSDARG00000009281";"ENSDARG00000009281";"3 x 40";"72hpf_neg_tbx5";"dnm1b";"dynamin 1b [Source:ZFIN;Acc:ZDB-GENE-100920-3]"
"ENSDARG00000010042";"ENSDARG00000010042";"4 x 38";"72hpf_neg_tbx5";"dnm1a";"dynamin 1a [Source:ZFIN;Acc:ZDB-GENE-081104-27]"
"ENSDARG00000014427";"ENSDARG00000014427";"14 x 17";"72hpf_pos_gata5";"mxe";"myxovirus (influenza virus) resistance E [Source:ZFIN;Acc:ZDB-GENE-030131-9609]"
"ENSDARG00000015006";"ENSDARG00000015006";"18 x 17";"72hpf_pos_gata5";"dnm1l";"dynamin 1-like [Source:ZFIN;Acc:ZDB-GENE-040426-1556]"
"ENSDARG00000021398";"ENSDARG00000021398";"38 x 11";"24hpf_pos.1";"mul1a";"mitochondrial E3 ubiquitin protein ligase 1a [Source:ZFIN;Acc:ZDB-GENE-050102-5]"
"ENSDARG00000023369";"ENSDARG00000023369";"18 x 10";"72hpf_pos";"mxd";"myxovirus (influenza virus) resistance D [Source:ZFIN;Acc:ZDB-GENE-030721-8]"
"ENSDARG00000024789";"ENSDARG00000024789";"12 x 18";"72hpf_pos_gata5";"mxc";"myxovirus (influenza virus) resistance C [Source:ZFIN;Acc:ZDB-GENE-030721-7]"
"ENSDARG00000026049";"ENSDARG00000026049";"20 x 6";"72hpf_pos_hand2.1";"mxf";"myxovirus (influenza virus) resistance F [Source:ZFIN;Acc:ZDB-GENE-030721-9]"
"ENSDARG00000032238";"ENSDARG00000032238";"17 x 33";"72hpf_neg_gata5";"dnm3a";"dynamin 3a [Source:ZFIN;Acc:ZDB-GENE-040724-76]"
"ENSDARG00000035181";"ENSDARG00000035181";"22 x 1";"48hpf_pos";"slc25a46";"solute carrier family 25, member 46 [Source:ZFIN;Acc:ZDB-GENE-040718-296]"
"ENSDARG00000045304";"ENSDARG00000045304";"31 x 28";"72hpf_pos_tbx5.1";"mtfr1";"mitochondrial fission regulator 1 [Source:ZFIN;Acc:ZDB-GENE-041212-86]"
"ENSDARG00000053753";"ENSDARG00000053753";"4 x 18";"72hpf_pos_tbx5.1";"mff";"mitochondrial fission factor [Source:ZFIN;Acc:ZDB-GENE-040426-1510]"
"ENSDARG00000060394";"ENSDARG00000060394";"39 x 34";"24hpf_pos";"mtfr2";"mitochondrial fission regulator 2 [Source:ZFIN;Acc:ZDB-GENE-061013-398]"
"ENSDARG00000063159";"ENSDARG00000063159";"1 x 18";"72hpf_neg_tbx5";"si:dkey-32e23.4";"si:dkey-32e23.4 [Source:ZFIN;Acc:ZDB-GENE-081105-41]"
"ENSDARG00000069937";"ENSDARG00000069937";"39 x 4";"24hpf_pos.1";"dnm2a";"dynamin 2a [Source:ZFIN;Acc:ZDB-GENE-050913-84]"
"ENSDARG00000070801";"ENSDARG00000070801";"4 x 21";"72hpf_neg_tbx5";"opa1";"optic atrophy 1 (autosomal dominant) [Source:ZFIN;Acc:ZDB-GENE-041114-7]"
"ENSDARG00000095579";"ENSDARG00000095579";"14 x 5";"72hpf_pos_tbx5.1";"fis1";"fission, mitochondrial 1 [Source:ZFIN;Acc:ZDB-GENE-050506-92]"
"ENSDARG00000099908";"ENSDARG00000099908";"7 x 16";"72hpf_pos_gata5.1";"";"mitochondrial fission process 1 [Source:HGNC Symbol;Acc:HGNC:26945]"
"ENSDARG00000100145";"ENSDARG00000100145";"4 x 38";"72hpf_neg_tbx5";"";""
"ENSDARG00000100224";"ENSDARG00000100224";"34 x 20";"72hpf_neg_hand2";"";""
"ENSDARG00000103054";"ENSDARG00000103054";"40 x 3";"24hpf_pos.1";"";"dynamin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-2371]"
