"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003206";"ENSDARG00000003206";"40 x 22";"72hpf_neg_gata5";"chchd6a";"coiled-coil-helix-coiled-coil-helix domain containing 6a [Source:ZFIN;Acc:ZDB-GENE-040930-2]"
"ENSDARG00000003592";"ENSDARG00000003592";"29 x 31";"24hpf_pos.1";"surf1";"surfeit 1 [Source:ZFIN;Acc:ZDB-GENE-041108-2]"
"ENSDARG00000004925";"ENSDARG00000004925";"31 x 6";"24hpf_pos";"immp2l";"inner mitochondrial membrane peptidase subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040808-9]"
"ENSDARG00000005690";"ENSDARG00000005690";"9 x 25";"72hpf_pos.1";"slc25a23a";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23a [Source:ZFIN;Acc:ZDB-GENE-121214-154]"
"ENSDARG00000005853";"ENSDARG00000005853";"20 x 14";"72hpf_pos";"slc25a6";"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 [Source:ZFIN;Acc:ZDB-GENE-070912-446]"
"ENSDARG00000007745";"ENSDARG00000007745";"7 x 16";"72hpf_pos.1";"uqcrfs1";"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2060]"
"ENSDARG00000008107";"ENSDARG00000008107";"31 x 38";"24hpf_pos.1";"src";"v-src avian sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3809]"
"ENSDARG00000008568";"ENSDARG00000008568";"6 x 5";"72hpf_pos_gata5.1";"slc25a24";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24 [Source:ZFIN;Acc:ZDB-GENE-040912-183]"
"ENSDARG00000010113";"ENSDARG00000010113";"5 x 15";"72hpf_pos_gata5";"ndufb8";"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1858]"
"ENSDARG00000010572";"ENSDARG00000010572";"11 x 1";"72hpf_pos_tbx5";"slc25a25a";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25a [Source:ZFIN;Acc:ZDB-GENE-040426-2396]"
"ENSDARG00000011146";"ENSDARG00000011146";"26 x 1";"48hpf_pos";"uqcrb";"ubiquinol-cytochrome c reductase binding protein [Source:ZFIN;Acc:ZDB-GENE-050522-542]"
"ENSDARG00000011272";"ENSDARG00000011272";"17 x 5";"72hpf_pos_gata5.1";"uqcc2";"ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1726]"
"ENSDARG00000012295";"ENSDARG00000012295";"31 x 12";"24hpf_pos";"bcs1l";"BC1 (ubiquinol-cytochrome c reductase) synthesis-like [Source:ZFIN;Acc:ZDB-GENE-040426-938]"
"ENSDARG00000013749";"ENSDARG00000013749";"30 x 1";"24hpf_pos.1";"zgc:92113";"zgc:92113 [Source:ZFIN;Acc:ZDB-GENE-040801-184]"
"ENSDARG00000014313";"ENSDARG00000014313";"5 x 14";"72hpf_pos_gata5.1";"atp5j";"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6 [Source:ZFIN;Acc:ZDB-GENE-040426-2534]"
"ENSDARG00000014794";"ENSDARG00000014794";"10 x 17";"72hpf_pos_gata5";"uqcrc2a";"ubiquinol-cytochrome c reductase core protein IIa [Source:ZFIN;Acc:ZDB-GENE-040718-405]"
"ENSDARG00000015540";"ENSDARG00000015540";"6 x 4";"72hpf_pos_gata5.1";"psen2";"presenilin 2 [Source:ZFIN;Acc:ZDB-GENE-000330-9]"
"ENSDARG00000015856";"ENSDARG00000015856";"34 x 4";"24hpf_pos";"slc25a40";"solute carrier family 25, member 40 [Source:ZFIN;Acc:ZDB-GENE-040718-52]"
"ENSDARG00000016721";"ENSDARG00000016721";"5 x 11";"72hpf_pos_gata5";"sdha";"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) [Source:ZFIN;Acc:ZDB-GENE-040426-874]"
"ENSDARG00000020718";"ENSDARG00000020718";"1 x 19";"72hpf_pos_hand2.1";"si:dkey-201c1.2";"si:dkey-201c1.2 [Source:ZFIN;Acc:ZDB-GENE-110408-61]"
"ENSDARG00000020893";"ENSDARG00000020893";"40 x 6";"24hpf_pos.1";"slc25a22";"solute carrier family 25 (mitochondrial carrier: glutamate), member 22 [Source:ZFIN;Acc:ZDB-GENE-040426-2745]"
"ENSDARG00000021250";"ENSDARG00000021250";"38 x 12";"24hpf_pos.1";"slc25a48";"solute carrier family 25, member 48 [Source:ZFIN;Acc:ZDB-GENE-040718-60]"
"ENSDARG00000021984";"ENSDARG00000021984";"21 x 1";"72hpf_pos_tbx5.1";"ndufa2";"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2 [Source:ZFIN;Acc:ZDB-GENE-050522-377]"
"ENSDARG00000022438";"ENSDARG00000022438";"24 x 2";"72hpf_pos_tbx5";"cox6a1";"cytochrome c oxidase subunit VIa polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7715]"
"ENSDARG00000023151";"ENSDARG00000023151";"6 x 9";"72hpf_pos_tbx5";"ucp1";"uncoupling protein 1 [Source:ZFIN;Acc:ZDB-GENE-010503-1]"
"ENSDARG00000023536";"ENSDARG00000023536";"33 x 32";"24hpf_neg";"nnt";"nicotinamide nucleotide transhydrogenase [Source:ZFIN;Acc:ZDB-GENE-040426-2592]"
"ENSDARG00000023583";"ENSDARG00000023583";"2 x 12";"72hpf_pos_gata5.1";"coq9";"coenzyme Q9 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061207-37]"
"ENSDARG00000023672";"ENSDARG00000023672";"13 x 3";"72hpf_pos";"timm8a";"translocase of inner mitochondrial membrane 8 homolog A (yeast) [Source:ZFIN;Acc:ZDB-GENE-040801-158]"
"ENSDARG00000024478";"ENSDARG00000024478";"7 x 14";"72hpf_pos";"mpc2";"mitochondrial pyruvate carrier 2 [Source:ZFIN;Acc:ZDB-GENE-030131-330]"
"ENSDARG00000024708";"ENSDARG00000024708";"12 x 30";"72hpf_neg_hand2";"slc25a23b";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23b [Source:ZFIN;Acc:ZDB-GENE-040724-220]"
"ENSDARG00000025074";"ENSDARG00000025074";"14 x 5";"72hpf_pos";"";"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10 [Source:ZFIN;Acc:ZDB-GENE-040426-1095]"
"ENSDARG00000025566";"ENSDARG00000025566";"31 x 7";"72hpf_pos.1";"slc25a3b";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1916]"
"ENSDARG00000026444";"ENSDARG00000026444";"35 x 18";"24hpf_pos.1";"apoob";"apolipoprotein O, b [Source:ZFIN;Acc:ZDB-GENE-041001-40]"
"ENSDARG00000026680";"ENSDARG00000026680";"36 x 10";"72hpf_pos.1";"slc25a14";"solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:ZFIN;Acc:ZDB-GENE-040426-749]"
"ENSDARG00000026835";"ENSDARG00000026835";"37 x 33";"24hpf_pos";"slc25a32b";"solute carrier family 25 (mitochondrial folate carrier), member 32b [Source:ZFIN;Acc:ZDB-GENE-050306-39]"
"ENSDARG00000027355";"ENSDARG00000027355";"2 x 9";"72hpf_pos.1";"slc25a4";"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5275]"
"ENSDARG00000027424";"ENSDARG00000027424";"2 x 31";"72hpf_neg";"slc25a3a";"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1673]"
"ENSDARG00000028131";"ENSDARG00000028131";"14 x 1";"72hpf_pos_gata5";"hccsa.1";"holocytochrome c synthase a [Source:ZFIN;Acc:ZDB-GENE-040718-202]"
"ENSDARG00000029088";"ENSDARG00000029088";"34 x 2";"24hpf_pos";"guf1";"GUF1 homolog, GTPase [Source:ZFIN;Acc:ZDB-GENE-030131-4289]"
"ENSDARG00000029510";"ENSDARG00000029510";"27 x 6";"24hpf_pos";"";"translocase of inner mitochondrial membrane 17 homolog A (yeast) [Source:ZFIN;Acc:ZDB-GENE-031030-6]"
"ENSDARG00000030139";"ENSDARG00000030139";"30 x 7";"72hpf_pos";"sdhdb";"succinate dehydrogenase complex, subunit D, integral membrane protein b [Source:ZFIN;Acc:ZDB-GENE-040822-17]"
"ENSDARG00000030641";"ENSDARG00000030641";"9 x 16";"24hpf_pos.1";"letmd1";"LETM1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-080723-8]"
"ENSDARG00000031098";"ENSDARG00000031098";"35 x 6";"24hpf_pos.1";"timm50";"translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1618]"
"ENSDARG00000032431";"ENSDARG00000032431";"39 x 33";"24hpf_pos.1";"mpv17";"MpV17 mitochondrial inner membrane protein [Source:ZFIN;Acc:ZDB-GENE-040426-1168]"
"ENSDARG00000032919";"ENSDARG00000032919";"7 x 13";"72hpf_pos_gata5";"chchd3a";"coiled-coil-helix-coiled-coil-helix domain containing 3a [Source:ZFIN;Acc:ZDB-GENE-030131-5005]"
