"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000018073";"ENSDARG00000018073";"37 x 11";"24hpf_pos.1";"mrps22";"mitochondrial ribosomal protein S22 [Source:ZFIN;Acc:ZDB-GENE-070615-31]"
"ENSDARG00000024465";"ENSDARG00000024465";"36 x 24";"24hpf_neg";"mrps18a";"mitochondrial ribosomal protein S18A [Source:ZFIN;Acc:ZDB-GENE-041210-109]"
"ENSDARG00000039543";"ENSDARG00000039543";"36 x 23";"48hpf_pos";"mrps6";"mitochondrial ribosomal protein S6 [Source:ZFIN;Acc:ZDB-GENE-060825-59]"
"ENSDARG00000039719";"ENSDARG00000039719";"8 x 14";"72hpf_pos.1";"mrps26";"mitochondrial ribosomal protein S26 [Source:ZFIN;Acc:ZDB-GENE-040718-115]"
"ENSDARG00000041538";"ENSDARG00000041538";"35 x 20";"72hpf_pos_gata5.1";"mrps28";"mitochondrial ribosomal protein S28 [Source:ZFIN;Acc:ZDB-GENE-061110-52]"
"ENSDARG00000054164";"ENSDARG00000054164";"23 x 14";"72hpf_pos_tbx5.1";"mrps17";"mitochondrial ribosomal protein S17 [Source:ZFIN;Acc:ZDB-GENE-050522-390]"
"ENSDARG00000057855";"ENSDARG00000057855";"9 x 17";"72hpf_pos.1";"mrps31";"mitochondrial ribosomal protein S31 [Source:ZFIN;Acc:ZDB-GENE-030131-3715]"
"ENSDARG00000061505";"ENSDARG00000061505";"34 x 9";"72hpf_pos.1";"mrps9";"mitochondrial ribosomal protein S9 [Source:ZFIN;Acc:ZDB-GENE-060825-257]"
"ENSDARG00000062209";"ENSDARG00000062209";"36 x 5";"24hpf_pos.1";"mrps5";"mitochondrial ribosomal protein S5 [Source:ZFIN;Acc:ZDB-GENE-060929-264]"
"ENSDARG00000068305";"ENSDARG00000068305";"28 x 6";"72hpf_pos_gata5.1";"mrps14";"mitochondrial ribosomal protein S14 [Source:ZFIN;Acc:ZDB-GENE-060825-75]"
"ENSDARG00000069624";"ENSDARG00000069624";"20 x 1";"72hpf_pos_gata5";"mrps18c";"mitochondrial ribosomal protein S18C [Source:ZFIN;Acc:ZDB-GENE-060503-609]"
"ENSDARG00000075129";"ENSDARG00000075129";"4 x 16";"24hpf_pos";"mrps11";"mitochondrial ribosomal protein S11 [Source:ZFIN;Acc:ZDB-GENE-040724-84]"
"ENSDARG00000078500";"ENSDARG00000078500";"32 x 27";"24hpf_pos";"dap3";"death associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-051129-2]"
"ENSDARG00000099429";"ENSDARG00000099429";"31 x 7";"72hpf_pos.1";"mrps15";"mitochondrial ribosomal protein S15 [Source:ZFIN;Acc:ZDB-GENE-040718-188]"
"ENSDARG00000100116";"ENSDARG00000100116";"40 x 22";"72hpf_neg_hand2";"mrps24";"mitochondrial ribosomal protein S24 [Source:ZFIN;Acc:ZDB-GENE-050522-393]"
