"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000837";"ENSDARG00000000837";"37 x 1";"24hpf_pos.1";"snx9a";"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]"
"ENSDARG00000003751";"ENSDARG00000003751";"31 x 31";"24hpf_pos.1";"lats1";"large tumor suppressor kinase 1 [Source:ZFIN;Acc:ZDB-GENE-050523-2]"
"ENSDARG00000005058";"ENSDARG00000005058";"39 x 36";"24hpf_pos.1";"ncapd2";"non-SMC condensin I complex, subunit D2 [Source:ZFIN;Acc:ZDB-GENE-050506-59]"
"ENSDARG00000006624";"ENSDARG00000006624";"34 x 13";"24hpf_pos.1";"ppp2r2ab";"protein phosphatase 2, regulatory subunit B, alpha b [Source:ZFIN;Acc:ZDB-GENE-030131-5474]"
"ENSDARG00000007221";"ENSDARG00000007221";"39 x 33";"24hpf_pos";"pbk";"PDZ binding kinase [Source:ZFIN;Acc:ZDB-GENE-030523-2]"
"ENSDARG00000012485";"ENSDARG00000012485";"39 x 36";"24hpf_pos";"aurka";"aurora kinase A [Source:ZFIN;Acc:ZDB-GENE-040801-161]"
"ENSDARG00000012718";"ENSDARG00000012718";"25 x 19";"72hpf_pos_hand2";"wee2";"WEE1 homolog 2 (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-030131-5682]"
"ENSDARG00000014685";"ENSDARG00000014685";"38 x 36";"24hpf_neg";"esco2";"establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050913-156]"
"ENSDARG00000014954";"ENSDARG00000014954";"27 x 25";"72hpf_pos_hand2.1";"snx33";"sorting nexin 33 [Source:ZFIN;Acc:ZDB-GENE-041111-209]"
"ENSDARG00000018738";"ENSDARG00000018738";"17 x 15";"72hpf_pos";"zw10";"zw10 kinetochore protein [Source:ZFIN;Acc:ZDB-GENE-040426-800]"
"ENSDARG00000019507";"ENSDARG00000019507";"39 x 34";"24hpf_neg";"mcm5";"minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1]"
"ENSDARG00000020258";"ENSDARG00000020258";"26 x 40";"48hpf_neg";"ewsr1a";"EWS RNA-binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-2317]"
"ENSDARG00000020465";"ENSDARG00000020465";"38 x 28";"24hpf_neg";"ewsr1b";"EWS RNA-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-030131-1600]"
"ENSDARG00000026454";"ENSDARG00000026454";"35 x 31";"24hpf_pos.1";"mis12";"MIS12 kinetochore complex component [Source:ZFIN;Acc:ZDB-GENE-040426-1372]"
"ENSDARG00000029688";"ENSDARG00000029688";"8 x 7";"72hpf_pos_hand2";"hsp70.1";"heat shock cognate 70-kd protein, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-91]"
"ENSDARG00000030999";"ENSDARG00000030999";"15 x 38";"72hpf_neg_gata5";"mybl1";"v-myb avian myeloblastosis viral oncogene homolog-like 1 [Source:ZFIN;Acc:ZDB-GENE-041111-281]"
"ENSDARG00000031388";"ENSDARG00000031388";"2 x 14";"72hpf_pos_gata5.1";"dctn2";"dynactin 2 (p50) [Source:ZFIN;Acc:ZDB-GENE-040426-1279]"
"ENSDARG00000034624";"ENSDARG00000034624";"39 x 32";"24hpf_pos.1";"nuf2";"NUF2, NDC80 kinetochore complex component, homolog [Source:ZFIN;Acc:ZDB-GENE-040426-1121]"
"ENSDARG00000036944";"ENSDARG00000036944";"40 x 12";"24hpf_pos.1";"ensaa";"endosulfine alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-181]"
