"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006092";"ENSDARG00000006092";"20 x 39";"24hpf_neg";"rad21a";"RAD21 cohesin complex component a [Source:ZFIN;Acc:ZDB-GENE-030131-994]"
"ENSDARG00000019000";"ENSDARG00000019000";"33 x 36";"24hpf_pos.1";"smc3";"structural maintenance of chromosomes 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3196]"
"ENSDARG00000019907";"ENSDARG00000019907";"37 x 5";"24hpf_pos.1";"dscc1";"DNA replication and sister chromatid cohesion 1 [Source:ZFIN;Acc:ZDB-GENE-040912-35]"
"ENSDARG00000027825";"ENSDARG00000027825";"30 x 8";"72hpf_pos";"naa50";"N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040801-142]"
"ENSDARG00000029768";"ENSDARG00000029768";"38 x 19";"24hpf_pos.1";"waplb";"WAPL cohesin release factor b [Source:ZFIN;Acc:ZDB-GENE-080220-45]"
"ENSDARG00000042056";"ENSDARG00000042056";"13 x 27";"72hpf_neg_hand2";"";"MAU2 sister chromatid cohesion factor [Source:ZFIN;Acc:ZDB-GENE-050522-383]"
"ENSDARG00000044144";"ENSDARG00000044144";"34 x 30";"24hpf_pos.1";"wapla";"WAPL cohesin release factor a [Source:ZFIN;Acc:ZDB-GENE-131010-1]"
"ENSDARG00000044437";"ENSDARG00000044437";"37 x 36";"24hpf_neg";"cdca5";"cell division cycle associated 5 [Source:ZFIN;Acc:ZDB-GENE-030131-235]"
"ENSDARG00000055754";"ENSDARG00000055754";"5 x 37";"72hpf_neg_tbx5";"smc1a";"structural maintenance of chromosomes 1A [Source:ZFIN;Acc:ZDB-GENE-090506-9]"
"ENSDARG00000058203";"ENSDARG00000058203";"27 x 35";"24hpf_neg";"smc1al";"structural maintenance of chromosomes 1A, like [Source:ZFIN;Acc:ZDB-GENE-040426-57]"
"ENSDARG00000061052";"ENSDARG00000061052";"27 x 39";"48hpf_neg";"nipblb";"nipped-B homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-6070]"
"ENSDARG00000069045";"ENSDARG00000069045";"25 x 19";"72hpf_pos_tbx5";"chtf8";"CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050419-148]"
"ENSDARG00000098272";"ENSDARG00000098272";"16 x 37";"48hpf_neg";"nipbla";"nipped-B homolog a (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060526-121]"
