"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004713";"ENSDARG00000004713";"38 x 33";"24hpf_pos";"mad2l1";"MAD2 mitotic arrest deficient-like 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030515-3]"
"ENSDARG00000015538";"ENSDARG00000015538";"26 x 36";"24hpf_neg";"znf207a";"zinc finger protein 207, a [Source:ZFIN;Acc:ZDB-GENE-040426-2273]"
"ENSDARG00000016630";"ENSDARG00000016630";"37 x 32";"24hpf_pos.1";"tprb";"translocated promoter region b, nuclear basket protein [Source:ZFIN;Acc:ZDB-GENE-030131-6410]"
"ENSDARG00000018738";"ENSDARG00000018738";"17 x 15";"72hpf_pos";"zw10";"zw10 kinetochore protein [Source:ZFIN;Acc:ZDB-GENE-040426-800]"
"ENSDARG00000033852";"ENSDARG00000033852";"35 x 33";"24hpf_neg";"mad1l1";"MAD1 mitotic arrest deficient-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1081]"
"ENSDARG00000074927";"ENSDARG00000074927";"37 x 39";"24hpf_neg";"bub1bb";"BUB1 mitotic checkpoint serine/threonine kinase Bb [Source:ZFIN;Acc:ZDB-GENE-030829-51]"
"ENSDARG00000075883";"ENSDARG00000075883";"29 x 40";"24hpf_neg";"bub3";"BUB3 mitotic checkpoint protein [Source:ZFIN;Acc:ZDB-GENE-041010-210]"
"ENSDARG00000077029";"ENSDARG00000077029";"38 x 39";"24hpf_pos.1";"bub1";"BUB1 mitotic checkpoint serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-081104-75]"
"ENSDARG00000078825";"ENSDARG00000078825";"40 x 34";"24hpf_pos.1";"bub1ba";"BUB1 mitotic checkpoint serine/threonine kinase Ba [Source:ZFIN;Acc:ZDB-GENE-041014-120]"
"ENSDARG00000088807";"ENSDARG00000088807";"21 x 3";"48hpf_pos";"klhl22";"kelch-like family member 22 [Source:ZFIN;Acc:ZDB-GENE-081104-154]"
"ENSDARG00000101277";"ENSDARG00000101277";"32 x 33";"24hpf_neg";"znf207b";"zinc finger protein 207, b [Source:ZFIN;Acc:ZDB-GENE-030131-7377]"
