"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013926";"ENSDARG00000013926";"2 x 6";"72hpf_pos_tbx5";"slc16a9a";"solute carrier family 16, member 9a [Source:ZFIN;Acc:ZDB-GENE-040426-1364]"
"ENSDARG00000016963";"ENSDARG00000016963";"21 x 33";"24hpf_neg";"slc16a1a";"solute carrier family 16 (monocarboxylate transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-110408-16]"
"ENSDARG00000017773";"ENSDARG00000017773";"37 x 28";"24hpf_pos";"slc16a12a";"solute carrier family 16, member 12a [Source:ZFIN;Acc:ZDB-GENE-080721-24]"
"ENSDARG00000020984";"ENSDARG00000020984";"38 x 1";"72hpf_pos_tbx5";"slc16a10";"solute carrier family 16 (aromatic amino acid transporter), member 10 [Source:ZFIN;Acc:ZDB-GENE-040724-214]"
"ENSDARG00000021573";"ENSDARG00000021573";"14 x 9";"24hpf_pos.1";"slc16a7";"solute carrier family 16, member 7 (monocarboxylic acid transporter 2) [Source:ZFIN;Acc:ZDB-GENE-051113-248]"
"ENSDARG00000028583";"ENSDARG00000028583";"5 x 25";"72hpf_neg";"si:ch211-234h8.7";"si:ch211-234h8.7 [Source:ZFIN;Acc:ZDB-GENE-061009-16]"
"ENSDARG00000030472";"ENSDARG00000030472";"25 x 38";"24hpf_pos";"slc16a5a";"solute carrier family 16 (monocarboxylate transporter), member 5a [Source:ZFIN;Acc:ZDB-GENE-121108-4]"
"ENSDARG00000042807";"ENSDARG00000042807";"1 x 7";"72hpf_pos_tbx5";"slc16a4";"solute carrier family 16, member 4 [Source:ZFIN;Acc:ZDB-GENE-070112-602]"
"ENSDARG00000045051";"ENSDARG00000045051";"7 x 28";"72hpf_neg_tbx5";"slc16a3";"solute carrier family 16 (monocarboxylate transporter), member 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5487]"
"ENSDARG00000045153";"ENSDARG00000045153";"40 x 13";"24hpf_pos.1";"slc16a8";"solute carrier family 16 (monocarboxylate transporter), member 8 [Source:ZFIN;Acc:ZDB-GENE-121128-1]"
"ENSDARG00000052109";"ENSDARG00000052109";"33 x 22";"24hpf_pos";"zgc:114041";"zgc:114041 [Source:ZFIN;Acc:ZDB-GENE-050706-122]"
"ENSDARG00000055342";"ENSDARG00000055342";"26 x 2";"72hpf_pos_gata5.1";"slc16a13";"solute carrier family 16, member 13 (monocarboxylic acid transporter 13) [Source:ZFIN;Acc:ZDB-GENE-120907-2]"
"ENSDARG00000068572";"ENSDARG00000068572";"26 x 31";"24hpf_neg";"slc16a1b";"solute carrier family 16 (monocarboxylate transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-030515-5]"
"ENSDARG00000098258";"ENSDARG00000098258";"3 x 32";"72hpf_neg_tbx5";"";"solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]"
"ENSDARG00000098694";"ENSDARG00000098694";"27 x 36";"72hpf_neg_hand2";"";"solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]"
"ENSDARG00000098922";"ENSDARG00000098922";"24 x 31";"48hpf_pos.1";"";""
"ENSDARG00000102668";"ENSDARG00000102668";"20 x 31";"72hpf_neg_gata5";"slc16a5b";"solute carrier family 16 (monocarboxylate transporter), member 5b [Source:ZFIN;Acc:ZDB-GENE-131120-181]"
"ENSDARG00000102793";"ENSDARG00000102793";"33 x 30";"24hpf_pos";"slc16a6a";"solute carrier family 16, member 6a [Source:ZFIN;Acc:ZDB-GENE-110208-1]"
"ENSDARG00000104629";"ENSDARG00000104629";"40 x 10";"24hpf_pos.1";"LOC103911912";"solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]"
