"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000103";"ENSDARG00000000103";"25 x 32";"72hpf_pos_hand2";"myh10";"myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]"
"ENSDARG00000001014";"ENSDARG00000001014";"34 x 18";"24hpf_pos.1";"myh9b";"myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]"
"ENSDARG00000001558";"ENSDARG00000001558";"37 x 37";"24hpf_pos";"kifc1";"kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21]"
"ENSDARG00000001993";"ENSDARG00000001993";"1 x 36";"72hpf_pos.1";"myhb";"myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]"
"ENSDARG00000003872";"ENSDARG00000003872";"15 x 40";"72hpf_neg_hand2";"ccdc102a";"coiled-coil domain containing 102A [Source:ZFIN;Acc:ZDB-GENE-030131-4044]"
"ENSDARG00000005462";"ENSDARG00000005462";"37 x 37";"24hpf_pos.1";"kif4";"kinesin family member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1545]"
"ENSDARG00000006892";"ENSDARG00000006892";"33 x 30";"24hpf_pos.1";"myo3b";"myosin IIIB [Source:ZFIN;Acc:ZDB-GENE-070706-2]"
"ENSDARG00000008022";"ENSDARG00000008022";"37 x 37";"24hpf_pos";"kif18a";"kinesin family member 18A [Source:ZFIN;Acc:ZDB-GENE-040426-862]"
"ENSDARG00000009133";"ENSDARG00000009133";"1 x 27";"72hpf_neg";"myo1eb";"myosin IE, b [Source:ZFIN;Acc:ZDB-GENE-040426-1347]"
"ENSDARG00000009733";"ENSDARG00000009733";"26 x 36";"48hpf_neg";"";"kinesin family member 21B [Source:ZFIN;Acc:ZDB-GENE-130530-537]"
"ENSDARG00000009782";"ENSDARG00000009782";"5 x 26";"72hpf_neg";"myh11a";"myosin, heavy chain 11a, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-050531-1]"
"ENSDARG00000010186";"ENSDARG00000010186";"3 x 37";"48hpf_neg";"myo3a";"myosin IIIA [Source:ZFIN;Acc:ZDB-GENE-041026-4]"
"ENSDARG00000010332";"ENSDARG00000010332";"11 x 10";"72hpf_pos_tbx5.1";"zgc:56231";"zgc:56231 [Source:ZFIN;Acc:ZDB-GENE-040426-1914]"
"ENSDARG00000010948";"ENSDARG00000010948";"38 x 38";"24hpf_pos.1";"kif11";"kinesin family member 11 [Source:ZFIN;Acc:ZDB-GENE-020426-1]"
"ENSDARG00000012073";"ENSDARG00000012073";"38 x 34";"24hpf_pos.1";"kif15";"kinesin family member 15 [Source:ZFIN;Acc:ZDB-GENE-050622-16]"
"ENSDARG00000012944";"ENSDARG00000012944";"1 x 8";"72hpf_pos.1";"myhz2";"myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]"
"ENSDARG00000013343";"ENSDARG00000013343";"13 x 38";"72hpf_neg_tbx5";"kif26ba";"kinesin family member 26Ba [Source:ZFIN;Acc:ZDB-GENE-070521-4]"
"ENSDARG00000014943";"ENSDARG00000014943";"36 x 37";"24hpf_pos";"kif23";"kinesin family member 23 [Source:ZFIN;Acc:ZDB-GENE-991019-4]"
"ENSDARG00000015016";"ENSDARG00000015016";"14 x 39";"72hpf_neg_tbx5";"kif26ab";"kinesin family member 26Ab [Source:ZFIN;Acc:ZDB-GENE-100716-6]"
"ENSDARG00000015805";"ENSDARG00000015805";"39 x 36";"24hpf_pos.1";"cgnl1";"cingulin-like 1 [Source:ZFIN;Acc:ZDB-GENE-071009-2]"
"ENSDARG00000017004";"ENSDARG00000017004";"26 x 31";"72hpf_neg";"myo10";"myosin X [Source:ZFIN;Acc:ZDB-GENE-070912-277]"
"ENSDARG00000017162";"ENSDARG00000017162";"7 x 38";"72hpf_neg_tbx5";"";"kinesin family member 3Ca [Source:ZFIN;Acc:ZDB-GENE-111214-2]"
"ENSDARG00000017532";"ENSDARG00000017532";"19 x 36";"48hpf_neg";"kif25";"kinesin family member 25 [Source:ZFIN;Acc:ZDB-GENE-041001-167]"
"ENSDARG00000020924";"ENSDARG00000020924";"7 x 11";"72hpf_pos_gata5.1";"myo1ca";"myosin Ic, paralog a [Source:ZFIN;Acc:ZDB-GENE-070705-190]"
"ENSDARG00000021582";"ENSDARG00000021582";"11 x 15";"72hpf_pos.1";"dynlrb1";"dynein, light chain, roadblock-type 1 [Source:ZFIN;Acc:ZDB-GENE-040426-989]"
"ENSDARG00000024694";"ENSDARG00000024694";"1 x 12";"72hpf_pos";"myo1b";"myosin IB [Source:ZFIN;Acc:ZDB-GENE-030131-695]"
"ENSDARG00000025218";"ENSDARG00000025218";"25 x 1";"72hpf_pos_hand2.1";"";"myosin VAb [Source:ZFIN;Acc:ZDB-GENE-050411-72]"
"ENSDARG00000031693";"ENSDARG00000031693";"22 x 8";"72hpf_pos_hand2.1";"si:dkey-86l18.8";"si:dkey-86l18.8 [Source:ZFIN;Acc:ZDB-GENE-160728-129]"
"ENSDARG00000033099";"ENSDARG00000033099";"26 x 31";"24hpf_neg";"kif7";"kinesin family member 7 [Source:ZFIN;Acc:ZDB-GENE-050307-1]"
