"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001437";"ENSDARG00000001437";"27 x 14";"24hpf_neg";"slc2a1a";"solute carrier family 2 (facilitated glucose transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]"
"ENSDARG00000001889";"ENSDARG00000001889";"7 x 40";"72hpf_neg_tbx5";"tuba1a";"tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]"
"ENSDARG00000003209";"ENSDARG00000003209";"33 x 21";"24hpf_pos";"";"si:ch73-129a22.11 [Source:ZFIN;Acc:ZDB-GENE-100921-68]"
"ENSDARG00000003845";"ENSDARG00000003845";"39 x 20";"72hpf_pos";"chm";"choroideremia (Rab escort protein 1) [Source:ZFIN;Acc:ZDB-GENE-030318-2]"
"ENSDARG00000004672";"ENSDARG00000004672";"14 x 37";"72hpf_neg_tbx5";"ptk2ab";"protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]"
"ENSDARG00000004939";"ENSDARG00000004939";"23 x 38";"24hpf_neg";"mtdhb";"metadherin b [Source:ZFIN;Acc:ZDB-GENE-090929-2]"
"ENSDARG00000005828";"ENSDARG00000005828";"24 x 36";"72hpf_neg_hand2";"faima";"Fas apoptotic inhibitory molecule a [Source:ZFIN;Acc:ZDB-GENE-040718-323]"
"ENSDARG00000006109";"ENSDARG00000006109";"19 x 26";"48hpf_neg";"";"Pim proto-oncogene, serine/threonine kinase, related 185 [Source:ZFIN;Acc:ZDB-GENE-081104-450]"
"ENSDARG00000006925";"ENSDARG00000006925";"30 x 16";"24hpf_pos";"";"si:dkey-58b18.3 [Source:ZFIN;Acc:ZDB-GENE-070912-563]"
"ENSDARG00000007864";"ENSDARG00000007864";"35 x 2";"24hpf_pos.1";"";"Pim proto-oncogene, serine/threonine kinase, related 195 [Source:ZFIN;Acc:ZDB-GENE-141216-224]"
"ENSDARG00000008363";"ENSDARG00000008363";"3 x 6";"72hpf_pos";"mcl1b";"MCL1, BCL2 family apoptosis regulator b [Source:ZFIN;Acc:ZDB-GENE-030825-1]"
"ENSDARG00000008434";"ENSDARG00000008434";"20 x 11";"72hpf_pos";"bcl2l1";"bcl2-like 1 [Source:ZFIN;Acc:ZDB-GENE-010730-1]"
"ENSDARG00000009779";"ENSDARG00000009779";"7 x 7";"72hpf_pos_gata5";"mcl1a";"MCL1, BCL2 family apoptosis regulator a [Source:ZFIN;Acc:ZDB-GENE-000511-7]"
"ENSDARG00000010655";"ENSDARG00000010655";"18 x 13";"72hpf_pos";"ppm1k";"protein phosphatase, Mg2+/Mn2+ dependent, 1K [Source:ZFIN;Acc:ZDB-GENE-050306-8]"
"ENSDARG00000011219";"ENSDARG00000011219";"26 x 31";"24hpf_pos";"akt2";"v-akt murine thymoma viral oncogene homolog 2 [Source:ZFIN;Acc:ZDB-GENE-031007-5]"
"ENSDARG00000012667";"ENSDARG00000012667";"1 x 40";"48hpf_neg";"tfap2b";"transcription factor AP-2 beta [Source:ZFIN;Acc:ZDB-GENE-050417-394]"
"ENSDARG00000013095";"ENSDARG00000013095";"13 x 1";"24hpf_pos.1";"gclc";"glutamate-cysteine ligase, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-030131-5056]"
"ENSDARG00000013477";"ENSDARG00000013477";"40 x 40";"24hpf_pos.1";"gata1a";"GATA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-980526-268]"
"ENSDARG00000014159";"ENSDARG00000014159";"23 x 13";"72hpf_pos_tbx5.1";"mtdha";"metadherin a [Source:ZFIN;Acc:ZDB-GENE-030616-615]"
"ENSDARG00000015540";"ENSDARG00000015540";"6 x 4";"72hpf_pos_gata5.1";"psen2";"presenilin 2 [Source:ZFIN;Acc:ZDB-GENE-000330-9]"
