"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005629";"ENSDARG00000005629";"33 x 31";"24hpf_neg";"smyd2b";"SET and MYND domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-041001-201]"
"ENSDARG00000006782";"ENSDARG00000006782";"40 x 31";"24hpf_pos.1";"rb1";"retinoblastoma 1 [Source:ZFIN;Acc:ZDB-GENE-040428-1]"
"ENSDARG00000007990";"ENSDARG00000007990";"26 x 8";"72hpf_pos_gata5.1";"wt1b";"wilms tumor 1b [Source:ZFIN;Acc:ZDB-GENE-050420-319]"
"ENSDARG00000008986";"ENSDARG00000008986";"40 x 35";"24hpf_neg";"e2f7";"E2F transcription factor 7 [Source:ZFIN;Acc:ZDB-GENE-030131-3527]"
"ENSDARG00000012667";"ENSDARG00000012667";"1 x 40";"48hpf_neg";"tfap2b";"transcription factor AP-2 beta [Source:ZFIN;Acc:ZDB-GENE-050417-394]"
"ENSDARG00000015427";"ENSDARG00000015427";"23 x 40";"24hpf_neg";"hdac1";"histone deacetylase 1 [Source:ZFIN;Acc:ZDB-GENE-020419-32]"
"ENSDARG00000019116";"ENSDARG00000019116";"27 x 10";"72hpf_pos_gata5.1";"";"inhibitor of growth family, member 1 [Source:ZFIN;Acc:ZDB-GENE-060421-4388]"
"ENSDARG00000020000";"ENSDARG00000020000";"29 x 13";"48hpf_pos";"sh3bp4a";"SH3-domain binding protein 4a [Source:ZFIN;Acc:ZDB-GENE-040303-3]"
"ENSDARG00000021372";"ENSDARG00000021372";"2 x 10";"72hpf_pos_gata5";"tob1b";"transducer of ERBB2, 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2151]"
"ENSDARG00000022413";"ENSDARG00000022413";"1 x 19";"48hpf_neg";"ing5a";"inhibitor of growth family, member 5a [Source:ZFIN;Acc:ZDB-GENE-031016-1]"
"ENSDARG00000023920";"ENSDARG00000023920";"9 x 21";"72hpf_pos.1";"llgl2";"lethal giant larvae homolog 2 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-9877]"
"ENSDARG00000028017";"ENSDARG00000028017";"18 x 35";"72hpf_neg_gata5";"tp53inp1";"tumor protein p53 inducible nuclear protein 1 [Source:ZFIN;Acc:ZDB-GENE-031018-3]"
"ENSDARG00000030716";"ENSDARG00000030716";"6 x 32";"48hpf_neg";"ing4";"inhibitor of growth family, member 4 [Source:ZFIN;Acc:ZDB-GENE-050522-47]"
"ENSDARG00000030981";"ENSDARG00000030981";"37 x 13";"24hpf_pos.1";"tmem127";"transmembrane protein 127 [Source:ZFIN;Acc:ZDB-GENE-050522-97]"
"ENSDARG00000031420";"ENSDARG00000031420";"1 x 14";"48hpf_pos.1";"wt1a";"wilms tumor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-558]"
"ENSDARG00000032116";"ENSDARG00000032116";"30 x 7";"72hpf_neg";"cnot7";"CCR4-NOT transcription complex, subunit 7 [Source:ZFIN;Acc:ZDB-GENE-061013-29]"
"ENSDARG00000032619";"ENSDARG00000032619";"1 x 21";"72hpf_pos.1";"tob1a";"transducer of ERBB2, 1a [Source:ZFIN;Acc:ZDB-GENE-031030-4]"
"ENSDARG00000033647";"ENSDARG00000033647";"33 x 14";"24hpf_pos.1";"smarcb1a";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1a [Source:ZFIN;Acc:ZDB-GENE-041114-5]"
"ENSDARG00000035171";"ENSDARG00000035171";"26 x 15";"48hpf_pos";"btg4";"B-cell translocation gene 4 [Source:ZFIN;Acc:ZDB-GENE-031008-1]"
"ENSDARG00000037116";"ENSDARG00000037116";"33 x 39";"72hpf_neg";"cxcl12a";"chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030318-1]"
"ENSDARG00000043249";"ENSDARG00000043249";"9 x 14";"72hpf_pos_hand2";"irf1b";"thioredoxin domain containing 15 [Source:ZFIN;Acc:ZDB-GENE-070615-36]"
"ENSDARG00000052396";"ENSDARG00000052396";"22 x 8";"72hpf_pos_hand2.1";"pkz";"protein kinase containing Z-DNA binding domains [Source:ZFIN;Acc:ZDB-GENE-050301-2]"
"ENSDARG00000052470";"ENSDARG00000052470";"1 x 20";"72hpf_pos_tbx5";"igfbp2a";"insulin-like growth factor binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-000125-12]"
"ENSDARG00000056623";"ENSDARG00000056623";"9 x 29";"72hpf_neg_hand2";"ptenb";"phosphatase and tensin homolog B [Source:ZFIN;Acc:ZDB-GENE-030616-47]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000059090";"ENSDARG00000059090";"9 x 23";"72hpf_pos.1";"sstr2a";"somatostatin receptor 2a [Source:ZFIN;Acc:ZDB-GENE-140130-1]"
"ENSDARG00000060498";"ENSDARG00000060498";"33 x 23";"24hpf_pos";"tnfrsf9a";"tumor necrosis factor receptor superfamily, member 9a [Source:ZFIN;Acc:ZDB-GENE-060421-8213]"
"ENSDARG00000067925";"ENSDARG00000067925";"16 x 28";"72hpf_neg_tbx5";"sstr1b";"somatostatin receptor 1b [Source:ZFIN;Acc:ZDB-GENE-120410-2]"
"ENSDARG00000068175";"ENSDARG00000068175";"31 x 3";"24hpf_pos.1";"ing5b";"inhibitor of growth family, member 5b [Source:ZFIN;Acc:ZDB-GENE-030616-462]"
"ENSDARG00000068567";"ENSDARG00000068567";"1 x 30";"72hpf_neg_gata5";"shha";"sonic hedgehog a [Source:ZFIN;Acc:ZDB-GENE-980526-166]"
"ENSDARG00000069484";"ENSDARG00000069484";"6 x 35";"48hpf_neg";"dab2ipa";"DAB2 interacting protein a [Source:ZFIN;Acc:ZDB-GENE-081104-516]"
"ENSDARG00000069763";"ENSDARG00000069763";"15 x 13";"72hpf_pos_tbx5.1";"etv5a";"ets variant 5a [Source:ZFIN;Acc:ZDB-GENE-030131-9572]"
"ENSDARG00000069806";"ENSDARG00000069806";"23 x 26";"72hpf_neg";"sstr2b";"somatostatin receptor 2b [Source:ZFIN;Acc:ZDB-GENE-130530-727]"
"ENSDARG00000071018";"ENSDARG00000071018";"9 x 31";"72hpf_neg_hand2";"ptena";"phosphatase and tensin homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-3776]"
