"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003403";"ENSDARG00000003403";"5 x 36";"72hpf_neg_hand2";"tenm1";"teneurin transmembrane protein 1 [Source:ZFIN;Acc:ZDB-GENE-060531-26]"
"ENSDARG00000003469";"ENSDARG00000003469";"1 x 40";"48hpf_neg";"neurod4";"neuronal differentiation 4 [Source:ZFIN;Acc:ZDB-GENE-030730-1]"
"ENSDARG00000004023";"ENSDARG00000004023";"7 x 40";"72hpf_neg_tbx5";"isl1";"ISL LIM homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-980526-112]"
"ENSDARG00000005479";"ENSDARG00000005479";"13 x 40";"72hpf_neg_tbx5";"tenm3";"teneurin transmembrane protein 3 [Source:ZFIN;Acc:ZDB-GENE-990714-19]"
"ENSDARG00000007406";"ENSDARG00000007406";"15 x 39";"72hpf_neg_tbx5";"phox2a";"paired-like homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-000223-14]"
"ENSDARG00000008034";"ENSDARG00000008034";"17 x 40";"72hpf_neg";"skib";"v-ski avian sarcoma viral oncogene homolog b [Source:ZFIN;Acc:ZDB-GENE-990715-10]"
"ENSDARG00000009372";"ENSDARG00000009372";"12 x 33";"72hpf_neg_gata5";"diras1b";"DIRAS family, GTP-binding RAS-like 1b [Source:ZFIN;Acc:ZDB-GENE-070912-620]"
"ENSDARG00000009870";"ENSDARG00000009870";"18 x 33";"72hpf_neg_gata5";"mapk8b";"mitogen-activated protein kinase 8b [Source:ZFIN;Acc:ZDB-GENE-010202-1]"
"ENSDARG00000010773";"ENSDARG00000010773";"27 x 15";"48hpf_pos.1";"pnpla6";"patatin-like phospholipase domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-050107-4]"
"ENSDARG00000011171";"ENSDARG00000011171";"1 x 39";"72hpf_neg_tbx5";"si:ch211-12m10.1";"si:ch211-12m10.1 [Source:ZFIN;Acc:ZDB-GENE-060503-100]"
"ENSDARG00000015314";"ENSDARG00000015314";"8 x 40";"72hpf_neg_gata5";"zc4h2";"zinc finger, C4H2 domain containing [Source:ZFIN;Acc:ZDB-GENE-030131-2207]"
"ENSDARG00000019566";"ENSDARG00000019566";"1 x 40";"72hpf_neg_gata5";"";"neuronal differentiation 1 [Source:ZFIN;Acc:ZDB-GENE-990415-172]"
"ENSDARG00000020043";"ENSDARG00000020043";"38 x 18";"24hpf_pos.1";"cnot8";"CCR4-NOT transcription complex, subunit 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2845]"
"ENSDARG00000022904";"ENSDARG00000022904";"3 x 9";"72hpf_pos";"skilb";"SKI-like proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-080723-40]"
"ENSDARG00000023933";"ENSDARG00000023933";"13 x 28";"72hpf_neg_hand2";"skila";"SKI-like proto-oncogene a [Source:ZFIN;Acc:ZDB-GENE-070912-548]"
"ENSDARG00000025325";"ENSDARG00000025325";"9 x 33";"72hpf_neg_gata5";"ccsapa";"centriole, cilia and spindle-associated protein a [Source:ZFIN;Acc:ZDB-GENE-111116-1]"
"ENSDARG00000028066";"ENSDARG00000028066";"1 x 40";"72hpf_neg_hand2";"diras1a";"DIRAS family, GTP-binding RAS-like 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5788]"
"ENSDARG00000031796";"ENSDARG00000031796";"6 x 37";"72hpf_neg_tbx5";"ache";"acetylcholinesterase [Source:ZFIN;Acc:ZDB-GENE-010906-1]"
"ENSDARG00000035899";"ENSDARG00000035899";"6 x 35";"72hpf_neg_hand2";"lingo1b";"leucine rich repeat and Ig domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-040912-136]"
"ENSDARG00000037122";"ENSDARG00000037122";"7 x 37";"72hpf_neg_tbx5";"si:dkey-34l15.2";"si:dkey-34l15.2 [Source:ZFIN;Acc:ZDB-GENE-081027-5]"
"ENSDARG00000037995";"ENSDARG00000037995";"40 x 34";"24hpf_pos.1";"gdf3";"growth differentiation factor 3 [Source:ZFIN;Acc:ZDB-GENE-980526-389]"
"ENSDARG00000040085";"ENSDARG00000040085";"18 x 34";"72hpf_neg_gata5";"ccsapb";"centriole, cilia and spindle-associated protein b [Source:ZFIN;Acc:ZDB-GENE-081107-51]"
"ENSDARG00000040946";"ENSDARG00000040946";"22 x 40";"48hpf_neg";"olig2";"oligodendrocyte lineage transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030131-4013]"
"ENSDARG00000042128";"ENSDARG00000042128";"11 x 40";"48hpf_neg";"pacsin1b";"protein kinase C and casein kinase substrate in neurons 1b [Source:ZFIN;Acc:ZDB-GENE-050913-35]"
"ENSDARG00000042151";"ENSDARG00000042151";"15 x 37";"72hpf_neg";"skia";"v-ski avian sarcoma viral oncogene homolog a [Source:ZFIN;Acc:ZDB-GENE-990715-9]"
