"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008170";"ENSDARG00000008170";"7 x 20";"72hpf_pos.1";"dbnla";"drebrin-like a [Source:ZFIN;Acc:ZDB-GENE-040704-42]"
"ENSDARG00000009031";"ENSDARG00000009031";"33 x 39";"72hpf_neg_tbx5";"tnikb";"TRAF2 and NCK interacting kinase b [Source:ZFIN;Acc:ZDB-GENE-051113-320]"
"ENSDARG00000014050";"ENSDARG00000014050";"24 x 37";"24hpf_neg";"";"nerve growth factor b (beta polypeptide) [Source:ZFIN;Acc:ZDB-GENE-000629-2]"
"ENSDARG00000016016";"ENSDARG00000016016";"7 x 5";"72hpf_pos_hand2.1";"dbnlb";"drebrin-like b [Source:ZFIN;Acc:ZDB-GENE-050522-293]"
"ENSDARG00000016623";"ENSDARG00000016623";"1 x 4";"48hpf_pos";"si:ch211-195b13.1";"si:ch211-195b13.1 [Source:ZFIN;Acc:ZDB-GENE-030131-7626]"
"ENSDARG00000018817";"ENSDARG00000018817";"8 x 29";"72hpf_neg_tbx5";"bdnf";"brain-derived neurotrophic factor [Source:ZFIN;Acc:ZDB-GENE-000412-1]"
"ENSDARG00000023878";"ENSDARG00000023878";"32 x 28";"24hpf_pos";"stk24b";"serine/threonine kinase 24b (STE20 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2841]"
"ENSDARG00000025522";"ENSDARG00000025522";"7 x 6";"72hpf_pos_hand2";"sgk1";"serum/glucocorticoid regulated kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2860]"
"ENSDARG00000032161";"ENSDARG00000032161";"20 x 34";"72hpf_neg";"srgap2";"SLIT-ROBO Rho GTPase activating protein 2 [Source:ZFIN;Acc:ZDB-GENE-060915-2]"
"ENSDARG00000032865";"ENSDARG00000032865";"1 x 40";"72hpf_neg_tbx5";"pacsin1a";"protein kinase C and casein kinase substrate in neurons 1a [Source:ZFIN;Acc:ZDB-GENE-050522-155]"
"ENSDARG00000035360";"ENSDARG00000035360";"3 x 10";"72hpf_pos_gata5.1";"mink1";"misshapen-like kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060526-45]"
"ENSDARG00000035984";"ENSDARG00000035984";"7 x 21";"72hpf_pos.1";"mnx1";"motor neuron and pancreas homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-040409-1]"
"ENSDARG00000037433";"ENSDARG00000037433";"15 x 30";"72hpf_neg_tbx5";"fmr1";"fragile X mental retardation 1 [Source:ZFIN;Acc:ZDB-GENE-020731-6]"
"ENSDARG00000039022";"ENSDARG00000039022";"3 x 19";"72hpf_pos_gata5";"stk25b";"serine/threonine kinase 25b [Source:ZFIN;Acc:ZDB-GENE-040426-2537]"
