"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007560";"ENSDARG00000007560";"14 x 40";"72hpf_neg";"sema3bl";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3bl [Source:ZFIN;Acc:ZDB-GENE-030131-2956]"
"ENSDARG00000011163";"ENSDARG00000011163";"10 x 39";"72hpf_neg_hand2";"sema3fa";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fa [Source:ZFIN;Acc:ZDB-GENE-050513-1]"
"ENSDARG00000011672";"ENSDARG00000011672";"9 x 40";"72hpf_neg_gata5";"sema3b";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:ZFIN;Acc:ZDB-GENE-081105-78]"
"ENSDARG00000036571";"ENSDARG00000036571";"33 x 40";"72hpf_neg";"sema3e";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:ZFIN;Acc:ZDB-GENE-030131-7864]"
"ENSDARG00000040920";"ENSDARG00000040920";"33 x 37";"72hpf_neg";"si:dkey-49n23.1";"si:dkey-49n23.1 [Source:ZFIN;Acc:ZDB-GENE-050208-762]"
"ENSDARG00000042545";"ENSDARG00000042545";"33 x 34";"24hpf_pos.1";"sema3ga";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ga [Source:ZFIN;Acc:ZDB-GENE-050513-3]"
"ENSDARG00000055373";"ENSDARG00000055373";"32 x 36";"24hpf_pos.1";"sema3fb";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fb [Source:ZFIN;Acc:ZDB-GENE-050513-2]"
"ENSDARG00000058821";"ENSDARG00000058821";"1 x 9";"72hpf_pos_gata5.1";"sema5a";"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A [Source:ZFIN;Acc:ZDB-GENE-030131-8969]"
"ENSDARG00000061471";"ENSDARG00000061471";"7 x 40";"24hpf_neg";"sema5ba";"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5Ba [Source:ZFIN;Acc:ZDB-GENE-070912-187]"
"ENSDARG00000070442";"ENSDARG00000070442";"4 x 39";"72hpf_neg_tbx5";"si:ch211-113g11.6";"si:ch211-113g11.6 [Source:ZFIN;Acc:ZDB-GENE-060503-473]"
"ENSDARG00000075648";"ENSDARG00000075648";"14 x 39";"72hpf_neg_gata5";"sema5bb";"sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5Bb [Source:ZFIN;Acc:ZDB-GENE-130530-778]"
"ENSDARG00000078707";"ENSDARG00000078707";"11 x 11";"72hpf_pos.1";"sema7a";"semaphorin 7A [Source:ZFIN;Acc:ZDB-GENE-030131-3633]"
"ENSDARG00000098508";"ENSDARG00000098508";"32 x 20";"24hpf_pos";"";""
