"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002773";"ENSDARG00000002773";"36 x 15";"24hpf_pos.1";"htr1fa";"5-hydroxytryptamine (serotonin) receptor 1Fa [Source:ZFIN;Acc:ZDB-GENE-081105-125]"
"ENSDARG00000011468";"ENSDARG00000011468";"16 x 24";"72hpf_neg_hand2";"htr1e";"5-hydroxytryptamine receptor 1E [Source:HGNC Symbol;Acc:HGNC:5291]"
"ENSDARG00000013210";"ENSDARG00000013210";"20 x 25";"48hpf_neg";"htr2cl2";"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 2 [Source:ZFIN;Acc:ZDB-GENE-120215-109]"
"ENSDARG00000016095";"ENSDARG00000016095";"40 x 11";"24hpf_pos.1";"htr6";"5-hydroxytryptamine (serotonin) receptor 6 [Source:ZFIN;Acc:ZDB-GENE-030131-7839]"
"ENSDARG00000018228";"ENSDARG00000018228";"40 x 13";"24hpf_pos.1";"htr2cl1";"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled-like 1 [Source:ZFIN;Acc:ZDB-GENE-081104-48]"
"ENSDARG00000027587";"ENSDARG00000027587";"25 x 20";"72hpf_pos_tbx5";"htr7b";"5-hydroxytryptamine (serotonin) receptor 7b [Source:ZFIN;Acc:ZDB-GENE-091118-105]"
"ENSDARG00000038869";"ENSDARG00000038869";"29 x 20";"24hpf_pos";"";"5-hydroxytryptamine (serotonin) receptor 5A, genome duplicate a [Source:ZFIN;Acc:ZDB-GENE-060531-129]"
"ENSDARG00000053580";"ENSDARG00000053580";"31 x 20";"24hpf_pos";"htr1fb";"5-hydroxytryptamine (serotonin) receptor 1Fb [Source:ZFIN;Acc:ZDB-GENE-090312-140]"
"ENSDARG00000053987";"ENSDARG00000053987";"23 x 10";"72hpf_pos_gata5.1";"htr1b";"5-hydroxytryptamine (serotonin) receptor 1B [Source:ZFIN;Acc:ZDB-GENE-081022-141]"
"ENSDARG00000054124";"ENSDARG00000054124";"40 x 16";"24hpf_pos.1";"htr1d";"5-hydroxytryptamine (serotonin) receptor 1D, G protein-coupled [Source:ZFIN;Acc:ZDB-GENE-090409-3]"
"ENSDARG00000055467";"ENSDARG00000055467";"22 x 22";"72hpf_pos_tbx5";"si:dkeyp-3f10.14";"si:dkeyp-3f10.14 [Source:ZFIN;Acc:ZDB-GENE-081104-36]"
"ENSDARG00000056277";"ENSDARG00000056277";"21 x 30";"72hpf_neg_gata5";"or132-5";"odorant receptor, family H, subfamily 132, member 5 [Source:ZFIN;Acc:ZDB-GENE-070806-21]"
"ENSDARG00000056911";"ENSDARG00000056911";"17 x 19";"72hpf_pos_gata5";"or133-1";"odorant receptor, family H, subfamily 133, member 1 [Source:ZFIN;Acc:ZDB-GENE-070806-34]"
"ENSDARG00000056949";"ENSDARG00000056949";"20 x 23";"72hpf_neg_tbx5";"htr7a";"5-hydroxytryptamine (serotonin) receptor 7a [Source:ZFIN;Acc:ZDB-GENE-130530-666]"
"ENSDARG00000057029";"ENSDARG00000057029";"28 x 24";"24hpf_neg";"";"5-hydroxytryptamine (serotonin) receptor 2A, genome duplicate a [Source:ZFIN;Acc:ZDB-GENE-070912-500]"
"ENSDARG00000057098";"ENSDARG00000057098";"14 x 27";"72hpf_neg_hand2";"htr1ab";"5-hydroxytryptamine (serotonin) receptor 1A b [Source:ZFIN;Acc:ZDB-GENE-090409-2]"
"ENSDARG00000058165";"ENSDARG00000058165";"22 x 30";"72hpf_neg_gata5";"htr2ab";"5-hydroxytryptamine (serotonin) receptor 2A, genome duplicate b [Source:ZFIN;Acc:ZDB-GENE-120215-60]"
"ENSDARG00000068557";"ENSDARG00000068557";"6 x 22";"72hpf_pos";"htr5ab";"5-hydroxytryptamine (serotonin) receptor 5A, genome duplicate b [Source:ZFIN;Acc:ZDB-GENE-030616-574]"
"ENSDARG00000070341";"ENSDARG00000070341";"6 x 24";"72hpf_pos.1";"or134-1";"odorant receptor, family H, subfamily 134, member 1 [Source:ZFIN;Acc:ZDB-GENE-070806-22]"
"ENSDARG00000070344";"ENSDARG00000070344";"21 x 22";"72hpf_pos_hand2";"or137-3";"odorant receptor, family H, subfamily 137, member 3 [Source:ZFIN;Acc:ZDB-GENE-070806-24]"
"ENSDARG00000070940";"ENSDARG00000070940";"38 x 26";"24hpf_pos";"htr2b";"5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled [Source:ZFIN;Acc:ZDB-GENE-081022-57]"
"ENSDARG00000078204";"ENSDARG00000078204";"19 x 26";"48hpf_neg";"LOC101885642";""
"ENSDARG00000091877";"ENSDARG00000091877";"26 x 16";"48hpf_pos";"or137-7";"odorant receptor, family H, subfamily 137, member 7 [Source:ZFIN;Acc:ZDB-GENE-070806-27]"
"ENSDARG00000093745";"ENSDARG00000093745";"12 x 33";"72hpf_neg_hand2";"htr1aa";"5-hydroxytryptamine (serotonin) receptor 1A a [Source:ZFIN;Acc:ZDB-GENE-071203-1]"
