"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000730";"ENSDARG00000000730";"13 x 11";"72hpf_pos_tbx5";"slc6a22.1";"solute carrier family 6 member 22, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-629]"
"ENSDARG00000001354";"ENSDARG00000001354";"1 x 24";"72hpf_neg_gata5";"slc6a22.2";"solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]"
"ENSDARG00000002405";"ENSDARG00000002405";"12 x 1";"24hpf_pos.1";"si:ch211-225b11.1";"si:ch211-225b11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-39]"
"ENSDARG00000004219";"ENSDARG00000004219";"14 x 30";"72hpf_pos_gata5.1";"";"solute carrier family 6 (neurotransmitter transporter), member 3 [Source:ZFIN;Acc:ZDB-GENE-010316-1]"
"ENSDARG00000007129";"ENSDARG00000007129";"37 x 35";"24hpf_pos";"slc6a16a";"solute carrier family 6, member 16a [Source:ZFIN;Acc:ZDB-GENE-061009-43]"
"ENSDARG00000012534";"ENSDARG00000012534";"22 x 36";"72hpf_neg_tbx5";"slc6a6a";"solute carrier family 6 (neurotransmitter transporter), member 6a [Source:ZFIN;Acc:ZDB-GENE-081104-1]"
"ENSDARG00000016141";"ENSDARG00000016141";"6 x 27";"72hpf_pos.1";"slc6a2";"solute carrier family 6 (neurotransmitter transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-110408-4]"
"ENSDARG00000018534";"ENSDARG00000018534";"29 x 40";"72hpf_neg_tbx5";"slc6a9";"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:ZFIN;Acc:ZDB-GENE-050105-3]"
"ENSDARG00000018621";"ENSDARG00000018621";"30 x 6";"72hpf_pos_tbx5";"slc6a19a.1";"solute carrier family 6 (neutral amino acid transporter), member 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070620-2]"
"ENSDARG00000029866";"ENSDARG00000029866";"9 x 20";"72hpf_pos.1";"slc6a14";"solute carrier family 6 (amino acid transporter), member 14 [Source:ZFIN;Acc:ZDB-GENE-130411-2]"
"ENSDARG00000030006";"ENSDARG00000030006";"32 x 29";"24hpf_pos.1";"zgc:158225";"zgc:158225 [Source:ZFIN;Acc:ZDB-GENE-070112-1492]"
"ENSDARG00000039647";"ENSDARG00000039647";"1 x 40";"72hpf_neg_tbx5";"slc6a1b";"solute carrier family 6 (neurotransmitter transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-041114-57]"
"ENSDARG00000041205";"ENSDARG00000041205";"16 x 28";"72hpf_neg_tbx5";"slc6a1l";"solute carrier family 6 (neurotransmitter transporter, GABA), member 1, like [Source:ZFIN;Acc:ZDB-GENE-041210-296]"
"ENSDARG00000043646";"ENSDARG00000043646";"1 x 9";"72hpf_pos_hand2";"";"solute carrier family 6 (neurotransmitter transporter), member 8 [Source:ZFIN;Acc:ZDB-GENE-071024-2]"
"ENSDARG00000045944";"ENSDARG00000045944";"2 x 37";"72hpf_neg_tbx5";"slc6a1a";"solute carrier family 6 (neurotransmitter transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-060519-23]"
"ENSDARG00000046091";"ENSDARG00000046091";"30 x 1";"24hpf_pos.1";"si:ch211-283g2.1";"si:ch211-283g2.1 [Source:ZFIN;Acc:ZDB-GENE-060531-57]"
"ENSDARG00000056719";"ENSDARG00000056719";"25 x 19";"72hpf_pos_hand2";"slc6a19b";"solute carrier family 6 (neutral amino acid transporter), member 19b [Source:ZFIN;Acc:ZDB-GENE-030131-4755]"
"ENSDARG00000057017";"ENSDARG00000057017";"23 x 15";"72hpf_pos_tbx5.1";"slc6a4b";"solute carrier family 6 (neurotransmitter transporter), member 4b [Source:ZFIN;Acc:ZDB-GENE-060314-2]"
"ENSDARG00000061165";"ENSDARG00000061165";"15 x 34";"72hpf_neg_gata5";"slc6a4a";"solute carrier family 6 (neurotransmitter transporter), member 4a [Source:ZFIN;Acc:ZDB-GENE-060314-1]"
"ENSDARG00000061480";"ENSDARG00000061480";"20 x 29";"72hpf_neg_gata5";"si:ch211-132b12.1";"si:ch211-132b12.1 [Source:ZFIN;Acc:ZDB-GENE-050420-315]"
"ENSDARG00000062821";"ENSDARG00000062821";"3 x 34";"72hpf_neg_tbx5";"slc6a15";"solute carrier family 6 (neutral amino acid transporter), member 15 [Source:ZFIN;Acc:ZDB-GENE-050420-93]"
"ENSDARG00000067567";"ENSDARG00000067567";"20 x 1";"72hpf_pos_gata5.1";"slc6a13";"solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046]"
"ENSDARG00000067964";"ENSDARG00000067964";"7 x 37";"72hpf_neg_tbx5";"slc6a5";"solute carrier family 6 (neurotransmitter transporter), member 5 [Source:ZFIN;Acc:ZDB-GENE-050105-2]"
"ENSDARG00000068363";"ENSDARG00000068363";"20 x 25";"48hpf_neg";"si:ch211-132b12.3";"si:ch211-132b12.3 [Source:ZFIN;Acc:ZDB-GENE-050419-161]"
"ENSDARG00000068372";"ENSDARG00000068372";"21 x 22";"48hpf_neg";"zgc:158427";"zgc:158427 [Source:ZFIN;Acc:ZDB-GENE-061215-110]"
"ENSDARG00000068387";"ENSDARG00000068387";"37 x 2";"72hpf_pos_tbx5";"slc6a18";"solute carrier family 6 (neutral amino acid transporter), member 18 [Source:ZFIN;Acc:ZDB-GENE-080219-9]"
"ENSDARG00000068787";"ENSDARG00000068787";"7 x 37";"72hpf_neg_tbx5";"slc6a17";"solute carrier family 6 (neutral amino acid transporter), member 17 [Source:ZFIN;Acc:ZDB-GENE-030131-8187]"
"ENSDARG00000071235";"ENSDARG00000071235";"7 x 33";"72hpf_neg_hand2";"si:ch211-117c9.5";"si:ch211-117c9.5 [Source:ZFIN;Acc:ZDB-GENE-110408-2]"
"ENSDARG00000074002";"ENSDARG00000074002";"9 x 20";"72hpf_pos.1";"slc6a11a";"solute carrier family 6 (neurotransmitter transporter), member 11a [Source:ZFIN;Acc:ZDB-GENE-030131-3729]"
"ENSDARG00000087981";"ENSDARG00000087981";"1 x 39";"72hpf_neg_tbx5";"slc6a11b";"solute carrier family 6 (neurotransmitter transporter), member 11b [Source:ZFIN;Acc:ZDB-GENE-121116-2]"
"ENSDARG00000091560";"ENSDARG00000091560";"25 x 20";"72hpf_pos_tbx5";"slc6a19a.2";"solute carrier family 6 (neutral amino acid transporter), member 19a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-141210-16]"
"ENSDARG00000094546";"ENSDARG00000094546";"23 x 10";"72hpf_pos_gata5.1";"si:ch211-132b12.6";"si:ch211-132b12.6 [Source:ZFIN;Acc:ZDB-GENE-050420-179]"
"ENSDARG00000094946";"ENSDARG00000094946";"10 x 11";"72hpf_pos.1";"si:ch211-132b12.2";"si:ch211-132b12.2 [Source:ZFIN;Acc:ZDB-GENE-050420-178]"
"ENSDARG00000098438";"ENSDARG00000098438";"12 x 7";"72hpf_pos_tbx5";"";"solute carrier family 6 (neurotransmitter transporter), member 6b [Source:ZFIN;Acc:ZDB-GENE-030131-3077]"
"ENSDARG00000102377";"ENSDARG00000102377";"29 x 40";"24hpf_neg";"slc6a16b";"solute carrier family 6, member 16b [Source:ZFIN;Acc:ZDB-GENE-070424-95]"
