"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000018621";"ENSDARG00000018621";"30 x 6";"72hpf_pos_tbx5";"slc6a19a.1";"solute carrier family 6 (neutral amino acid transporter), member 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070620-2]"
"ENSDARG00000036848";"ENSDARG00000036848";"1 x 6";"72hpf_pos_hand2.1";"slc43a2a";"solute carrier family 43 (amino acid system L transporter), member 2a [Source:ZFIN;Acc:ZDB-GENE-040426-964]"
"ENSDARG00000037393";"ENSDARG00000037393";"40 x 37";"24hpf_pos";"slc43a1a";"solute carrier family 43 (amino acid system L transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6327]"
"ENSDARG00000037748";"ENSDARG00000037748";"34 x 28";"24hpf_pos";"slc43a1b";"solute carrier family 43 (amino acid system L transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-070209-173]"
"ENSDARG00000044528";"ENSDARG00000044528";"36 x 16";"24hpf_pos.1";"slc15a1b";"solute carrier family 15 (oligopeptide transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-030131-4661]"
"ENSDARG00000054343";"ENSDARG00000054343";"30 x 19";"24hpf_pos";"slc7a8b";"solute carrier family 7 (amino acid transporter light chain, L system), member 8b [Source:ZFIN;Acc:ZDB-GENE-030616-586]"
"ENSDARG00000056719";"ENSDARG00000056719";"25 x 19";"72hpf_pos_hand2";"slc6a19b";"solute carrier family 6 (neutral amino acid transporter), member 19b [Source:ZFIN;Acc:ZDB-GENE-030131-4755]"
"ENSDARG00000061120";"ENSDARG00000061120";"2 x 4";"72hpf_pos_hand2.1";"slc43a2b";"solute carrier family 43 (amino acid system L transporter), member 2b [Source:ZFIN;Acc:ZDB-GENE-041212-6]"
"ENSDARG00000075831";"ENSDARG00000075831";"1 x 8";"72hpf_pos_hand2.1";"slc7a8a";"solute carrier family 7 (amino acid transporter light chain, L system), member 8a [Source:ZFIN;Acc:ZDB-GENE-121120-2]"
"ENSDARG00000091560";"ENSDARG00000091560";"25 x 20";"72hpf_pos_tbx5";"slc6a19a.2";"solute carrier family 6 (neutral amino acid transporter), member 19a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-141210-16]"
