"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007734";"ENSDARG00000007734";"31 x 9";"24hpf_pos.1";"stn1";"STN1, CST complex subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1390]"
"ENSDARG00000008805";"ENSDARG00000008805";"36 x 7";"24hpf_neg";"orc3";"origin recognition complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6247]"
"ENSDARG00000038917";"ENSDARG00000038917";"38 x 9";"72hpf_pos.1";"rad50";"RAD50 homolog, double strand break repair protein [Source:ZFIN;Acc:ZDB-GENE-050506-110]"
"ENSDARG00000039302";"ENSDARG00000039302";"32 x 32";"24hpf_neg";"terfa";"telomeric repeat binding factor a [Source:ZFIN;Acc:ZDB-GENE-020419-38]"
"ENSDARG00000040303";"ENSDARG00000040303";"35 x 1";"24hpf_pos.1";"nbn";"nibrin [Source:ZFIN;Acc:ZDB-GENE-041008-35]"
"ENSDARG00000045704";"ENSDARG00000045704";"20 x 2";"48hpf_pos";"dclre1c";"DNA cross-link repair 1C, PSO2 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-041210-72]"
"ENSDARG00000058587";"ENSDARG00000058587";"9 x 14";"72hpf_pos_tbx5.1";"";"coiled-coil domain containing 79 [Source:ZFIN;Acc:ZDB-GENE-060503-732]"
"ENSDARG00000068833";"ENSDARG00000068833";"37 x 24";"24hpf_neg";"dclre1b";"DNA cross-link repair 1B [Source:ZFIN;Acc:ZDB-GENE-061013-328]"
"ENSDARG00000071551";"ENSDARG00000071551";"33 x 5";"24hpf_neg";"xrcc6";"X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:ZFIN;Acc:ZDB-GENE-030131-6420]"
"ENSDARG00000079915";"ENSDARG00000079915";"39 x 31";"24hpf_pos";"pot1";"protection of telomeres 1 homolog [Source:ZFIN;Acc:ZDB-GENE-110324-1]"
