"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006963";"ENSDARG00000006963";"34 x 9";"72hpf_pos.1";"cse1l";"CSE1 chromosome segregation 1-like (yeast) [Source:ZFIN;Acc:ZDB-GENE-990603-1]"
"ENSDARG00000008592";"ENSDARG00000008592";"40 x 24";"24hpf_pos";"mtmr8";"myotubularin related protein 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1016]"
"ENSDARG00000009499";"ENSDARG00000009499";"11 x 37";"72hpf_neg_tbx5";"";"spectrin repeat containing, nuclear envelope 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4172]"
"ENSDARG00000016519";"ENSDARG00000016519";"33 x 12";"24hpf_pos";"ctdnep1a";"CTD nuclear envelope phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-041114-177]"
"ENSDARG00000016753";"ENSDARG00000016753";"35 x 5";"24hpf_pos";"ipo9";"importin 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2953]"
"ENSDARG00000020953";"ENSDARG00000020953";"31 x 5";"24hpf_pos";"dnajb6b";"DnaJ (Hsp40) homolog, subfamily B, member 6b [Source:ZFIN;Acc:ZDB-GENE-040426-1122]"
"ENSDARG00000022832";"ENSDARG00000022832";"20 x 8";"72hpf_pos";"bnip4";"BCL2/adenovirus E1B interacting protein 4 [Source:ZFIN;Acc:ZDB-GENE-051113-212]"
"ENSDARG00000023759";"ENSDARG00000023759";"6 x 4";"72hpf_pos";"zgc:73226";"zgc:73226 [Source:ZFIN;Acc:ZDB-GENE-050703-8]"
"ENSDARG00000025468";"ENSDARG00000025468";"21 x 3";"72hpf_pos_hand2.1";"bnip3la";"BCL2/adenovirus E1B interacting protein 3-like a [Source:ZFIN;Acc:ZDB-GENE-030131-2283]"
"ENSDARG00000026895";"ENSDARG00000026895";"10 x 22";"72hpf_pos.1";"tor1l3";"torsin family 1 like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1859]"
"ENSDARG00000028067";"ENSDARG00000028067";"5 x 20";"72hpf_pos_tbx5.1";"bnip3lb";"BCL2/adenovirus E1B interacting protein 3-like b [Source:ZFIN;Acc:ZDB-GENE-040325-1]"
"ENSDARG00000030107";"ENSDARG00000030107";"1 x 31";"72hpf_neg_gata5";"";"si:ch211-207i1.2 [Source:ZFIN;Acc:ZDB-GENE-041014-149]"
"ENSDARG00000033364";"ENSDARG00000033364";"3 x 12";"72hpf_pos_gata5.1";"mgst3b";"microsomal glutathione S-transferase 3b [Source:ZFIN;Acc:ZDB-GENE-061215-48]"
"ENSDARG00000033852";"ENSDARG00000033852";"35 x 33";"24hpf_neg";"mad1l1";"MAD1 mitotic arrest deficient-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1081]"
"ENSDARG00000035751";"ENSDARG00000035751";"36 x 20";"24hpf_neg";"ipo7";"importin 7 [Source:ZFIN;Acc:ZDB-GENE-030131-458]"
"ENSDARG00000043388";"ENSDARG00000043388";"2 x 16";"48hpf_pos";"atraid";"all-trans retinoic acid-induced differentiation factor [Source:ZFIN;Acc:ZDB-GENE-040724-177]"
"ENSDARG00000045574";"ENSDARG00000045574";"40 x 8";"72hpf_neg";"lrmp";"lymphoid-restricted membrane protein [Source:ZFIN;Acc:ZDB-GENE-041210-152]"
"ENSDARG00000053484";"ENSDARG00000053484";"29 x 38";"24hpf_neg";"";"spectrin repeat containing, nuclear envelope 2b [Source:ZFIN;Acc:ZDB-GENE-071218-5]"
"ENSDARG00000054755";"ENSDARG00000054755";"38 x 1";"24hpf_pos.1";"alox5ap";"arachidonate 5-lipoxygenase-activating protein [Source:ZFIN;Acc:ZDB-GENE-030131-9322]"
