"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004160";"ENSDARG00000004160";"30 x 9";"72hpf_pos";"reep3b";"receptor accessory protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-730]"
"ENSDARG00000015824";"ENSDARG00000015824";"30 x 35";"72hpf_neg_hand2";"lemd3";"LEM domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-490]"
"ENSDARG00000016519";"ENSDARG00000016519";"33 x 12";"24hpf_pos";"ctdnep1a";"CTD nuclear envelope phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-041114-177]"
"ENSDARG00000026895";"ENSDARG00000026895";"10 x 22";"72hpf_pos.1";"tor1l3";"torsin family 1 like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1859]"
"ENSDARG00000055350";"ENSDARG00000055350";"15 x 37";"72hpf_neg_gata5";"sun1";"Sad1 and UNC84 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-551]"
"ENSDARG00000055856";"ENSDARG00000055856";"25 x 19";"72hpf_pos_tbx5";"tor1l1";"torsin family 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-080723-36]"
"ENSDARG00000077178";"ENSDARG00000077178";"18 x 15";"72hpf_pos";"zgc:152977";"zgc:152977 [Source:ZFIN;Acc:ZDB-GENE-060825-353]"
"ENSDARG00000077950";"ENSDARG00000077950";"32 x 27";"72hpf_pos_tbx5.1";"tor1";"torsin family 1 [Source:ZFIN;Acc:ZDB-GENE-080917-50]"
"ENSDARG00000086490";"ENSDARG00000086490";"39 x 32";"24hpf_pos.1";"si:dkey-92f12.2";"si:dkey-92f12.2 [Source:ZFIN;Acc:ZDB-GENE-091204-379]"
"ENSDARG00000087529";"ENSDARG00000087529";"38 x 36";"24hpf_neg";"zgc:85936";"zgc:85936 [Source:ZFIN;Acc:ZDB-GENE-040426-2450]"
"ENSDARG00000090741";"ENSDARG00000090741";"21 x 29";"72hpf_neg_gata5";"tor1l2";"torsin family 1 like 2 [Source:ZFIN;Acc:ZDB-GENE-121107-3]"
