"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000394";"ENSDARG00000000394";"22 x 36";"48hpf_neg";"matr3l1.2";"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]"
"ENSDARG00000000489";"ENSDARG00000000489";"5 x 13";"72hpf_pos_gata5.1";"upf3b";"UPF3 regulator of nonsense transcripts homolog B (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-1630]"
"ENSDARG00000000567";"ENSDARG00000000567";"12 x 40";"48hpf_neg";"znf281a";"zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]"
"ENSDARG00000000760";"ENSDARG00000000760";"30 x 7";"72hpf_pos_gata5.1";"znf511";"zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621]"
"ENSDARG00000000887";"ENSDARG00000000887";"13 x 1";"48hpf_pos";"zgc:56699";"zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]"
"ENSDARG00000000943";"ENSDARG00000000943";"34 x 40";"48hpf_neg";"dzip1";"DAZ interacting zinc finger protein 1 [Source:ZFIN;Acc:ZDB-GENE-040526-1]"
"ENSDARG00000001015";"ENSDARG00000001015";"15 x 38";"72hpf_neg_gata5";"znf384l";"zinc finger protein 384 like [Source:ZFIN;Acc:ZDB-GENE-030616-498]"
"ENSDARG00000001129";"ENSDARG00000001129";"26 x 34";"72hpf_neg";"dicer1";"dicer 1, ribonuclease type III [Source:ZFIN;Acc:ZDB-GENE-030131-3445]"
"ENSDARG00000001162";"ENSDARG00000001162";"24 x 35";"72hpf_neg_gata5";"matr3l1.1";"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]"
"ENSDARG00000001210";"ENSDARG00000001210";"31 x 9";"72hpf_pos";"arl14ep";"ADP-ribosylation factor-like 14 effector protein [Source:ZFIN;Acc:ZDB-GENE-060825-216]"
"ENSDARG00000001241";"ENSDARG00000001241";"34 x 27";"24hpf_pos";"puf60b";"poly-U binding splicing factor b [Source:ZFIN;Acc:ZDB-GENE-040625-116]"
"ENSDARG00000001549";"ENSDARG00000001549";"33 x 33";"24hpf_pos.1";"sp3a";"sp3a transcription factor [Source:ZFIN;Acc:ZDB-GENE-070410-111]"
"ENSDARG00000002026";"ENSDARG00000002026";"1 x 11";"72hpf_pos_hand2.1";"";"QKI, KH domain containing, RNA binding b [Source:ZFIN;Acc:ZDB-GENE-081028-54]"
"ENSDARG00000002131";"ENSDARG00000002131";"1 x 19";"48hpf_neg";"celf2";"cugbp, Elav-like family member 2 [Source:ZFIN;Acc:ZDB-GENE-030826-35]"
"ENSDARG00000002168";"ENSDARG00000002168";"22 x 38";"24hpf_neg";"tra2b";"transformer 2 beta homolog [Source:ZFIN;Acc:ZDB-GENE-040426-1094]"
"ENSDARG00000002445";"ENSDARG00000002445";"35 x 35";"24hpf_pos.1";"prdm1a";"PR domain containing 1a, with ZNF domain [Source:ZFIN;Acc:ZDB-GENE-030131-2193]"
"ENSDARG00000002597";"ENSDARG00000002597";"15 x 20";"72hpf_pos_gata5";"pabpc1l";"poly(A) binding protein, cytoplasmic 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-5836]"
"ENSDARG00000002710";"ENSDARG00000002710";"37 x 30";"24hpf_neg";"ncl";"nucleolin [Source:ZFIN;Acc:ZDB-GENE-030131-6986]"
"ENSDARG00000002750";"ENSDARG00000002750";"11 x 30";"48hpf_neg";"phf20a";"PHD finger protein 20, a [Source:ZFIN;Acc:ZDB-GENE-070912-270]"
"ENSDARG00000002830";"ENSDARG00000002830";"36 x 30";"24hpf_pos";"trmt2a";"tRNA methyltransferase 2 homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-6876]"
"ENSDARG00000002968";"ENSDARG00000002968";"1 x 6";"72hpf_pos_tbx5";"a1cf";"apobec1 complementation factor [Source:ZFIN;Acc:ZDB-GENE-060824-3]"
"ENSDARG00000003032";"ENSDARG00000003032";"4 x 19";"72hpf_pos_tbx5.1";"eif4a1b";"eukaryotic translation initiation factor 4A1B [Source:ZFIN;Acc:ZDB-GENE-040120-6]"
"ENSDARG00000003109";"ENSDARG00000003109";"5 x 14";"72hpf_pos_gata5";"rcan1a";"regulator of calcineurin 1a [Source:ZFIN;Acc:ZDB-GENE-040801-135]"
"ENSDARG00000003251";"ENSDARG00000003251";"39 x 24";"24hpf_neg";"zbtb22b";"zinc finger and BTB domain containing 22b [Source:ZFIN;Acc:ZDB-GENE-010110-4]"
"ENSDARG00000003421";"ENSDARG00000003421";"2 x 23";"72hpf_pos.1";"igf2bp2a";"insulin-like growth factor 2 mRNA binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-070912-44]"
