"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001950";"ENSDARG00000001950";"1 x 11";"72hpf_pos_tbx5.1";"ak1";"adenylate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040822-37]"
"ENSDARG00000005926";"ENSDARG00000005926";"26 x 3";"72hpf_pos_gata5.1";"ak2";"adenylate kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-512]"
"ENSDARG00000006546";"ENSDARG00000006546";"4 x 12";"72hpf_pos_gata5.1";"ak4";"adenylate kinase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2505]"
"ENSDARG00000012555";"ENSDARG00000012555";"11 x 32";"72hpf_neg_tbx5";"ak5";"adenylate kinase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-8256]"
"ENSDARG00000017023";"ENSDARG00000017023";"13 x 26";"48hpf_neg";"ak7b";"adenylate kinase 7b [Source:ZFIN;Acc:ZDB-GENE-050309-170]"
"ENSDARG00000017739";"ENSDARG00000017739";"8 x 25";"72hpf_pos.1";"ak5l";"adenylate kinase 5, like [Source:ZFIN;Acc:ZDB-GENE-050410-2]"
"ENSDARG00000019001";"ENSDARG00000019001";"19 x 32";"72hpf_neg_gata5";"ak7a";"adenylate kinase 7a [Source:ZFIN;Acc:ZDB-GENE-040724-122]"
"ENSDARG00000019924";"ENSDARG00000019924";"3 x 18";"72hpf_pos_tbx5.1";"cmpk";"cytidylate kinase [Source:ZFIN;Acc:ZDB-GENE-040426-2113]"
"ENSDARG00000021913";"ENSDARG00000021913";"32 x 10";"72hpf_pos.1";"si:ch211-199m3.4";"adenylate kinase 9 [Source:ZFIN;Acc:ZDB-GENE-041014-337]"
"ENSDARG00000030961";"ENSDARG00000030961";"8 x 25";"72hpf_pos.1";"ak8";"adenylate kinase 8 [Source:ZFIN;Acc:ZDB-GENE-050522-275]"
"ENSDARG00000058226";"ENSDARG00000058226";"37 x 1";"24hpf_pos";"ak3";"adenylate kinase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2142]"
