"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000010078";"ENSDARG00000010078";"36 x 33";"24hpf_pos";"nup133";"nucleoporin 133 [Source:ZFIN;Acc:ZDB-GENE-040426-2941]"
"ENSDARG00000012222";"ENSDARG00000012222";"36 x 6";"24hpf_pos";"nup35";"nucleoporin 35 [Source:ZFIN;Acc:ZDB-GENE-030131-9407]"
"ENSDARG00000016010";"ENSDARG00000016010";"23 x 40";"24hpf_pos";"nup107";"nucleoporin 107 [Source:ZFIN;Acc:ZDB-GENE-041210-245]"
"ENSDARG00000016212";"ENSDARG00000016212";"35 x 34";"24hpf_pos";"";"nucleoporin 214 [Source:ZFIN;Acc:ZDB-GENE-110203-3]"
"ENSDARG00000016630";"ENSDARG00000016630";"37 x 32";"24hpf_pos.1";"tprb";"translocated promoter region b, nuclear basket protein [Source:ZFIN;Acc:ZDB-GENE-030131-6410]"
"ENSDARG00000020527";"ENSDARG00000020527";"37 x 30";"24hpf_pos";"nup62l";"nucleoporin 62 like [Source:ZFIN;Acc:ZDB-GENE-030131-8491]"
"ENSDARG00000033965";"ENSDARG00000033965";"40 x 28";"24hpf_neg";"nup58";"nucleoporin 58 [Source:ZFIN;Acc:ZDB-GENE-040426-2326]"
"ENSDARG00000055113";"ENSDARG00000055113";"35 x 38";"24hpf_neg";"pom121";"POM121 transmembrane nucleoporin [Source:ZFIN;Acc:ZDB-GENE-030131-6557]"
"ENSDARG00000074955";"ENSDARG00000074955";"32 x 28";"24hpf_pos";"nup98";"nucleoporin 98 [Source:ZFIN;Acc:ZDB-GENE-040426-1180]"
"ENSDARG00000103296";"ENSDARG00000103296";"32 x 6";"24hpf_pos.1";"";"nucleoporin 54 [Source:ZFIN;Acc:ZDB-GENE-040426-2263]"
