"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003920";"ENSDARG00000003920";"36 x 33";"24hpf_pos.1";"setb";"SET nuclear proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-030131-433]"
"ENSDARG00000005015";"ENSDARG00000005015";"33 x 10";"72hpf_pos_gata5.1";"tspy";"testis specific protein, Y-linked [Source:ZFIN;Acc:ZDB-GENE-030131-9158]"
"ENSDARG00000006487";"ENSDARG00000006487";"34 x 13";"24hpf_pos.1";"anp32a";"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A [Source:ZFIN;Acc:ZDB-GENE-030131-7850]"
"ENSDARG00000008032";"ENSDARG00000008032";"34 x 31";"24hpf_pos.1";"sart3";"squamous cell carcinoma antigen recognized by T cells 3 [Source:ZFIN;Acc:ZDB-GENE-040724-10]"
"ENSDARG00000018907";"ENSDARG00000018907";"29 x 40";"48hpf_neg";"kat6a";"K(lysine) acetyltransferase 6A [Source:ZFIN;Acc:ZDB-GENE-021022-3]"
"ENSDARG00000020504";"ENSDARG00000020504";"21 x 38";"48hpf_neg";"h3f3a";"H3 histone, family 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1928]"
"ENSDARG00000023330";"ENSDARG00000023330";"40 x 35";"24hpf_pos";"anp32b";"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:ZFIN;Acc:ZDB-GENE-030131-719]"
"ENSDARG00000028213";"ENSDARG00000028213";"40 x 8";"72hpf_pos.1";"";"titin, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030113-2]"
"ENSDARG00000031495";"ENSDARG00000031495";"35 x 34";"24hpf_neg";"seta";"SET nuclear proto-oncogene a [Source:ZFIN;Acc:ZDB-GENE-030131-2221]"
"ENSDARG00000032637";"ENSDARG00000032637";"36 x 38";"24hpf_pos";"si:dkey-261m9.12";"si:dkey-261m9.12 [Source:ZFIN;Acc:ZDB-GENE-131126-58]"
"ENSDARG00000033009";"ENSDARG00000033009";"18 x 37";"72hpf_neg_gata5";"h3f3c";"H3 histone, family 3B.1 [Source:ZFIN;Acc:ZDB-GENE-050417-65]"
"ENSDARG00000034203";"ENSDARG00000034203";"40 x 26";"24hpf_neg";"zgc:114046";"histone cluster 1, H2ba [Source:ZFIN;Acc:ZDB-GENE-131127-89]"
"ENSDARG00000035519";"ENSDARG00000035519";"16 x 32";"72hpf_neg_gata5";"histh1l";"histone H1 like [Source:ZFIN;Acc:ZDB-GENE-050417-145]"
"ENSDARG00000038559";"ENSDARG00000038559";"4 x 33";"72hpf_neg_hand2";"h1f0";"H1 histone family, member 0 [Source:ZFIN;Acc:ZDB-GENE-030131-337]"
"ENSDARG00000044669";"ENSDARG00000044669";"21 x 39";"48hpf_neg";"hp1bp3";"heterochromatin protein 1, binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-060810-79]"
"ENSDARG00000045248";"ENSDARG00000045248";"11 x 26";"72hpf_neg_hand2";"h3f3d";"H3 histone, family 3D [Source:ZFIN;Acc:ZDB-GENE-040426-1023]"
"ENSDARG00000051718";"ENSDARG00000051718";"36 x 38";"24hpf_neg";"si:ch211-113a14.24";"si:ch211-113a14.24 [Source:ZFIN;Acc:ZDB-GENE-121214-122]"
"ENSDARG00000051735";"ENSDARG00000051735";"36 x 39";"24hpf_neg";"si:ch211-113a14.18";"si:ch211-113a14.18 [Source:ZFIN;Acc:ZDB-GENE-121214-116]"
