"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004251";"ENSDARG00000004251";"40 x 29";"24hpf_pos";"dhfr";"dihydrofolate reductase [Source:ZFIN;Acc:ZDB-GENE-010406-5]"
"ENSDARG00000015524";"ENSDARG00000015524";"6 x 1";"48hpf_pos.1";"prps1a";"phosphoribosyl pyrophosphate synthetase 1A [Source:ZFIN;Acc:ZDB-GENE-011212-5]"
"ENSDARG00000019326";"ENSDARG00000019326";"13 x 15";"48hpf_pos";"prpsap2";"phosphoribosyl pyrophosphate synthetase-associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2077]"
"ENSDARG00000022218";"ENSDARG00000022218";"28 x 1";"24hpf_pos.1";"uck1";"uridine-cytidine kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040912-113]"
"ENSDARG00000037506";"ENSDARG00000037506";"34 x 23";"24hpf_neg";"prps1b";"phosphoribosyl pyrophosphate synthetase 1B [Source:ZFIN;Acc:ZDB-GENE-030131-4011]"
"ENSDARG00000044807";"ENSDARG00000044807";"40 x 24";"24hpf_pos.1";"dck";"deoxycytidine kinase [Source:ZFIN;Acc:ZDB-GENE-041024-3]"
"ENSDARG00000046127";"ENSDARG00000046127";"28 x 8";"24hpf_pos";"tk2";"thymidine kinase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040718-243]"
"ENSDARG00000054929";"ENSDARG00000054929";"36 x 40";"24hpf_pos";"zgc:110540";"zgc:110540 [Source:ZFIN;Acc:ZDB-GENE-050327-77]"
"ENSDARG00000068876";"ENSDARG00000068876";"1 x 1";"48hpf_pos";"zgc:153031";"zgc:153031 [Source:ZFIN;Acc:ZDB-GENE-060929-1190]"
"ENSDARG00000075395";"ENSDARG00000075395";"30 x 11";"24hpf_pos";"dguok";"deoxyguanosine kinase [Source:ZFIN;Acc:ZDB-GENE-040625-14]"
"ENSDARG00000099222";"ENSDARG00000099222";"4 x 2";"72hpf_pos_gata5.1";"";"phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040704-40]"
