"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002952";"ENSDARG00000002952";"32 x 40";"24hpf_neg";"smo";"smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]"
"ENSDARG00000007025";"ENSDARG00000007025";"31 x 1";"24hpf_pos.1";"ttc9c";"tetratricopeptide repeat domain 9C [Source:ZFIN;Acc:ZDB-GENE-040426-1053]"
"ENSDARG00000011618";"ENSDARG00000011618";"6 x 4";"48hpf_pos";"slc26a2";"solute carrier family 26 (anion exchanger), member 2 [Source:ZFIN;Acc:ZDB-GENE-030717-3]"
"ENSDARG00000011693";"ENSDARG00000011693";"8 x 10";"72hpf_pos_tbx5";"ttc36";"tetratricopeptide repeat domain 36 [Source:ZFIN;Acc:ZDB-GENE-041114-87]"
"ENSDARG00000019353";"ENSDARG00000019353";"2 x 31";"72hpf_neg";"sparc";"secreted protein, acidic, cysteine-rich (osteonectin) [Source:ZFIN;Acc:ZDB-GENE-030131-9]"
"ENSDARG00000044405";"ENSDARG00000044405";"34 x 1";"24hpf_pos.1";"ttc4";"tetratricopeptide repeat domain 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1021]"
"ENSDARG00000053744";"ENSDARG00000053744";"36 x 32";"24hpf_pos.1";"dcdc2b";"doublecortin domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-051113-124]"
"ENSDARG00000068365";"ENSDARG00000068365";"9 x 40";"48hpf_neg";"lmx1bb";"LIM homeobox transcription factor 1, beta b [Source:ZFIN;Acc:ZDB-GENE-050114-2]"
"ENSDARG00000088750";"ENSDARG00000088750";"4 x 26";"72hpf_neg_gata5";"otogl";"otogelin-like [Source:ZFIN;Acc:ZDB-GENE-050419-93]"
"ENSDARG00000102308";"ENSDARG00000102308";"1 x 20";"72hpf_pos_hand2.1";"ttc39c";"tetratricopeptide repeat domain 39C [Source:ZFIN;Acc:ZDB-GENE-050522-194]"
