"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000031952";"ENSDARG00000031952";"1 x 9";"72hpf_pos.1";"mb";"myoglobin [Source:ZFIN;Acc:ZDB-GENE-040426-1430]"
"ENSDARG00000032896";"ENSDARG00000032896";"28 x 18";"48hpf_pos.1";"";"x globin [Source:ZFIN;Acc:ZDB-GENE-050125-1]"
"ENSDARG00000038147";"ENSDARG00000038147";"40 x 40";"24hpf_pos";"hbbe3";"hemoglobin beta embryonic-3 [Source:ZFIN;Acc:ZDB-GENE-980526-287]"
"ENSDARG00000045142";"ENSDARG00000045142";"40 x 40";"24hpf_pos";"hbae5";"hemoglobin, alpha embryonic 5 [Source:ZFIN;Acc:ZDB-GENE-101028-1]"
"ENSDARG00000045143";"ENSDARG00000045143";"35 x 40";"72hpf_neg_gata5";"hbbe2";"hemoglobin beta embryonic-2 [Source:ZFIN;Acc:ZDB-GENE-040702-1]"
"ENSDARG00000045144";"ENSDARG00000045144";"40 x 40";"24hpf_pos";"hbz";"hemoglobin subunit zeta [Source:ZFIN;Acc:ZDB-GENE-070410-131]"
"ENSDARG00000053475";"ENSDARG00000053475";"3 x 24";"72hpf_pos.1";"ngb";"neuroglobin [Source:ZFIN;Acc:ZDB-GENE-011102-1]"
"ENSDARG00000069735";"ENSDARG00000069735";"21 x 22";"24hpf_pos.1";"hbaa2";"hemoglobin, alpha adult 2 [Source:ZFIN;Acc:ZDB-GENE-081104-38]"
"ENSDARG00000070148";"ENSDARG00000070148";"23 x 10";"72hpf_pos_gata5.1";"cygb2";"cytoglobin 2 [Source:ZFIN;Acc:ZDB-GENE-060920-1]"
"ENSDARG00000079078";"ENSDARG00000079078";"21 x 22";"72hpf_pos_tbx5.1";"si:ch211-5k11.8";"si:ch211-5k11.8 [Source:ZFIN;Acc:ZDB-GENE-131121-640]"
"ENSDARG00000079305";"ENSDARG00000079305";"39 x 40";"48hpf_neg";"";"hemoglobin alpha embryonic-3 [Source:ZFIN;Acc:ZDB-GENE-990706-3]"
"ENSDARG00000087390";"ENSDARG00000087390";"40 x 40";"48hpf_neg";"hbbe1.3";"hemoglobin, beta embryonic 1.3 [Source:ZFIN;Acc:ZDB-GENE-131120-128]"
"ENSDARG00000088330";"ENSDARG00000088330";"40 x 40";"24hpf_pos.1";"hbae1.3";"hemoglobin subunit zeta [Source:HGNC Symbol;Acc:HGNC:4835]"
"ENSDARG00000089124";"ENSDARG00000089124";"40 x 40";"48hpf_neg";"LOC100334599";"hemoglobin, alpha embryonic 1.3 [Source:ZFIN;Acc:ZDB-GENE-061207-39]"
"ENSDARG00000089475";"ENSDARG00000089475";"40 x 40";"24hpf_pos.1";"hbae1";"hemoglobin, alpha embryonic 1 [Source:NCBI gene;Acc:30597]"
"ENSDARG00000089963";"ENSDARG00000089963";"40 x 40";"48hpf_neg";"";"hemoglobin beta embryonic-1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-7]"
"ENSDARG00000090689";"ENSDARG00000090689";"40 x 40";"48hpf_neg";"hbbe1.2";"hemoglobin beta embryonic-1.2 [Source:ZFIN;Acc:ZDB-GENE-090501-3]"
"ENSDARG00000097011";"ENSDARG00000097011";"31 x 19";"24hpf_pos";"hbaa1";"hemoglobin, alpha adult 1 [Source:ZFIN;Acc:ZDB-GENE-980526-79]"
"ENSDARG00000099371";"ENSDARG00000099371";"1 x 30";"72hpf_neg";"cygb1";"cytoglobin 1 [Source:ZFIN;Acc:ZDB-GENE-020513-1]"
