"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005913";"ENSDARG00000005913";"16 x 12";"72hpf_pos_tbx5.1";"tgm1l3";"transglutaminase 1 like 3 [Source:ZFIN;Acc:ZDB-GENE-120718-1]"
"ENSDARG00000017799";"ENSDARG00000017799";"10 x 19";"72hpf_pos.1";"tgm1";"transglutaminase 1, K polypeptide [Source:ZFIN;Acc:ZDB-GENE-030131-9032]"
"ENSDARG00000036893";"ENSDARG00000036893";"40 x 1";"24hpf_pos";"f13a1b";"coagulation factor XIII, A1 polypeptide b [Source:ZFIN;Acc:ZDB-GENE-030131-9634]"
"ENSDARG00000045453";"ENSDARG00000045453";"26 x 20";"72hpf_pos_tbx5";"f13a1a.1";"coagulation factor XIII, A1 polypeptide a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060929-1250]"
"ENSDARG00000070157";"ENSDARG00000070157";"9 x 23";"72hpf_pos.1";"tgm2a";"transglutaminase 2, C polypeptide A [Source:ZFIN;Acc:ZDB-GENE-040912-78]"
"ENSDARG00000074094";"ENSDARG00000074094";"4 x 22";"72hpf_neg_gata5";"tgm2b";"transglutaminase 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2576]"
"ENSDARG00000093381";"ENSDARG00000093381";"1 x 6";"72hpf_pos";"tgm2l";"transglutaminase 2, like [Source:ZFIN;Acc:ZDB-GENE-050420-97]"
"ENSDARG00000094832";"ENSDARG00000094832";"25 x 20";"72hpf_pos_tbx5";"LOC558353";"coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]"
"ENSDARG00000097651";"ENSDARG00000097651";"18 x 22";"48hpf_pos.1";"tgm8";"transglutaminase 8 [Source:ZFIN;Acc:ZDB-GENE-120718-3]"
"ENSDARG00000098837";"ENSDARG00000098837";"39 x 14";"24hpf_pos.1";"tgm5l";"transglutaminase 5, like [Source:ZFIN;Acc:ZDB-GENE-110411-176]"
"ENSDARG00000101407";"ENSDARG00000101407";"15 x 21";"24hpf_neg";"tgm1l4";"transglutaminase 1 like 4 [Source:ZFIN;Acc:ZDB-GENE-050913-29]"
"ENSDARG00000101595";"ENSDARG00000101595";"22 x 1";"24hpf_pos";"tgm1l2";"transglutaminase 1 like 2 [Source:ZFIN;Acc:ZDB-GENE-110408-37]"
"ENSDARG00000102106";"ENSDARG00000102106";"3 x 5";"72hpf_pos.1";"tgm1l1";"transglutaminase 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-060503-139]"
"ENSDARG00000102692";"ENSDARG00000102692";"25 x 27";"72hpf_neg";"si:ch1073-138d10.2";"si:ch1073-138d10.2 [Source:ZFIN;Acc:ZDB-GENE-030131-6370]"
"ENSDARG00000104218";"ENSDARG00000104218";"38 x 13";"24hpf_pos.1";"tgm1l5";"transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]"
