"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002587";"ENSDARG00000002587";"5 x 36";"72hpf_neg_tbx5";"dpysl3";"dihydropyrimidinase-like 3 [Source:ZFIN;Acc:ZDB-GENE-050720-2]"
"ENSDARG00000004023";"ENSDARG00000004023";"7 x 40";"72hpf_neg_tbx5";"isl1";"ISL LIM homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-980526-112]"
"ENSDARG00000009822";"ENSDARG00000009822";"9 x 40";"48hpf_neg";"her4.4";"hairy-related 4, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-081031-104]"
"ENSDARG00000018494";"ENSDARG00000018494";"30 x 27";"24hpf_neg";"smn1";"survival of motor neuron 1, telomeric [Source:ZFIN;Acc:ZDB-GENE-990715-16]"
"ENSDARG00000044601";"ENSDARG00000044601";"36 x 5";"24hpf_pos";"rtn4a";"reticulon 4a [Source:ZFIN;Acc:ZDB-GENE-030710-1]"
"ENSDARG00000052094";"ENSDARG00000052094";"35 x 40";"24hpf_neg";"notch1b";"notch 1b [Source:ZFIN;Acc:ZDB-GENE-990415-183]"
"ENSDARG00000052139";"ENSDARG00000052139";"18 x 40";"24hpf_neg";"notch3";"notch 3 [Source:ZFIN;Acc:ZDB-GENE-000329-5]"
"ENSDARG00000056729";"ENSDARG00000056729";"9 x 40";"48hpf_neg";"her4.2";"hairy-related 4, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060815-1]"
"ENSDARG00000056732";"ENSDARG00000056732";"9 x 40";"48hpf_neg";"LOC100149863";"hairy-related 4, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-980526-521]"
"ENSDARG00000058237";"ENSDARG00000058237";"40 x 26";"24hpf_pos.1";"ssbp3a";"single stranded DNA binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-070705-484]"
"ENSDARG00000070770";"ENSDARG00000070770";"8 x 40";"48hpf_neg";"her4.3";"hairy-related 4, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081030-7]"
"ENSDARG00000090035";"ENSDARG00000090035";"8 x 29";"72hpf_neg_gata5";"rtn4r";"reticulon 4 receptor [Source:ZFIN;Acc:ZDB-GENE-040310-1]"
"ENSDARG00000094426";"ENSDARG00000094426";"9 x 40";"48hpf_neg";"LOC100148329";"hairy-related 4, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060815-1]"
