"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003077";"ENSDARG00000003077";"22 x 24";"24hpf_pos";"si:ch73-111m19.2";"si:ch73-111m19.2 [Source:ZFIN;Acc:ZDB-GENE-130603-13]"
"ENSDARG00000004539";"ENSDARG00000004539";"2 x 27";"72hpf_pos.1";"ptgs2a";"prostaglandin-endoperoxide synthase 2a [Source:ZFIN;Acc:ZDB-GENE-020530-2]"
"ENSDARG00000006207";"ENSDARG00000006207";"20 x 12";"72hpf_pos";"";"glutathione peroxidase 1b [Source:ZFIN;Acc:ZDB-GENE-040912-60]"
"ENSDARG00000010276";"ENSDARG00000010276";"10 x 12";"72hpf_pos_gata5";"ptgs2b";"prostaglandin-endoperoxide synthase 2b [Source:ZFIN;Acc:ZDB-GENE-041014-323]"
"ENSDARG00000012535";"ENSDARG00000012535";"5 x 14";"48hpf_pos";"epx";"eosinophil peroxidase [Source:ZFIN;Acc:ZDB-GENE-130425-2]"
"ENSDARG00000013302";"ENSDARG00000013302";"19 x 36";"24hpf_neg";"gpx8";"glutathione peroxidase 8 (putative) [Source:ZFIN;Acc:ZDB-GENE-040426-965]"
"ENSDARG00000018146";"ENSDARG00000018146";"19 x 9";"24hpf_pos.1";"gpx1a";"glutathione peroxidase 1a [Source:ZFIN;Acc:ZDB-GENE-030410-1]"
"ENSDARG00000019521";"ENSDARG00000019521";"40 x 40";"24hpf_pos.1";"mpx";"myeloid-specific peroxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9460]"
"ENSDARG00000033280";"ENSDARG00000033280";"13 x 27";"72hpf_neg_hand2";"tpo";"thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]"
"ENSDARG00000043342";"ENSDARG00000043342";"1 x 5";"72hpf_pos_hand2.1";"gpx3";"glutathione peroxidase 3 [Source:ZFIN;Acc:ZDB-GENE-070222-3]"
"ENSDARG00000052148";"ENSDARG00000052148";"19 x 38";"72hpf_neg_hand2";"ptgs1";"prostaglandin-endoperoxide synthase 1 [Source:ZFIN;Acc:ZDB-GENE-020530-1]"
"ENSDARG00000062632";"ENSDARG00000062632";"15 x 19";"72hpf_pos_gata5";"duox";"dual oxidase [Source:ZFIN;Acc:ZDB-GENE-091117-14]"
"ENSDARG00000068478";"ENSDARG00000068478";"6 x 8";"72hpf_pos_tbx5.1";"gpx4a";"glutathione peroxidase 4a [Source:ZFIN;Acc:ZDB-GENE-030410-2]"
"ENSDARG00000076836";"ENSDARG00000076836";"6 x 13";"72hpf_pos_gata5";"";"glutathione peroxidase 4b [Source:ZFIN;Acc:ZDB-GENE-030410-3]"
"ENSDARG00000091511";"ENSDARG00000091511";"27 x 40";"24hpf_neg";"gpx7";"glutathione peroxidase 7 [Source:ZFIN;Acc:ZDB-GENE-050522-419]"
"ENSDARG00000098733";"ENSDARG00000098733";"6 x 17";"48hpf_pos.1";"pxdn";"peroxidasin [Source:HGNC Symbol;Acc:HGNC:14966]"
"ENSDARG00000104702";"ENSDARG00000104702";"5 x 9";"72hpf_pos_tbx5";"cat";"catalase [Source:ZFIN;Acc:ZDB-GENE-000210-20]"
